Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,mckiz001,22,CBSBX,7/F78D
play,1,1,torks001,11,BCX,HR/F78XD
play,1,1,carpk001,02,SF.FFX,7/F78XD
play,1,1,baezj001,02,SF.FS,K
play,2,1,maton001,01,CH,HP
play,2,1,ibana001,00,X,9/F9D
play,2,1,cabrm001,00,X,HR/F7D.1-H
play,2,1,haase001,21,CBBX,HR/F78XD
play,2,1,marij002,12,BSSX,D7/L7LD
play,2,1,mckiz001,10,BX,S8/F8S.2-3;BX2(834)
play,2,1,torks001,12,CBSFS,K
play,3,1,carpk001,32,CSFBBBX,5/P5DF/FL
play,3,1,baezj001,00,.X,7/F78
play,3,1,maton001,00,X,43/G4
play,4,1,ibana001,11,SBX,S7/L78S
play,4,1,cabrm001,32,BCBCB.X,9/F9LS
play,4,1,haase001,02,FSB,WP.1-2
play,4,1,haase001,12,FSB.F.S,K
play,4,1,marij002,32,BCFB*BX,3/P34S
play,5,1,mckiz001,22,FBFFBS,K
play,5,1,torks001,31,BBS.BB,W
play,5,1,carpk001,22,CBFBS,K
play,5,1,baezj001,00,X,S8/L8.1-2
play,5,1,maton001,32,SFBBB>B,W.2-3;1-2
play,5,1,ibana001,21,BBC.B,WP.3-H(NR);2-3;1-2
play,5,1,ibana001,32,BBC.B.FS,K
play,6,1,cabrm001,00,,NP
