Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,schwk001,00,X,S8/L8D+
play,1,1,turnt001,01,FX,9/F9D
play,1,1,castn001,22,BSS.FFBS,K
play,1,1,harpb003,31,BBBCX,S8/L78.1-2
play,1,1,realj001,12,*BCFT,K
play,2,1,stotb001,21,BBFX,3/G3
play,2,1,bohma001,32,SBBF.FBS,K
play,2,1,clemk001,02,CFFS,K
play,3,1,marsb002,12,CCFBX,D9/L9LD+
play,3,1,schwk001,12,SFF*BX,3/G3.2-3
play,3,1,turnt001,12,BCTFX,13/G1S
play,3,1,castn001,22,BSF.B*S,K
play,4,1,harpb003,12,BCSFX,S7/L7D+
play,4,1,realj001,00,X,S9/G34.1-2
play,4,1,stotb001,02,CFX,64(1)5(2)/GDP/G6.B-1
play,4,1,bohma001,01,C>B,SB2
play,4,1,bohma001,22,C>B.FBC,K
play,5,1,clemk001,22,SBCBFFS,K
play,5,1,marsb002,11,FBX,S8/L8
play,5,1,schwk001,11,S*BX,S9/L9+.1-2
play,5,1,turnt001,02,SSX,8/F89XD+.2-3
play,5,1,castn001,00,X,S9/L9.3-H;1-2
play,5,1,harpb003,32,BS*BBC>S,K
play,6,1,realj001,22,FSBBT,K
play,6,1,stotb001,32,BBSBFX,3/G3
play,6,1,bohma001,00,X,4/F4MD
play,7,1,clemk001,00,,NP
play,7,1,clemk001,00,.,NP
play,1,1,schwk001,32,BBCBC.B,W
play,1,1,turnt001,22,BTFF*BFX,9/L9D
play,1,1,harpb003,32,BCFBFFB.>F>B,W.1-2
play,1,1,bohma001,12,CBFS,K
play,1,1,stotb001,02,CCFFX,S9/L89.2-H;1-2
play,1,1,marsb002,22,BCSBC,K
play,2,1,castn001,02,SCX,6/P6
play,2,1,stubg001,21,BCBX,7/F7LD
play,2,1,rojaj003,12,FFBS,K
play,3,1,schwk001,22,BCBS.FX,5/P6S
play,3,1,turnt001,01,SX,7/L78D+
play,3,1,harpb003,32,.CBBCBFX,43/G34
play,4,1,bohma001,02,FFC,K
play,4,1,stotb001,01,CX,5/P6S
play,4,1,marsb002,12,BCSX,S7/F7L
play,4,1,castn001,12,B*SS>S,K
play,5,1,stubg001,12,CBFX,43/G34
play,5,1,rojaj003,02,SFX,7/L7D+
play,5,1,schwk001,02,CSS,K
play,6,1,turnt001,10,BX,9/F9D
play,6,1,harpb003,22,BCBFS,K
play,6,1,bohma001,00,X,S7/G56
play,6,1,stotb001,21,BFBX,7/F7LS
play,7,1,marsb002,22,FBFBS,K
play,7,1,castn001,00,X,S9/L9
play,7,1,stubg001,00,X,4/P34D
play,7,1,rojaj003,22,BBFFFS,K
play,8,1,schwk001,00,,NP
