Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,diazy001,21,BCBX,S9/L9LD+
play,1,1,franw002,22,FBBFX,46(1)/FO/G34.B-1
play,1,1,ralel001,00,1>X,D9/L9L.1-3
play,1,1,arozr001,22,CSB*BFS,K
play,1,1,loweb001,22,TSBBT,K
play,2,1,wallt003,12,BCTT,K
play,2,1,aranj001,02,CS.S,K
play,2,1,margm001,12,CFBS,K
play,3,1,mejif001,12,SFFBS,K
play,3,1,diazy001,12,CCBF*S,K
play,3,1,franw002,12,CBFH,HP
play,3,1,ralel001,21,BBC>X,8/F8XD+
play,4,1,arozr001,02,FCS,K
play,4,1,loweb001,11,S.BX,5/P5
play,4,1,wallt003,02,.FTC,K
play,5,1,aranj001,22,CSBBS,K
play,5,1,margm001,02,SF.X,3/P3SF/FL
play,5,1,mejif001,11,CBX,9/F9
play,6,1,diazy001,00,X,S8/G4+
play,6,1,franw002,20,*BBX,9/F89XD
play,6,1,ralel001,12,CSBFFX,6/P6D
play,6,1,arozr001,32,BCSBFFB>B,W.1-2
play,6,1,loweb001,02,SFS,K
play,7,1,wallt003,32,TBBBC.FX,S9/G3
play,7,1,aranj001,22,BBCT.FX,9/F89XD
play,7,1,margm001,00,,NP
