id,BOS202307260
version,2
info,visteam,ATL
info,hometeam,BOS
info,site,BOS07
info,date,2023/07/26
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,willr901
info,ump1b,estam901
info,ump2b,fleta901
info,ump3b,bacce901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/01 12:13:57
info,howscored,unknown
info,pitches,pitches
info,oscorer,medes701
info,temp,85
info,winddir,tocf
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,149
info,attendance,37457
info,wp,jacqj001
info,lp,johnp001
info,save,jansk001
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,albio001,"Ozzie Albies",0,2,4
start,rilea001,"Austin Riley",0,3,5
start,olsom001,"Matt Olson",0,4,3
start,murps001,"Sean Murphy",0,5,2
start,ozunm001,"Marcell Ozuna",0,6,10
start,rosae001,"Eddie Rosario",0,7,7
start,arcio002,"Orlando Arcia",0,8,6
start,harrm004,"Michael Harris II",0,9,8
start,stris002,"Spencer Strider",0,0,1
start,duraj001,"Jarren Duran",1,1,7
start,turnj001,"Justin Turner",1,2,4
start,yoshm002,"Masataka Yoshida",1,3,10
start,dever001,"Rafael Devers",1,4,5
start,duvaa001,"Adam Duvall",1,5,8
start,verda001,"Alex Verdugo",1,6,9
start,casat001,"Triston Casas",1,7,3
start,wongc001,"Connor Wong",1,8,2
start,chany001,"Yu Chang",1,9,6
start,bellb002,"Brayan Bello",1,0,1
play,1,0,acunr001,00,X,7/L78+
play,1,0,albio001,32,CF.BFBBFFS,K
play,1,0,rilea001,01,CX,S7/G56
play,1,0,olsom001,22,SBBFS,K
play,1,1,duraj001,32,BBBCFC,K
play,1,1,turnj001,01,CX,3/P3S
play,1,1,yoshm002,01,CX,63/G6D
play,2,0,murps001,00,X,43/G6M
play,2,0,ozunm001,21,CBBX,E5/L5+.B-1
play,2,0,rosae001,22,FB*BFFFFX,46(1)3/GDP/G34
play,2,1,dever001,00,X,13/G2
play,2,1,duvaa001,02,CC.FFS,K
play,2,1,verda001,20,BBX,1/G3S
play,3,0,arcio002,01,SX,63/G6
play,3,0,harrm004,11,BCX,5/P5D
play,3,0,acunr001,30,BBBB,W
play,3,0,albio001,21,BB1FX,3/G3S
play,3,1,casat001,01,FX,S7/L7+
play,3,1,wongc001,20,B*BX,9/F9L
play,3,1,chany001,02,CS*S,K
play,3,1,duraj001,02,CFX,7/F7L
play,4,0,rilea001,32,CBFBFBX,9/F9LD
play,4,0,olsom001,00,X,S7/G6
play,4,0,murps001,21,BBSX,64(1)3/GDP/G6
play,4,1,turnj001,01,CX,S9/L89
play,4,1,yoshm002,10,BX,36(1)/FO/G3S.B-1
play,4,1,dever001,12,C1FBX,5/P56S
play,4,1,duvaa001,02,F1FS,K
play,5,0,ozunm001,12,BSC.X,13/G4MS
play,5,0,rosae001,12,SFBS,K
play,5,0,arcio002,32,BCBBCX,43/G4
play,5,1,verda001,22,CBBF.S,K
play,5,1,casat001,32,BBC.BFB,W
play,5,1,wongc001,22,BCS.*BX,S7/L78.1-2
play,5,1,chany001,12,BFS.S,K
play,5,1,duraj001,10,BX,8/F8
play,6,0,harrm004,10,BX,D8/L89D+
play,6,0,acunr001,00,H,HP
play,6,0,albio001,21,CBBX,HR/F9D.2-H;1-H
play,6,0,rilea001,10,BX,53/G5
play,6,0,olsom001,21,CBBX,31/G3
play,6,0,murps001,31,BBBC*B,W
play,6,0,ozunm001,22,BCSBS,K
play,6,1,turnj001,22,BCS.FFBS,K
play,6,1,yoshm002,22,CSBFB*S,K.BX1(23)
play,6,1,dever001,12,CBSX,HR/F9LD
play,6,1,duvaa001,02,FC.S,K
play,7,0,rosae001,00,,NP
sub,jacqj001,"Joe Jacques",1,0,1
play,7,0,rosae001,00,.,NP
sub,pillk001,"Kevin Pillar",0,7,11
play,7,0,pillk001,11,..SBX,63/G6
play,7,0,arcio002,22,BCCFBC,K
play,7,0,harrm004,01,CX,7/F7
play,7,1,verda001,00,,NP
sub,pillk001,"Kevin Pillar",0,7,7
play,7,1,verda001,12,.FCBC,K
play,7,1,casat001,00,X,HR/F8XD
play,7,1,wongc001,20,BBX,S7/L78S
play,7,1,chany001,00,,NP
