id,WAS202304010
version,2
info,visteam,ATL
info,hometeam,WAS
info,site,WAS11
info,date,2023/04/01
info,number,0
info,gametype,regular
info,starttime,4:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cuzzp901
info,ump1b,rippm901
info,ump2b,lives901
info,ump3b,belld901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/23 20:30:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,jacom701
info,temp,73
info,winddir,tolf
info,windspeed,18
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,141
info,attendance,27529
info,wp,stris002
info,lp,grayj004
info,save,
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,olsom001,"Matt Olson",0,2,3
start,rilea001,"Austin Riley",0,3,5
start,albio001,"Ozzie Albies",0,4,4
start,harrm004,"Michael Harris II",0,5,8
start,darnt001,"Travis d'Arnaud",0,6,2
start,rosae001,"Eddie Rosario",0,7,7
start,ozunm001,"Marcell Ozuna",0,8,10
start,arcio002,"Orlando Arcia",0,9,6
start,stris002,"Spencer Strider",0,0,1
start,garcl006,"Luis Garcia",1,1,4
start,menej001,"Joey Meneses",1,2,10
start,smitd008,"Dominic Smith",1,3,3
start,ruizk001,"Keibert Ruiz",1,4,2
start,dickc002,"Corey Dickerson",1,5,7
start,candj002,"Jeimer Candelario",1,6,5
start,thoml002,"Lane Thomas",1,7,9
start,abrac001,"CJ Abrams",1,8,6
start,roblv001,"Victor Robles",1,9,8
start,grayj004,"Josiah Gray",1,0,1
play,1,0,acunr001,02,SCX,HR/L7D
play,1,0,olsom001,20,BBX,HR/F89XD
play,1,0,rilea001,12,SSFB.S,K
play,1,0,albio001,00,X,S9/L9
play,1,0,harrm004,12,CF*BX,16(1)3/GDP/G1S
play,1,1,garcl006,22,FCFBFFFBFC,K
play,1,1,menej001,10,BX,63/G56
play,1,1,smitd008,02,CSS,K
play,2,0,darnt001,11,BFX,9/F9
play,2,0,rosae001,12,CCBX,3/G3
play,2,0,ozunm001,12,BCSFX,5/L5
play,2,1,ruizk001,02,FCFFS,K
play,2,1,dickc002,12,BCFS,K
play,2,1,candj002,12,BCSS,K
play,3,0,arcio002,11,BCX,S6/G56
play,3,0,acunr001,32,BFBFBX,9/F9LS
play,3,0,olsom001,32,BCB*BCS,K
play,3,0,rilea001,01,CX,S8/G6+.1-3
play,3,0,albio001,32,BF*BBS.>B,W+WP.3-H(NR);1-2
play,3,0,harrm004,22,FF*B*BX,S7/G6+.2-H;1-2
play,3,0,darnt001,00,X,43/G34
play,3,1,thoml002,01,CX,D8/L8XD+
play,3,1,abrac001,00,X,7/L7D
play,3,1,roblv001,32,SBBBF*B,W
play,3,1,garcl006,00,X,46(1)3/GDP/G34
play,4,0,rosae001,22,BBFSC,K
play,4,0,ozunm001,20,BBX,HR/F7D
play,4,0,arcio002,12,CFBX,13/G1S
play,4,0,acunr001,32,CBFBBS,K
play,4,1,menej001,02,CSFC,K
play,4,1,smitd008,32,SF.BBBB,W
play,4,1,ruizk001,21,BFBX,9/F9D
play,4,1,dickc002,30,BBBB,W.1-2
play,4,1,candj002,00,X,8/F8XD
play,5,0,olsom001,31,BFBBB,W
play,5,0,rilea001,22,BBFFX,54(1)3/GDP/G56D
play,5,0,albio001,10,BX,31/G34
play,5,1,thoml002,12,CCBX,S9/L3D
play,5,1,abrac001,12,CSFFFBX,9/L9D+
play,5,1,roblv001,02,SFX,6/P6D
play,5,1,garcl006,22,*BCSFFBB,WP.1-2
play,5,1,garcl006,32,*BCSFFBB.X,7/F7LD
play,6,0,harrm004,00,,NP
sub,banda001,"Anthony Banda",1,0,1
play,6,0,harrm004,10,.BX,63/G6
play,6,0,darnt001,12,FFBX,S7/G6+
play,6,0,rosae001,02,SSS,K
play,6,0,ozunm001,21,BBFX,54(1)/FO/G56.B-1
play,6,1,menej001,22,CBFFBS,K
play,6,1,smitd008,02,FSS,K
play,6,1,ruizk001,00,X,S8/L8S
play,6,1,dickc002,22,BBFFFFS,K
play,7,0,arcio002,00,,NP
sub,wardt003,"Thaddeus Ward",1,0,1
play,7,0,arcio002,11,.SBX,S8/G6
play,7,0,acunr001,22,CTBBX,9/F9D+
play,7,0,olsom001,22,BSCBX,HR/F78XD.1-H
play,7,0,rilea001,32,CBCFBBC,K
play,7,0,albio001,22,BFBCFX,6/P6D
play,7,1,candj002,00,,NP
