id,DET202308250
version,2
info,visteam,HOU
info,hometeam,DET
info,site,DET05
info,date,2023/08/25
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,diazl901
info,ump1b,estam901
info,ump2b,fleta901
info,ump3b,bacce901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/22 09:02:13
info,howscored,unknown
info,pitches,pitches
info,oscorer,kleir701
info,temp,76
info,winddir,tocf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,162
info,attendance,23832
info,wp,langa001
info,lp,presr001
info,save,
start,altuj001,"Jose Altuve",0,1,4
start,brega001,"Alex Bregman",0,2,5
start,tuckk001,"Kyle Tucker",0,3,9
start,alvay001,"Yordan Alvarez",0,4,7
start,diazy004,"Yainer Diaz",0,5,10
start,mccoc001,"Chas McCormick",0,6,8
start,abrej003,"Jose Abreu",0,7,3
start,penaj004,"Jeremy Pena",0,8,6
start,maldm001,"Martin Maldonado",0,9,2
start,valdf001,"Framber Valdez",0,0,1
start,vierm001,"Matt Vierling",1,1,7
start,ibana001,"Andy Ibanez",1,2,4
start,torks001,"Spencer Torkelson",1,3,3
start,rogej004,"Jake Rogers",1,4,2
start,greer003,"Riley Greene",1,5,9
start,cabrm001,"Miguel Cabrera",1,6,10
start,shorz001,"Zack Short",1,7,5
start,baezj001,"Javier Baez",1,8,6
start,meadp001,"Parker Meadows",1,9,8
start,mannm001,"Matt Manning",1,0,1
play,1,0,altuj001,01,CX,8/F8D
play,1,0,brega001,32,BCFBB.X,4/P34
play,1,0,tuckk001,11,BCX,8/F8XD+
play,1,1,vierm001,12,BCFF.X,53/G56
play,1,1,ibana001,20,BBX,63/G6
play,1,1,torks001,11,FBX,53/G5
play,2,0,alvay001,01,F.X,43/G34
play,2,0,diazy004,32,BBFFBX,5/P2F/FL
play,2,0,mccoc001,22,BSFBFX,53/G5
play,2,1,rogej004,02,CS.H,HP
play,2,1,greer003,22,SSBBF>B,SB2
play,2,1,greer003,32,SSBBF>B.FB,W
play,2,1,cabrm001,32,BBFCBFX,9/F9D.2-3
play,2,1,shorz001,21,BS1BX,FC/G56.3XH(52);1-2;B-1
play,2,1,baezj001,32,.B*BBCS>X,63/G6D
play,3,0,abrej003,12,BS.CX,E5/TH/G56.B-1
play,3,0,penaj004,12,CSBFX,C/E2.1-2;B-1
play,3,0,maldm001,00,X,24/SH/BG23.2-3;1-2
play,3,0,altuj001,12,*BCCX,S5/G6S.3-H(UR);2-3
play,3,0,brega001,00,X,64(1)3/GDP/G6
play,3,1,meadp001,30,BBBB,W
play,3,1,vierm001,00,X,3/SH/BG3S-.1-2
play,3,1,ibana001,01,CX,43/G4.2-3
play,3,1,torks001,12,CFFBF*S,K
play,4,0,tuckk001,00,X,7/L7
play,4,0,alvay001,11,CBX,8/F8XD+
play,4,0,diazy004,11,BSX,7/L78D
play,4,1,rogej004,10,BX,53/G56
play,4,1,greer003,12,FCBX,43/G4
play,4,1,cabrm001,31,BBBCB,W
play,4,1,shorz001,01,FX,53/G56S
play,5,0,mccoc001,12,BCC.FFS,K
play,5,0,abrej003,10,BX,9/L9S
play,5,0,penaj004,00,X,E5/TH/G56.B-1
play,5,0,maldm001,12,CF1BS,K
play,5,1,baezj001,01,SX,53/G6S
play,5,1,meadp001,31,BBBCB,W
play,5,1,vierm001,22,BSF1B>X,3/G3.1-2
play,5,1,ibana001,32,*BB.FSFBS,K
play,6,0,altuj001,20,BBX,3/P3F/FL
play,6,0,brega001,12,CBCX,53/G56
play,6,0,tuckk001,32,FBCFBBS,K
play,6,1,torks001,00,X,3/P3F/FL
play,6,1,rogej004,12,BCFS,K
play,6,1,greer003,10,BX,43/G34
play,7,0,alvay001,20,BBX,9/F89D
play,7,0,diazy004,12,SCB,NP
sub,whitb002,"Brendan White",1,0,1
play,7,0,diazy004,12,SCB.X,9/F9D
play,7,0,mccoc001,00,X,9/L9
play,7,1,cabrm001,22,CBBCFS,K
play,7,1,shorz001,32,BBCBF*B,W
play,7,1,baezj001,32,BBSBFC,K
com,"ej,hinca001,M,diazl901,Called third strike"
com,"$Tigers manager A. J. Hinch ejected by HP umpire Laz Diaz"
com,"for arguing called third strike"
play,7,1,meadp001,22,.*BSB*SS,K.BX1(23)
play,8,0,abrej003,12,CBF.S,K
play,8,0,penaj004,32,BBCS.FBB,W
play,8,0,maldm001,02,>FFF.S,K+SB2
com,"$Astros challenged (tag play), call on the field was overturned."
play,8,0,altuj001,12,SFBS,K
play,8,1,vierm001,00,,NP
sub,abreb002,"Bryan Abreu",0,0,1
play,8,1,vierm001,00,.X,3/P13
play,8,1,ibana001,00,,NP
sub,carpk001,"Kerry Carpenter",1,2,11
play,8,1,carpk001,22,.BCBFX,S9/G34
play,8,1,torks001,22,1SBS*BFX,4(1)3/GDP/G4M
play,9,0,brega001,00,,NP
sub,vierm001,"Matt Vierling",1,1,5
play,9,0,brega001,00,.,NP
sub,carpk001,"Kerry Carpenter",1,2,9
play,9,0,brega001,00,..,NP
sub,greer003,"Riley Greene",1,5,7
play,9,0,brega001,00,...,NP
sub,shorz001,"Zack Short",1,7,4
play,9,0,brega001,00,....,NP
sub,langa001,"Alex Lange",1,0,1
play,9,0,brega001,01,.....CX,9/F89
play,9,0,tuckk001,12,CBFX,C/E2.B-1
play,9,0,alvay001,02,SFF1>B,SB2
play,9,0,alvay001,32,SFF1>B.*BB*B,W
play,9,0,diazy004,00,,NP
sub,dubom001,"Mauricio Dubon",0,4,12
play,9,0,diazy004,22,.C*BFBX,64(1)/FO/G6.2-3;B-1
play,9,0,mccoc001,01,SX,53/G56
play,9,1,rogej004,00,,NP
sub,dubom001,"Mauricio Dubon",0,4,8
play,9,1,rogej004,00,.,NP
sub,mccoc001,"Chas McCormick",0,6,7
play,9,1,rogej004,00,..,NP
sub,presr001,"Ryan Pressly",0,0,1
play,9,1,rogej004,00,...,NP
sub,badda001,"Akil Baddoo",1,4,11
play,9,1,badda001,12,....SSFBFC,K
play,9,1,greer003,02,CFC,K
play,9,1,cabrm001,12,FSBFFX,S8/G4M
play,9,1,shorz001,00,,NP
sub,mckiz001,"Zach McKinstry",1,7,11
play,9,1,mckiz001,11,.SBX,S9/G34.1-2
play,9,1,baezj001,00,,NP
sub,kellc002,"Carson Kelly",1,6,12
play,9,1,baezj001,11,.SBX,S8/L78.2-H;1-3;B-2
play,9,1,meadp001,21,C*BBX,HR/F9LD.3-H;2-H
data,er,valdf001,0
data,er,abreb002,0
data,er,presr001,4
data,er,mannm001,0
data,er,whitb002,0
data,er,langa001,0
