id,HOU202303300
version,2
info,visteam,CHA
info,hometeam,HOU
info,site,HOU03
info,date,2023/03/30
info,number,0
info,gametype,regular
info,starttime,6:08PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,millb901
info,ump1b,drakr901
info,ump2b,whitc901
info,ump3b,ortir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/16 09:03:31
info,howscored,unknown
info,pitches,pitches
info,oscorer,wilkt701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,158
info,attendance,43032
info,wp,gravk001
info,lp,presr001
info,save,loper003
start,andet001,"Tim Anderson",0,1,6
start,robel002,"Luis Robert Jr.",0,2,8
start,vauga001,"Andrew Vaughn",0,3,3
start,jimee001,"Eloy Jimenez",0,4,10
start,moncy001,"Yoan Moncada",0,5,5
start,benia002,"Andrew Benintendi",0,6,7
start,grany001,"Yasmani Grandal",0,7,2
start,andre001,"Elvis Andrus",0,8,4
start,gonzr003,"Romy Gonzalez",0,9,9
start,ceasd001,"Dylan Cease",0,0,1
start,penaj004,"Jeremy Pena",1,1,6
start,brega001,"Alex Bregman",1,2,5
start,alvay001,"Yordan Alvarez",1,3,7
start,abrej003,"Jose Abreu",1,4,3
start,tuckk001,"Kyle Tucker",1,5,9
start,diazy004,"Yainer Diaz",1,6,10
start,meyej002,"Jake Meyers",1,7,8
start,maldm001,"Martin Maldonado",1,8,2
start,dubom001,"Mauricio Dubon",1,9,4
start,valdf001,"Framber Valdez",1,0,1
play,1,0,andet001,10,BX,43/G34
play,1,0,robel002,32,CBBFFBX,S1/G1S-
play,1,0,vauga001,01,CX,6/P78S
play,1,0,jimee001,00,X,64(1)/FO/G6.B-1
play,1,1,penaj004,11,BFX,S8/G6M
play,1,1,brega001,12,FF*BS,K
play,1,1,alvay001,12,SF*B>B,SB2
play,1,1,alvay001,22,SF*B>B.S,K
play,1,1,abrej003,12,CBC*S,K
play,2,0,moncy001,02,FFC,K
play,2,0,benia002,32,CBBBFX,3/L3+
play,2,0,grany001,10,BX,53/G56
play,2,1,tuckk001,22,SFBBC,K
play,2,1,diazy004,12,CFBFFX,8/F8
play,2,1,meyej002,02,CCC,K
play,3,0,andre001,22,BCBCX,63/G56
play,3,0,gonzr003,22,CCBBX,3/G34
play,3,0,andet001,31,CBB.BX,D9/L9LD
play,3,0,robel002,22,CSF*B*BFX,53/G5S
play,3,1,maldm001,12,CFB.C,K
play,3,1,dubom001,12,SSBFX,43/G4
play,3,1,penaj004,22,TS.BB*S,K
play,4,0,vauga001,02,CC*S,K.BX1(23)
play,4,0,jimee001,02,CSS,K
play,4,0,moncy001,22,CBSBFX,S7/G56
play,4,0,benia002,00,X,S7/G6.1-2
play,4,0,grany001,32,BBBCS>X,63/G6
play,4,1,brega001,02,CFX,9/F9LS
play,4,1,alvay001,32,BBBCFS,K
play,4,1,abrej003,12,CF.BX,13/G1
play,5,0,andre001,21,CBBX,S7/L7+
play,5,0,gonzr003,12,CF.BX,S8/L8D+.1-3
play,5,0,andet001,00,X,FC/G56.3XH(525);1-2;B-1
play,5,0,robel002,22,FFFB*BFS,K
play,5,0,vauga001,02,SSH,HP.2-3;1-2
play,5,0,jimee001,10,*BX,46(1)/FO/G4.B-1
play,5,1,tuckk001,00,X,9/L9D+
play,5,1,diazy004,12,CBCX,3/L34
play,5,1,meyej002,00,X,8/F8XD+
play,6,0,moncy001,00,,NP
sub,abreb002,"Bryan Abreu",1,0,1
play,6,0,moncy001,22,.FFFBBS,K
play,6,0,benia002,11,BFX,7/F7
play,6,0,grany001,02,CFX,13/G34S-
play,6,1,maldm001,12,CFBFX,8/F8XD
play,6,1,dubom001,22,FBFBX,63/G6
play,6,1,penaj004,22,CBS.BS,K
play,7,0,andre001,00,,NP
sub,nerih001,"Hector Neris",1,0,1
play,7,0,andre001,00,.X,53/G56
play,7,0,gonzr003,00,,NP
sub,colao001,"Oscar Colas",0,9,11
play,7,0,colao001,20,.BBX,S8/G6M
play,7,0,andet001,01,CX,S67/G6.1-2
play,7,0,robel002,00,X,C/E2.2-3;1-2;B-1
play,7,0,vauga001,22,BFBSFS,K
play,7,0,jimee001,12,FCBS,K
play,7,1,brega001,00,,NP
sub,colao001,"Oscar Colas",0,9,9
play,7,1,brega001,02,.FSS,K
play,7,1,alvay001,00,H,HP
play,7,1,abrej003,12,*BFFX,S7/G6.1-2
play,7,1,tuckk001,00,,NP
sub,bumma001,"Aaron Bummer",0,0,1
play,7,1,tuckk001,32,.BCBSBB,W.2-3;1-2
play,7,1,diazy004,12,BSCS,K
play,7,1,meyej002,00,B,WP.3-H(NR);2-3;1-2
play,7,1,meyej002,32,B.CSBBFS,K
play,8,0,moncy001,00,,NP
sub,montr004,"Rafael Montero",1,0,1
play,8,0,moncy001,00,.X,E3/G9LD.BX3(945)
com,"$White Sox challenged (tag play), call on the field was upheld."
play,8,0,benia002,22,BBSSS,K
play,8,0,grany001,10,BX,HR/L9D
play,8,0,andre001,01,SX,53/G5
play,8,1,maldm001,00,,NP
sub,gravk001,"Kendall Graveman",0,0,1
play,8,1,maldm001,00,.X,S7/L7D
play,8,1,dubom001,12,CBFFFX,54(1)3/GDP/G5
play,8,1,penaj004,21,BBCX,53/G56
play,9,0,colao001,00,,NP
sub,presr001,"Ryan Pressly",1,0,1
play,9,0,colao001,11,.BCX,9/F89XD
play,9,0,andet001,31,BFBBB,W
play,9,0,robel002,01,SX,S7/G6.1-2
play,9,0,vauga001,22,FC*B*BX,D8/L78XD+.2-H;1-H
play,9,0,jimee001,01,FX,9/F9LSF/FL
play,9,0,moncy001,12,BSFS,K
play,9,1,brega001,00,,NP
