Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,wardt002,00,X,9/F89D
play,1,1,troum001,21,BFBX,9/F9LS
play,1,1,ohtas001,32,FBBCFBX,43/G4
play,2,1,renda001,31,BCBBX,9/F9S
play,2,1,renfh001,02,CF*S,K
play,2,1,drurb001,11,BTX,43/G4
play,3,1,urshg001,12,CBFX,43/G4
play,3,1,okeyc001,02,CC*S,K
play,3,1,netoz001,11,BFX,HR/F89XD
play,3,1,wardt002,02,CSS,K
play,4,1,troum001,12,BFF.*S,K
play,4,1,ohtas001,32,BBSCBX,8/L8
play,4,1,renda001,11,BSX,63/G6
play,5,1,renfh001,00,,NP
play,5,1,renfh001,02,.FFFS,K
play,5,1,drurb001,01,CX,3/G34
play,5,1,urshg001,22,BFFBX,E4/G34.B-1
play,5,1,okeyc001,12,FCB*S,K
play,6,1,netoz001,02,CT.*S,K
play,6,1,wardt002,02,FFFC,K
play,6,1,troum001,01,FX,S7/L7L
play,6,1,ohtas001,00,X,C/E2.1-2;B-1
play,6,1,renda001,02,CC.S,K
play,7,1,renfh001,02,CC.FC,K
play,7,1,drurb001,32,SBSBBS,K
play,7,1,urshg001,11,FBX,S7/L78D
play,7,1,okeyc001,00,,NP
play,7,1,rengl001,01,.SX,8/F8
play,8,1,netoz001,01,FX,8/F8D
play,8,1,wardt002,10,BX,53/G56
play,8,1,troum001,02,CCS,K
play,9,1,ohtas001,00,,NP
play,1,1,netoz001,02,CFS,K
play,1,1,ohtas001,22,FBS.BS,K
play,1,1,wardt002,22,TCBBFX,D7/G6+
play,1,1,monim001,01,SX,3/L3
play,2,1,escoe001,22,CS.BBS,K
play,2,1,mousm001,12,FSBC,K
play,2,1,renfh001,32,BBCFBB,W
play,2,1,thaim001,01,CX,S7/L7L+.1-2
play,2,1,rengl001,00,X,HR/F89XD+.2-H;1-H
play,2,1,netoz001,02,SC.S,K
play,3,1,ohtas001,11,VCX,43/G34D
play,3,1,wardt002,12,CCBS,K
play,3,1,monim001,22,BBCFS,K
play,4,1,escoe001,01,CX,E5/G56.B-1
play,4,1,mousm001,12,CBCFS,K
play,4,1,renfh001,01,FX,D8/L89XD+.1XH(842)
play,4,1,thaim001,12,BSFFS,K
play,5,1,rengl001,10,BX,63/G6D
play,5,1,netoz001,22,BBCS.S,K
play,5,1,ohtas001,02,SSFS,K
play,6,1,wardt002,01,CX,S8/L89+
play,6,1,monim001,12,BCFX,S7/L78S.1-2
play,6,1,escoe001,02,LS*S,K
play,6,1,mousm001,12,C*BFFS,K
play,6,1,renfh001,01,FX,64(1)/FO/G6.B-1
play,7,1,thaim001,32,FC.BBV*B,W
play,7,1,rengl001,02,CCFX,4(1)/FO/G34.B-1
play,7,1,netoz001,11,BFX,HR/F78XD+.1-H
play,7,1,ohtas001,11,FB,NP
