Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,acunr001,00,X,S8/G6M
play,1,1,olsom001,01,C1>B,SB2
play,1,1,olsom001,22,C1>B.FBS,K
play,1,1,rilea001,10,BX,43/G4
play,1,1,murps001,00,>C,SB3
play,1,1,murps001,12,>C.*BCFFFC,K
play,2,1,albio001,10,BX,6/L6
play,2,1,grisv001,11,FBX,63/G6
play,2,1,pillk001,02,CFFC,K
play,3,1,ozunm001,01,SX,63/G6
play,3,1,white006,32,BCBFBFT,K
play,3,1,acunr001,00,X,63/G6
play,4,1,olsom001,12,FS.B*S,K
play,4,1,rilea001,11,BTX,8/F8
play,4,1,murps001,00,X,HR/F78XD
play,4,1,albio001,00,X,S8/G6M
play,4,1,grisv001,00,X,S8/G4M.1-2
play,4,1,pillk001,00,X,43/G6M
play,5,1,ozunm001,01,CX,63/G6
play,5,1,white006,20,BBX,6/L6D+
play,5,1,acunr001,00,X,9/F89XD+
play,6,1,olsom001,01,CX,S7/G6
play,6,1,rilea001,20,BBX,9/L9D+
play,6,1,murps001,22,CBBCFS,K
play,6,1,albio001,22,BBSFX,HR/F78XD.1-H
play,6,1,grisv001,01,CX,S9/G34
play,6,1,pillk001,12,CC1F*B*S,K
play,7,1,ozunm001,11,FBX,43/G34
play,7,1,white006,22,BCSBC,K
play,7,1,acunr001,12,B.CCX,S7/G56
play,7,1,olsom001,02,FC>*B,SB2
play,7,1,olsom001,12,FC>*B.S,K
play,8,1,rilea001,00,,NP
