Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,rutsa001,32,CBBBFB,W
play,1,1,mounr001,02,CSFFFX,HR/F78XD.1-H
play,1,1,santa003,01,CX,9/F9L
play,1,1,haysa001,21,CBBX,43/G4M
play,1,1,hendg002,01,CX,43/G34
play,2,1,westj002,01,CX,63/G6D
play,2,1,uriar001,01,FX,T98/F9D
play,2,1,mccaj001,00,X,FC1/G34S-.3-H;B-1
play,2,1,matej003,32,CBBFBFX,63/G6S.1-2
play,2,1,rutsa001,00,X,HR/F78XD.2-H
play,2,1,mounr001,02,FFF*S,K.BX1(23)
play,3,1,santa003,31,BBBC*B,W
play,3,1,haysa001,01,FX,64(1)3/GDP/G6
play,3,1,hendg002,10,BX,43/G34
play,4,1,westj002,31,BCBBX,DGR/L9D+
play,4,1,uriar001,00,X,43/G4.2-3
play,4,1,mccaj001,00,X,8/SF/F78XD+.3-H
play,4,1,matej003,12,BFFS,K
play,5,1,rutsa001,31,BCBBX,53/G56S
play,5,1,mounr001,22,CBBC.S,K
play,5,1,santa003,12,CCBX,5/L56
play,6,1,haysa001,11,BCX,13/G1S
play,6,1,hendg002,22,BCFBX,S8/G6
play,6,1,westj002,10,1BX,S7/G56.1-2
play,6,1,uriar001,00,X,54(1)3/GDP/G56
play,7,1,mccaj001,00,X,S8/L89D
play,7,1,matej003,11,CBX,S9/G34.1-2
play,7,1,rutsa001,10,BX,8/F8
play,7,1,mounr001,12,SBFFX,3/L3/DP.2X2(36)
play,8,1,santa003,00,,NP
