Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,rafac001,22,FBCFBS,K
play,1,1,turnj001,22,BFBCFX,8/L89D
play,1,1,dever001,21,BBFX,2/P3SF/FL
play,2,1,duvaa001,10,BX,53/G56
play,2,1,refsr001,21,BBFX,13/G1
play,2,1,verda001,02,CCT,K
play,3,1,urial001,12,BFC.S,K
play,3,1,casat001,32,CBB.FBC,K
play,3,1,wongc001,22,BBCFX,5/P1
play,4,1,rafac001,01,CX,63/G6
play,4,1,turnj001,02,CFX,S8/L8
play,4,1,dever001,22,BFFBFX,46(1)3/GDP/G4
play,5,1,duvaa001,02,CS.FC,K
play,5,1,refsr001,11,BS.X,53/G56S
play,5,1,verda001,11,BFX,6/F6D
play,6,1,urial001,11,S.BX,S5/G5S
play,6,1,casat001,32,SF*BFB.BFX,D9/L9.1-3
play,6,1,wongc001,01,FX,E6/TH/G6.3-H;B-1
play,6,1,rafac001,00,X,D7/L7D+.2-H;1-3
play,6,1,turnj001,00,X,63/G6.3-H(UR);2-3
play,6,1,dever001,11,FBX,63/G4MD.3-H(UR)
play,6,1,duvaa001,00,X,D7/F78D+
play,6,1,refsr001,20,BBX,63/G6
play,7,1,verda001,00,,NP
