Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,delab001,22,BFFBX,53/G5
play,1,1,solej001,00,X,9/F9D
play,1,1,arral001,12,CFBT,K
play,2,1,bellj005,02,CS.S,K
play,2,1,burgj001,22,FBCB.S,K
play,2,1,gurry001,02,CFX,7/F78D
play,3,1,garca003,22,VCSBX,53/G56
play,3,1,fortn001,20,BBX,D7/G5
play,3,1,bertj001,12,CFBFX,D8/L78D+.2-H
play,3,1,delab001,00,>B,SB3
play,3,1,delab001,32,>B.C*BCBS,K
play,3,1,solej001,00,S,PB.3-H(NR)(UR)
play,3,1,solej001,01,S.X,53/G5
play,4,1,arral001,11,FBX,31/G3
play,4,1,bellj005,01,SX,3/G3
play,4,1,burgj001,22,CBBCX,S8/G6+
play,4,1,gurry001,00,X,8/F8D
play,5,1,garca003,00,X,31/G34
play,5,1,fortn001,00,X,3/P34S
play,5,1,bertj001,11,CBX,3/G3
play,6,1,delab001,01,SX,63/G6
play,6,1,solej001,01,CX,9/F9
play,6,1,arral001,00,X,31/G34
play,7,1,bellj005,12,CBFX,S7/L7
play,7,1,burgj001,01,CX,64(1)/FO/G56+.B-1
play,7,1,gurry001,01,CX,64(1)/FO/G56.B-1
play,7,1,garca003,32,F1CFFBB*B>F>B,W.1-2
play,7,1,fortn001,31,*BBBCX,8/F89XD
play,8,1,bertj001,10,BX,9/F9LD
play,8,1,delab001,20,BBX,9/L89XD+
play,8,1,solej001,12,BFCX,HR/L7LD
play,8,1,arral001,10,BX,HR/F9LD
play,8,1,bellj005,00,,NP
