Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,edmat001,20,VBX,8/F8D
play,1,1,goldp001,02,FSS,K.BX1(23)
play,1,1,arenn001,01,CX,S9/L9
play,1,1,contw001,01,TB,WP.1-2
play,1,1,contw001,12,TB.SC,K
play,2,1,walkj003,10,BX,9/F9LS
play,2,1,carld002,10,BX,7/F7
play,2,1,donob001,01,CX,3/G1S
play,3,1,dejop001,12,BCCX,HR/F7LD
play,3,1,kniza001,10,BX,S9/L9LD
play,3,1,edmat001,12,BCCC,K
play,3,1,goldp001,12,*BFSC,K
play,3,1,arenn001,00,S,WP.1-2
play,3,1,arenn001,22,S.*S*BF*BX,43/G4+
play,4,1,contw001,00,X,D7/L7LD+
play,4,1,walkj003,00,X,S6/G6.2X3(635)
play,4,1,carld002,12,*BFS.FX,S7/G6+.1-2
play,4,1,donob001,32,BBBCCB,W.2-3;1-2
play,4,1,dejop001,10,BX,9/SF/F89XD+.3-H;2-3
play,4,1,kniza001,02,*S*S1X,43/G4M+
play,5,1,edmat001,00,X,63/G6
play,5,1,goldp001,32,C.BBCB*B,W
play,5,1,arenn001,10,BX,D9/F89XD+.1-H;B-3(E4/TH)
play,5,1,contw001,00,X,53/G56S
play,5,1,walkj003,31,*SBB*BB,W
play,5,1,carld002,10,BB,WP.3-H(NR);1-2
play,5,1,carld002,32,BB.C*S*BX,S5/G5.2-3
play,5,1,donob001,32,*B1FBFFFB>X,53/G56S
play,6,1,dejop001,02,CCS,K
play,6,1,kniza001,00,X,63/G6
play,6,1,edmat001,22,CF.BFBS,K
play,7,1,goldp001,00,,NP
play,7,1,goldp001,00,.,NP
play,7,1,goldp001,12,..SSBFFS,K
play,7,1,arenn001,31,BBCBB,W
play,7,1,contw001,02,FSX,8/F8D
play,7,1,walkj003,00,X,8/F8XD+
play,8,1,carld002,00,,NP
play,8,1,carld002,32,.FBC.BBS,K
play,8,1,donob001,12,FBS.X,53/G6S
play,8,1,dejop001,12,CFB*S,K
