Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,sprig001,22,VCBFC,K
play,1,1,bichb001,22,BCCFB*S,K
play,1,1,guerv002,20,BBX,S7/L7D
play,1,1,chapm001,22,BCC*BS,K
play,2,1,kirka001,00,X,53/G56S
play,2,1,beltb001,30,BBBB,W
play,2,1,merrw001,12,CCBFX,S9/L89S.1-2
play,2,1,espis001,00,X,8/L78D
play,2,1,kierk001,21,SB*BH,HP.2-3;1-2
play,2,1,sprig001,10,BX,64(1)/FO/G6.B-1
play,3,1,bichb001,12,.FBFX,8/F89XD+
play,3,1,guerv002,22,CBSBS,K
play,3,1,chapm001,32,FBBBC.X,63/G56+
play,4,1,kirka001,01,CX,E5/TH/G56.B-1
play,4,1,beltb001,12,C*BCT,K
play,4,1,merrw001,21,BCBX,46(1)/FO/G4.B-1
play,4,1,espis001,22,C1F*BBF.>X,6/P6D
play,5,1,varsd001,32,BBBCFB,W
play,5,1,sprig001,00,B,PB.1-2
play,5,1,sprig001,30,B.BBB,W
play,5,1,bichb001,12,FBFX,36(1)/FO/G34.2-3;B-1
play,5,1,guerv002,32,*BC*BBC.B,W.1-2
play,5,1,chapm001,12,SCFBX,14(1)/FO/G6MS-.3-H;2-3;B-1
play,5,1,kirka001,10,BX,DGR/F8XD.3-H;1-3
play,5,1,beltb001,31,*BBFBX,S9/L89D+.3-H;2XH(962)
play,6,1,merrw001,00,,NP
