id,ANA202305090
version,2
info,visteam,HOU
info,hometeam,ANA
info,site,ANA01
info,date,2023/05/09
info,number,0
info,gametype,regular
info,starttime,6:38PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,libkj901
info,ump1b,jimee902
info,ump2b,hoyej901
info,ump3b,reybd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:29
info,howscored,unknown
info,pitches,pitches
info,oscorer,johnc701
info,temp,63
info,winddir,tocf
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,136
info,attendance,29018
info,wp,valdf001
info,lp,ohtas001
info,save,presr001
start,dubom001,"Mauricio Dubon",0,1,4
start,brega001,"Alex Bregman",0,2,5
start,alvay001,"Yordan Alvarez",0,3,10
start,abrej003,"Jose Abreu",0,4,3
start,tuckk001,"Kyle Tucker",0,5,9
start,penaj004,"Jeremy Pena",0,6,6
start,julkc001,"Corey Julks",0,7,7
start,meyej002,"Jake Meyers",0,8,8
start,maldm001,"Martin Maldonado",0,9,2
start,valdf001,"Framber Valdez",0,0,1
start,wardt002,"Taylor Ward",1,1,7
start,troum001,"Mike Trout",1,2,8
start,ohtas001,"Shohei Ohtani",1,3,10
start,renda001,"Anthony Rendon",1,4,5
start,renfh001,"Hunter Renfroe",1,5,9
start,drurb001,"Brandon Drury",1,6,4
start,urshg001,"Gio Urshela",1,7,3
start,okeyc001,"Chris Okey",1,8,2
start,netoz001,"Zach Neto",1,9,6
start,ohtas001,"Shohei Ohtani",1,0,1
play,1,0,dubom001,22,FFBBFS,K
play,1,0,brega001,02,CFX,53/G6S
play,1,0,alvay001,32,CFBFFVFFBFB,W
play,1,0,abrej003,02,CS.X,53/G6S
play,1,1,wardt002,00,X,9/F89D
play,1,1,troum001,21,BFBX,9/F9LS
play,1,1,ohtas001,32,FBBCFBX,43/G4
play,2,0,tuckk001,00,X,13/G1-
play,2,0,penaj004,12,CFBS,K
play,2,0,julkc001,02,CCS,K+WP.B-1
play,2,0,meyej002,01,F>B,SB2
play,2,0,meyej002,22,F>B.*SBC,K
play,2,1,renda001,31,BCBBX,9/F9S
play,2,1,renfh001,02,CF*S,K
play,2,1,drurb001,11,BTX,43/G4
play,3,0,maldm001,32,BCC.BBX,53/G6S
play,3,0,dubom001,01,FX,13/G1S
play,3,0,brega001,01,CX,S7/L7+
play,3,0,alvay001,00,X,43/G4
play,3,1,urshg001,12,CBFX,43/G4
play,3,1,okeyc001,02,CC*S,K
play,3,1,netoz001,11,BFX,HR/F89XD
play,3,1,wardt002,02,CSS,K
play,4,0,abrej003,02,F.C*S,K
play,4,0,tuckk001,00,X,C/E2.B-1
play,4,0,penaj004,01,CX,54(1)/FO/G56.B-1
play,4,0,julkc001,31,SB1*BB>C,CS2(24)
play,4,1,troum001,12,BFF.*S,K
play,4,1,ohtas001,32,BBSCBX,8/L8
play,4,1,renda001,11,BSX,63/G6
play,5,0,julkc001,11,CBX,7/F7D
play,5,0,meyej002,30,BBBB,W
play,5,0,maldm001,22,BBCF>B,SB2
play,5,0,maldm001,32,BBCF>B.X,HR/F7D.2-H
play,5,0,dubom001,01,CX,S9/L9L
play,5,0,brega001,00,,NP
sub,hensd002,"David Hensley",0,1,12
play,5,0,brega001,12,.BTFX,S4/P34D.1-2
play,5,0,alvay001,00,X,S7/G6.2-H;1-2
play,5,0,abrej003,01,CX,53/G56S.2-3;1-2
play,5,0,tuckk001,01,CX,31/G3
play,5,1,renfh001,00,,NP
sub,hensd002,"David Hensley",0,1,4
play,5,1,renfh001,02,.FFFS,K
play,5,1,drurb001,01,CX,3/G34
play,5,1,urshg001,22,BFFBX,E4/G34.B-1
play,5,1,okeyc001,12,FCB*S,K
play,6,0,penaj004,10,BX,4/P34D
play,6,0,julkc001,32,BFBBSFX,63/G6
play,6,0,meyej002,12,CBS.T,K
play,6,1,netoz001,02,CT.*S,K
play,6,1,wardt002,02,FFFC,K
play,6,1,troum001,01,FX,S7/L7L
play,6,1,ohtas001,00,X,C/E2.1-2;B-1
play,6,1,renda001,02,CC.S,K
play,7,0,maldm001,22,SS.BBS,K
play,7,0,hensd002,02,CCX,S9/G3
play,7,0,brega001,00,X,46(1)3/GDP/G4
play,7,1,renfh001,02,CC.FC,K
play,7,1,drurb001,32,SBSBBS,K
play,7,1,urshg001,11,FBX,S7/L78D
play,7,1,okeyc001,00,,NP
sub,rengl001,"Luis Rengifo",1,8,11
play,7,1,rengl001,01,.SX,8/F8
play,8,0,alvay001,00,,NP
sub,thaim001,"Matt Thaiss",1,8,2
play,8,0,alvay001,00,.,NP
sub,wanta001,"Andrew Wantz",1,0,1
play,8,0,alvay001,00,...X,9/F9L
play,8,0,abrej003,22,CBT.BFFFX,4/P34D
play,8,0,tuckk001,00,X,8/F78XD+
play,8,1,netoz001,01,FX,8/F8D
play,8,1,wardt002,10,BX,53/G56
play,8,1,troum001,02,CCS,K
play,9,0,penaj004,32,FCFBBBX,S7/L7S
play,9,0,julkc001,32,BF1BFB>X,9/F89D
play,9,0,meyej002,00,1X,46(1)/FO/G34.B-1
play,9,0,maldm001,02,SC.S,K
play,9,1,ohtas001,00,,NP
id,ANA202307150
version,2
info,visteam,HOU
info,hometeam,ANA
info,site,ANA01
info,date,2023/07/15
info,number,0
info,gametype,regular
info,starttime,6:07PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,blasc901
info,ump1b,torrc901
info,ump2b,wolcq901
info,ump3b,kulpr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:26
info,howscored,unknown
info,pitches,pitches
info,oscorer,johnc701
info,temp,77
info,winddir,torf
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,211
info,attendance,37523
info,wp,estec001
info,lp,matop002
info,save,
start,dubom001,"Mauricio Dubon",0,1,4
start,penaj004,"Jeremy Pena",0,2,6
start,tuckk001,"Kyle Tucker",0,3,9
start,brega001,"Alex Bregman",0,4,5
start,abrej003,"Jose Abreu",0,5,3
start,julkc001,"Corey Julks",0,6,7
start,diazy004,"Yainer Diaz",0,7,10
start,mccoc001,"Chas McCormick",0,8,8
start,maldm001,"Martin Maldonado",0,9,2
start,valdf001,"Framber Valdez",0,0,1
start,netoz001,"Zach Neto",1,1,6
start,ohtas001,"Shohei Ohtani",1,2,10
start,wardt002,"Taylor Ward",1,3,7
start,monim001,"Mickey Moniak",1,4,8
start,escoe001,"Eduardo Escobar",1,5,5
start,mousm001,"Mike Moustakas",1,6,3
start,renfh001,"Hunter Renfroe",1,7,9
start,thaim001,"Matt Thaiss",1,8,2
start,rengl001,"Luis Rengifo",1,9,4
start,detmr001,"Reid Detmers",1,0,1
play,1,0,dubom001,12,S.FFBX,S6/G6MS
play,1,0,penaj004,32,B1C*BSBX,8/F8
play,1,0,tuckk001,01,F>C,CS2(26)
play,1,0,tuckk001,22,F>C.BBX,43/G34
play,1,1,netoz001,02,CFS,K
play,1,1,ohtas001,22,FBS.BS,K
play,1,1,wardt002,22,TCBBFX,D7/G6+
play,1,1,monim001,01,SX,3/L3
play,2,0,brega001,02,FCX,9/F9LD
