id,TOR202306080
version,2
info,visteam,HOU
info,hometeam,TOR
info,site,TOR02
info,date,2023/06/08
info,number,0
info,gametype,regular
info,starttime,7:07PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,iassd901
info,ump1b,barrs901
info,ump2b,morag901
info,ump3b,becka901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/01 09:04:57
info,howscored,unknown
info,pitches,pitches
info,oscorer,moreh701
info,temp,68
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,154
info,attendance,28284
info,wp,berrj001
info,lp,valdf001
info,save,romaj004
start,penaj004,"Jeremy Pena",0,1,6
start,altuj001,"Jose Altuve",0,2,4
start,alvay001,"Yordan Alvarez",0,3,10
start,brega001,"Alex Bregman",0,4,5
start,tuckk001,"Kyle Tucker",0,5,9
start,abrej003,"Jose Abreu",0,6,3
start,mccoc001,"Chas McCormick",0,7,7
start,meyej002,"Jake Meyers",0,8,8
start,maldm001,"Martin Maldonado",0,9,2
start,valdf001,"Framber Valdez",0,0,1
start,sprig001,"George Springer",1,1,9
start,bichb001,"Bo Bichette",1,2,6
start,guerv002,"Vladimir Guerrero Jr.",1,3,3
start,chapm001,"Matt Chapman",1,4,5
start,kirka001,"Alejandro Kirk",1,5,2
start,beltb001,"Brandon Belt",1,6,10
start,merrw001,"Whit Merrifield",1,7,7
start,espis001,"Santiago Espinal",1,8,4
start,kierk001,"Kevin Kiermaier",1,9,8
start,berrj001,"Jose Berrios",1,0,1
play,1,0,penaj004,11,CBX,53/G56
play,1,0,altuj001,01,FX,8/F8XD+
play,1,0,alvay001,22,SSBBFF.X,3/G34
play,1,1,sprig001,22,VCBFC,K
play,1,1,bichb001,22,BCCFB*S,K
play,1,1,guerv002,20,BBX,S7/L7D
play,1,1,chapm001,22,BCC*BS,K
play,2,0,brega001,01,CX,HR/F7D
play,2,0,tuckk001,32,CBBFB.B,W
play,2,0,abrej003,01,C1X,S7/G56.1-2
play,2,0,mccoc001,11,FBX,S7/G56.2-3;1-2
play,2,0,meyej002,02,CFX,54(1)3/GDP/G56.3-H(NR);2-3
play,2,0,maldm001,31,SBBBX,63/G6+
play,2,1,kirka001,00,X,53/G56S
play,2,1,beltb001,30,BBBB,W
play,2,1,merrw001,12,CCBFX,S9/L89S.1-2
play,2,1,espis001,00,X,8/L78D
play,2,1,kierk001,21,SB*BH,HP.2-3;1-2
play,2,1,sprig001,10,BX,64(1)/FO/G6.B-1
play,3,0,penaj004,12,BFSS,K
play,3,0,altuj001,22,BBCCFX,E6/G6.B-1
play,3,0,alvay001,00,,NP
sub,julkc001,"Corey Julks",0,3,11
play,3,0,julkc001,31,.CB1BB>B,W.1-2
play,3,0,brega001,10,B2X,64(1)3/GDP/G6+
play,3,1,bichb001,12,.FBFX,8/F89XD+
play,3,1,guerv002,22,CBSBS,K
play,3,1,chapm001,32,FBBBC.X,63/G56+
play,4,0,tuckk001,00,,NP
sub,varsd001,"Daulton Varsho",1,9,8
play,4,0,tuckk001,11,.BFX,13/G1S
play,4,0,abrej003,22,BF.BSS,K
play,4,0,mccoc001,32,BBFS.BX,63/G6
play,4,1,kirka001,01,CX,E5/TH/G56.B-1
play,4,1,beltb001,12,C*BCT,K
play,4,1,merrw001,21,BCBX,46(1)/FO/G4.B-1
play,4,1,espis001,22,C1F*BBF.>X,6/P6D
play,5,0,meyej002,00,X,S8/L8+
play,5,0,maldm001,01,1CX,7/F7
play,5,0,penaj004,02,C>FX,53/G56S.1-2
play,5,0,altuj001,02,CFX,8/L8D
play,5,1,varsd001,32,BBBCFB,W
play,5,1,sprig001,00,B,PB.1-2
play,5,1,sprig001,30,B.BBB,W
play,5,1,bichb001,12,FBFX,36(1)/FO/G34.2-3;B-1
play,5,1,guerv002,32,*BC*BBC.B,W.1-2
play,5,1,chapm001,12,SCFBX,14(1)/FO/G6MS-.3-H;2-3;B-1
play,5,1,kirka001,10,BX,DGR/F8XD.3-H;1-3
play,5,1,beltb001,31,*BBFBX,S9/L89D+.3-H;2XH(962)
play,6,0,julkc001,11,CBX,53/G56
play,6,0,brega001,12,CFBFFFX,8/F8
play,6,0,tuckk001,32,CCBBBX,9/F9D
play,6,1,merrw001,00,,NP
