id,DET202305040
version,2
info,visteam,NYN
info,hometeam,DET
info,site,DET05
info,date,2023/05/04
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,becka901
info,ump1b,iassd901
info,ump2b,morag901
info,ump3b,barrs901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:23
info,howscored,unknown
info,pitches,pitches
info,oscorer,libea701
info,temp,59
info,winddir,tocf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,126
info,attendance,18369
info,wp,rodre004
info,lp,verlj001
info,save,langa001
start,nimmb001,"Brandon Nimmo",0,1,8
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,phamt001,"Tommy Pham",0,5,10
start,mcnej002,"Jeff McNeil",0,6,4
start,canhm001,"Mark Canha",0,7,7
start,escoe001,"Eduardo Escobar",0,8,5
start,alvaf001,"Francisco Alvarez",0,9,2
start,verlj001,"Justin Verlander",0,0,1
start,mckiz001,"Zach McKinstry",1,1,7
start,greer003,"Riley Greene",1,2,8
start,baezj001,"Javier Baez",1,3,6
start,maton001,"Nick Maton",1,4,5
start,torks001,"Spencer Torkelson",1,5,3
start,haase001,"Eric Haase",1,6,10
start,vierm001,"Matt Vierling",1,7,9
start,ibana001,"Andy Ibanez",1,8,4
start,rogej004,"Jake Rogers",1,9,2
start,rodre004,"Eduardo Rodriguez",1,0,1
play,1,0,nimmb001,12,CFBC,K
play,1,0,marts002,00,X,9/F9LSF/FL
play,1,0,lindf001,22,CF.BBFS,K
play,1,1,mckiz001,21,CBBX,8/F78D+
play,1,1,greer003,11,CBX,HR/F9LD
play,1,1,baezj001,10,BX,HR/F9D
play,1,1,maton001,32,BBFFF.BS,K
play,1,1,torks001,12,CBFX,7/L7D+
play,2,0,alonp001,02,CSS,K
play,2,0,phamt001,12,CBFX,S7/L7
play,2,0,mcnej002,32,FBBFVC,K
play,2,0,canhm001,21,CBB>C,CS2(24)
play,2,1,haase001,12,CTFBX,7/L7D+
play,2,1,vierm001,11,CBX,8/F89D
play,2,1,ibana001,00,X,7/F7L
play,3,0,canhm001,12,CF.BC,K
play,3,0,escoe001,31,BSBBB,W
play,3,0,alvaf001,01,CX,3/P3F/FL
play,3,0,nimmb001,00,X,3/G3
play,3,1,rogej004,12,CBSS,K
play,3,1,mckiz001,30,BBBB,W
play,3,1,greer003,12,F1B1FX,S5/G56.1-2
play,3,1,baezj001,12,C*BFX,8/F8XD.2-3
play,3,1,maton001,12,*BFS>B,SB2
play,3,1,maton001,22,*BFS>B.*S,K
play,4,0,marts002,02,CCX,S8/F8S
play,4,0,lindf001,02,CSX,8/F78XD
play,4,0,alonp001,22,CFFBBX,9/F9D
play,4,0,phamt001,12,BCSS,K
play,4,1,torks001,22,CBFBF.FFX,9/F9
play,4,1,haase001,21,BSBX,S7/F78S
play,4,1,vierm001,11,B.FX,64(1)3/GDP/G6
play,5,0,mcnej002,10,BX,43/G4
play,5,0,canhm001,21,CBBX,3/P4
play,5,0,escoe001,12,CBF.X,3/P3F/FL
play,5,1,ibana001,00,X,D8/L89D
play,5,1,rogej004,12,FFBS,K
play,5,1,mckiz001,22,BBC2SC,K
play,5,1,greer003,02,FFFX,43/G4
play,6,0,alvaf001,32,FSBBB.X,43/G4
play,6,0,nimmb001,00,X,43/G34
play,6,0,marts002,20,BBX,2/P3SF/FL
play,6,1,baezj001,00,,NP
sub,brigj002,"Jeff Brigham",0,0,1
play,6,1,baezj001,21,.BBSX,63/G6
play,6,1,maton001,32,CBCBB.FC,K
play,6,1,torks001,01,CH,HP
play,6,1,haase001,32,CBBBF>X,53/G56
play,7,0,lindf001,32,SBF.FBBS,K
play,7,0,alonp001,02,SS.S,K
play,7,0,phamt001,12,CFBC,K
play,7,1,vierm001,00,,NP
sub,leond003,"Dominic Leone",0,0,1
play,7,1,vierm001,11,.FBX,9/L9D
play,7,1,ibana001,01,CX,8/F89XD
play,7,1,rogej004,22,CSBFBT,K
play,8,0,mcnej002,00,,NP
sub,shorz001,"Zack Short",1,8,4
play,8,0,mcnej002,32,.CBBCFV.FX,3/G3
play,8,0,canhm001,11,CBX,8/L89XD+
play,8,0,escoe001,02,FFX,9/L9
play,8,1,mckiz001,00,,NP
sub,smitd009,"Drew Smith",0,0,1
play,8,1,mckiz001,22,.CBFFFBX,63/G6M
play,8,1,greer003,32,BBCBFS,K
play,8,1,baezj001,02,CTH,HP
play,8,1,maton001,22,BS+1BSX,63/G4
play,9,0,alvaf001,00,,NP
sub,langa001,"Alex Lange",1,0,1
play,9,0,alvaf001,00,.,NP
sub,voged001,"Daniel Vogelbach",0,9,11
play,9,0,voged001,32,..BCCBB.S,K
play,9,0,nimmb001,10,BX,S7/L7+
play,9,0,marts002,11,BS>C,CS2(24)
play,9,0,marts002,22,BS>C.BS,K
data,er,smitd009,0
data,er,leond003,0
data,er,verlj001,2
data,er,brigj002,0
data,er,rodre004,0
data,er,langa001,0
id,DET202308270
version,2
info,visteam,HOU
info,hometeam,DET
info,site,DET05
info,date,2023/08/27
info,number,0
info,gametype,regular
info,starttime,1:40PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,fleta901
info,ump1b,bacce901
info,ump2b,diazl901
info,ump3b,estam901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/31 09:04:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,klonc701
info,temp,71
info,winddir,ltor
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,190
info,attendance,28496
info,wp,verlj001
info,lp,faeda001
info,save,
start,altuj001,"Jose Altuve",0,1,4
start,brega001,"Alex Bregman",0,2,5
start,alvay001,"Yordan Alvarez",0,3,10
start,tuckk001,"Kyle Tucker",0,4,9
start,mccoc001,"Chas McCormick",0,5,7
start,singj001,"Jon Singleton",0,6,3
start,penaj004,"Jeremy Pena",0,7,6
start,dubom001,"Mauricio Dubon",0,8,8
start,maldm001,"Martin Maldonado",0,9,2
start,verlj001,"Justin Verlander",0,0,1
start,ibana001,"Andy Ibanez",1,1,4
start,greer003,"Riley Greene",1,2,7
start,torks001,"Spencer Torkelson",1,3,3
start,carpk001,"Kerry Carpenter",1,4,9
start,cabrm001,"Miguel Cabrera",1,5,10
start,meadp001,"Parker Meadows",1,6,8
start,baezj001,"Javier Baez",1,7,6
start,mckiz001,"Zach McKinstry",1,8,5
start,rogej004,"Jake Rogers",1,9,2
start,faeda001,"Alex Faedo",1,0,1
play,1,0,altuj001,12,CFBX,63/G6D
play,1,0,brega001,11,SBX,DGR/L7LD
play,1,0,alvay001,12,CFFBX,7/F7L
play,1,0,tuckk001,31,BCBBB,W
play,1,0,mccoc001,02,SFFS,K
play,1,1,ibana001,00,X,4/P4
play,1,1,greer003,21,BCBX,7/F7D+
play,1,1,torks001,12,CBFX,8/F1S+
play,2,0,singj001,00,X,2/P2F/FL
play,2,0,penaj004,02,CS.X,D7/L7
play,2,0,dubom001,11,BFX,8/F8XD.2-3
play,2,0,maldm001,22,*BSS.BC,K
play,2,1,carpk001,02,CFH,HP
play,2,1,cabrm001,22,BBFF1C,K
play,2,1,meadp001,32,BBBCT>F>B,W.1-2
play,2,1,baezj001,12,TBFH,HP.2-3;1-2
play,2,1,mckiz001,02,FLS,K
play,2,1,rogej004,12,SFBFS,K
play,3,0,altuj001,30,VBBB,W
play,3,0,brega001,00,X,9/F89XD
play,3,0,alvay001,00,X,6/F8S
play,3,0,tuckk001,32,CCFBBB>F>F>X,HR/F9LD.1-H
play,3,0,mccoc001,00,X,S51/BG5S-
play,3,0,singj001,00,X,6/P6MS
play,3,1,ibana001,02,FFC,K
play,3,1,greer003,20,BB.X,S7/L6D
play,3,1,torks001,32,CCB*BFBB,W.1-2
play,3,1,carpk001,00,X,3/P3F/FL
play,3,1,cabrm001,12,FFFF*BX,5(2)/FO/G5.B-1
play,4,0,penaj004,00,.X,S8/L8+
play,4,0,dubom001,00,X,6/F8S
play,4,0,maldm001,32,BSCBB.X,S7/L78.1-2
play,4,0,altuj001,00,X,3/P3F/FL
play,4,0,brega001,32,CBBTF*B>B,W.2-3;1-2
play,4,0,alvay001,32,*BCBSB>F>F>F>F>B,W.3-H;2-3;1-2
play,4,0,tuckk001,31,B*BBFX,7/F7D
play,4,1,meadp001,32,BCBFBFS,K
play,4,1,baezj001,21,BBCX,8/F89XD+
play,4,1,mckiz001,02,SCX,8/F8XD
play,5,0,mccoc001,12,CSFFBFFX,53/G56
play,5,0,singj001,22,CBBFX,43/G3
play,5,0,penaj004,10,BX,S6/G6S
play,5,0,dubom001,00,,NP
sub,vestw001,"Will Vest",1,0,1
play,5,0,dubom001,11,.*BCX,S7/L78.1-3
play,5,0,maldm001,02,CS>C,K
play,5,1,rogej004,12,FFBFH,HP
play,5,1,ibana001,22,CBF*B.X,S7/L78.1-2
play,5,1,greer003,32,BFBFFFBS,K
play,5,1,torks001,02,FFT,K
play,5,1,carpk001,12,CFF*BFFX,31/G3
play,6,0,altuj001,00,,NP
sub,holtt002,"Tyler Holton",1,0,1
play,6,0,altuj001,32,.BBFBCFX,53/G56
play,6,0,brega001,00,X,3/P2F/FL
play,6,0,alvay001,32,CBBF.BX,43/G4
play,6,1,cabrm001,00,,NP
sub,montr004,"Rafael Montero",0,0,1
play,6,1,cabrm001,12,.BCF.S,K
play,6,1,meadp001,32,BBFBFX,7/F78D
play,6,1,baezj001,21,FBBX,53/G56
play,7,0,tuckk001,00,X,S9/L89S
play,7,0,mccoc001,11,BFX,D9/L9LD.1-3
play,7,0,singj001,00,X,S8/L8.3-H;2-3
play,7,0,penaj004,00,X,64(1)3/GDP/G6.3-H(NR)
play,7,0,dubom001,02,CFX,HR/F7LD
play,7,0,maldm001,22,FFBBFX,HR/F7LD
play,7,0,altuj001,00,,NP
sub,folej001,"Jason Foley",1,0,1
play,7,0,altuj001,12,.BFFC,K
play,7,1,mckiz001,00,,NP
sub,nerih001,"Hector Neris",0,0,1
play,7,1,mckiz001,01,.FX,8/F8S
play,7,1,rogej004,22,CCBF.FFBX,7/F78S
play,7,1,ibana001,02,F.CX,9/F89S
play,8,0,brega001,00,,NP
sub,vasqa002,"Andrew Vasquez",1,0,1
play,8,0,brega001,12,.BCS.X,S7/L78
play,8,0,alvay001,02,FCX,46(1)/FO/G4.B-1
play,8,0,tuckk001,00,X,FC/G3.1-2(E3);B-1
play,8,0,mccoc001,02,CFX,S8/G6M.2-H(UR);1-3
play,8,0,singj001,30,BBB*B,W.1-2
play,8,0,penaj004,01,CX,T8/L8XD.3-H;2-H;1-H
play,8,0,dubom001,02,FFFX,S9/L89S.3-H
play,8,0,maldm001,00,,NP
sub,diazy004,"Yainer Diaz",0,9,11
play,8,0,diazy004,00,.,NP
sub,kellc002,"Carson Kelly",1,0,1
play,8,0,diazy004,10,..BX,HR/F7LD.1-H
play,8,0,altuj001,00,X,S8/G4M
play,8,0,brega001,00,,NP
sub,julkc001,"Corey Julks",0,2,11
play,8,0,julkc001,00,.X,S8/L78+.1-2
play,8,0,alvay001,00,X,S9/L9D+.2-3;1-2
play,8,0,tuckk001,00,,NP
sub,meyej002,"Jake Meyers",0,4,11
play,8,0,meyej002,22,.CFBBFC,K
play,8,0,mccoc001,01,FX,5(2)/FO/G5.B-1
play,8,1,greer003,00,,NP
sub,julkc001,"Corey Julks",0,2,7
play,8,1,greer003,00,.,NP
sub,meyej002,"Jake Meyers",0,4,8
play,8,1,greer003,00,..,NP
sub,mccoc001,"Chas McCormick",0,5,9
play,8,1,greer003,00,...,NP
sub,dubom001,"Mauricio Dubon",0,8,5
play,8,1,greer003,00,....,NP
sub,diazy004,"Yainer Diaz",0,9,2
play,8,1,greer003,00,.....,NP
sub,matop002,"Phil Maton",0,0,1
play,8,1,greer003,32,......BBFBSB,W
play,8,1,torks001,22,BBFCX,S5/G5S.1-2
play,8,1,carpk001,02,CSS,K
play,8,1,cabrm001,11,FBX,HR/F78XD.2-H;1-H
play,8,1,meadp001,02,CSS,K
play,8,1,baezj001,22,BCS.BS,K
play,9,0,singj001,00,,NP
sub,shorz001,"Zack Short",1,0,1
play,9,0,singj001,11,.FBX,7/F78D
play,9,0,penaj004,10,BX,S6/G6
play,9,0,dubom001,21,BBFX,8/L8XD+
play,9,0,diazy004,02,CFFFFX,S8/L89D.1-2
play,9,0,altuj001,32,BBCFBF>B,W.2-3;1-2
play,9,0,julkc001,00,X,S7/G56.3-H;2-3;1-2
play,9,0,alvay001,32,CBFBBX,DGR/L9L+.3-H;2-H;1-3
play,9,0,meyej002,00,X,8/F8XD
play,9,1,mckiz001,00,,NP
sub,stanr002,"Ryne Stanek",0,0,1
play,9,1,mckiz001,11,.CBX,HR/F9D
play,9,1,rogej004,12,FBCS,K
play,9,1,ibana001,22,BFSBFX,8/L8XD+
play,9,1,greer003,12,FCBC,K
data,er,nerih001,0
data,er,montr004,0
data,er,stanr002,1
data,er,matop002,3
data,er,verlj001,0
data,er,holtt002,4
data,er,vasqa002,5
data,er,kellc002,1
data,er,shorz001,3
data,er,folej001,0
data,er,vestw001,0
data,er,faeda001,3
