id,HOU202306200
version,2
info,visteam,NYN
info,hometeam,HOU
info,site,HOU03
info,date,2023/06/20
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cejan901
info,ump1b,onorb901
info,ump2b,hobep901
info,ump3b,metzj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/26 10:07:28
info,howscored,unknown
info,pitches,pitches
info,oscorer,fanud701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,131
info,attendance,34606
info,wp,valdf001
info,lp,verlj001
info,save,presr001
start,nimmb001,"Brandon Nimmo",0,1,8
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,phamt001,"Tommy Pham",0,5,7
start,alvaf001,"Francisco Alvarez",0,6,2
start,mcnej002,"Jeff McNeil",0,7,4
start,canhm001,"Mark Canha",0,8,10
start,escoe001,"Eduardo Escobar",0,9,5
start,verlj001,"Justin Verlander",0,0,1
start,altuj001,"Jose Altuve",1,1,4
start,brega001,"Alex Bregman",1,2,5
start,tuckk001,"Kyle Tucker",1,3,9
start,diazy004,"Yainer Diaz",1,4,10
start,abrej003,"Jose Abreu",1,5,3
start,penaj004,"Jeremy Pena",1,6,6
start,julkc001,"Corey Julks",1,7,7
start,meyej002,"Jake Meyers",1,8,8
start,maldm001,"Martin Maldonado",1,9,2
start,valdf001,"Framber Valdez",1,0,1
play,1,0,nimmb001,32,BBBCCX,43/G4
play,1,0,marts002,10,BX,63/G6M
play,1,0,lindf001,21,BFBX,9/F9D
play,1,1,altuj001,01,CX,63/G6
play,1,1,brega001,12,BCCX,63/G6
play,1,1,tuckk001,10,BX,8/L8XD+
play,2,0,alonp001,22,BBCC.*S,K
play,2,0,phamt001,00,X,63/G6
play,2,0,alvaf001,12,BFCS,K
play,2,1,diazy004,11,BCX,8/F8XD
play,2,1,abrej003,22,CF.BBFS,K
play,2,1,penaj004,22,BST.BX,63/G6M
play,3,0,mcnej002,12,SBC*S,K
play,3,0,canhm001,22,BBCS.X,63/G6
play,3,0,escoe001,02,FF*S,K
play,3,1,julkc001,01,CX,D9/L9L
play,3,1,meyej002,32,BFCBBX,3/P3F/FL
play,3,1,maldm001,10,BX,S7/G56.2-3
play,3,1,altuj001,20,BBX,8/SF/F8XD.3-H
play,3,1,brega001,30,BB*BX,HR/L7LD.1-H
play,3,1,tuckk001,11,BFX,63/G4M
play,4,0,nimmb001,02,CSS,K
play,4,0,marts002,02,CS*S,K
play,4,0,lindf001,00,X,8/L8D+
play,4,1,diazy004,01,CX,S4/G4M
play,4,1,abrej003,12,BSF.FC,K
play,4,1,penaj004,11,F*BX,S7/L7LS.1-2
play,4,1,julkc001,01,CX,9/F89D
play,4,1,meyej002,00,X,64(1)/FO/G6.B-1
play,5,0,alonp001,02,CC*S,K
play,5,0,phamt001,00,X,53/G56S
play,5,0,alvaf001,22,CS.BV*S,K.BX1(23)
