Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,blacc001,10,BX,7/L78
play,1,1,profj001,00,X,43/G34
play,1,1,diaze005,31,BBBCX,7/F7D
play,2,1,mcmar001,22,CBFBS,K
play,2,1,gricr001,12,CFFBX,S7/G56
play,2,1,casth001,11,BF>X,S7/G6.1-3
play,2,1,jonen002,12,CBSX,S7/L6D.3-H;1-2
play,2,1,treja001,02,FFX,D9/L9LD.2-H;1-3
play,2,1,tovae001,32,BBCCB*B,W
play,2,1,blacc001,01,FX,D9/L9LD.3-H;2-H;1-3
play,2,1,profj001,00,X,9/SF/L9D+.3-H;2-3
play,2,1,diaze005,32,*BFT.*BFFBX,8/L8XD
play,3,1,mcmar001,22,FBS.BX,S3/G3
play,3,1,gricr001,00,X,8/F8XD+
play,3,1,casth001,12,*BSFX,S8/L8D.1-2
play,3,1,jonen002,10,BX,D9/L9LD.2-H;1-3
play,3,1,treja001,01,FX,FC/G1.3XH(12);B-1
play,3,1,tovae001,00,X,64(1)/FO/G6.B-1
play,4,1,blacc001,11,CBX,9/F9D
play,4,1,profj001,11,BSX,3/F9LS
play,4,1,diaze005,32,BBFBF.S,K
play,5,1,mcmar001,00,X,43/G34
play,5,1,gricr001,10,BX,D7/L7LS
play,5,1,casth001,00,X,7/F7LD
play,5,1,jonen002,11,BSX,8/F8
play,6,1,treja001,00,,NP
