Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,solej001,10,BX,7/F7LF/FL
play,1,1,arral001,01,CX,S7/G5
play,1,1,bellj005,12,CC*BX,S9/L9S.1-3
play,1,1,chisj001,22,FBFBX,3/P3SF/FL
play,1,1,burgj001,32,BFBFB>X,D7/L78XD+.3-H;1-H
play,1,1,delab001,10,BX,63/G6M
play,2,1,sancj003,22,CBF.BFS,K
play,2,1,fortn001,11,FBX,2/P2F/FL
play,2,1,bertj001,32,BFBF.BX,13/G23
play,3,1,solej001,11,FBX,8/F8XD
play,3,1,arral001,11,FBX,9/F9D
play,3,1,bellj005,10,BX,D9/G4
play,3,1,chisj001,32,CBBCB.FFX,8/F78XD
play,4,1,burgj001,10,BX,S8/L78D
play,4,1,delab001,22,BFBFX,9/L9
play,4,1,sancj003,01,FX,S7/G5.1-2
play,4,1,fortn001,00,X,S7/G56.2-3;1-2
play,4,1,bertj001,02,FC.X,46(1)/FO/G4.3-H;2-H(E6/TH)(NR)(UR);B-1
play,4,1,solej001,32,BFF1*BB>B,W.1-2
play,4,1,arral001,00,X,3/L34+
play,5,1,bellj005,02,FC.FT,K
play,5,1,chisj001,32,BBFFBX,8/L8D
play,5,1,burgj001,00,X,S7/L7L+
play,5,1,delab001,01,CX,D8/F78XD.1-H
play,5,1,sancj003,32,BFBBSB,W
play,5,1,fortn001,11,BCX,5/P1S
play,6,1,bertj001,00,,NP
