id,ARI202309300
version,2
info,visteam,HOU
info,hometeam,ARI
info,site,PHO01
info,date,2023/09/30
info,number,0
info,gametype,regular
info,starttime,5:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ticht901
info,ump1b,tosia901
info,ump2b,knigb901
info,ump3b,hamaa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/06 09:13:13
info,howscored,unknown
info,pitches,pitches
info,oscorer,magrj701
info,temp,78
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,171
info,attendance,36789
info,wp,verlj001
info,lp,kellm002
info,save,abreb002
start,altuj001,"Jose Altuve",0,1,4
start,brega001,"Alex Bregman",0,2,5
start,alvay001,"Yordan Alvarez",0,3,10
start,tuckk001,"Kyle Tucker",0,4,9
start,abrej003,"Jose Abreu",0,5,3
start,mccoc001,"Chas McCormick",0,6,7
start,dubom001,"Mauricio Dubon",0,7,8
start,penaj004,"Jeremy Pena",0,8,6
start,maldm001,"Martin Maldonado",0,9,2
start,verlj001,"Justin Verlander",0,0,1
start,carrc005,"Corbin Carroll",1,1,9
start,martk001,"Ketel Marte",1,2,4
start,phamt001,"Tommy Pham",1,3,10
start,walkc002,"Christian Walker",1,4,3
start,thoma004,"Alek Thomas",1,5,8
start,gurrl001,"Lourdes Gurriel Jr.",1,6,7
start,longe001,"Evan Longoria",1,7,5
start,moreg001,"Gabriel Moreno",1,8,2
start,perdg001,"Geraldo Perdomo",1,9,6
start,kellm002,"Merrill Kelly",1,0,1
play,1,0,altuj001,00,X,7/L7LD+
play,1,0,brega001,11,BFX,63/G6D
play,1,0,alvay001,20,BBX,7/F78XD
play,1,1,carrc005,12,SFBX,8/L78XD+
play,1,1,martk001,02,CFX,31/G3D
play,1,1,phamt001,32,BBCBSFB,W
play,1,1,walkc002,22,CB1BFFS,K
play,2,0,tuckk001,32,BBSSFFBC,K
play,2,0,abrej003,20,BBX,9/F89S
play,2,0,mccoc001,01,SX,6/P6D
play,2,1,thoma004,32,BCBSB.S,K
play,2,1,gurrl001,00,X,63/G6MD
play,2,1,longe001,32,BBBFCB,W
play,2,1,moreg001,32,*BBBCF>F>B,W.1-2
play,2,1,perdg001,31,CBBBX,9/F9S
play,3,0,dubom001,02,CCX,S9/L9D
play,3,0,penaj004,32,S1FB1BB1,BK.1-2
play,3,0,penaj004,32,S1FB1BB1.*B,W
play,3,0,maldm001,10,BX,2/BP2F/FL
play,3,0,altuj001,12,BCSS,K
play,3,0,brega001,12,BFST,K
play,3,1,carrc005,11,CBX,5/P56
play,3,1,martk001,22,BCCBX,8/F8XD+
play,3,1,phamt001,31,BBFBX,S14/G34
play,3,1,walkc002,32,FBFFFBFB>F>X,53/G56S
play,4,0,alvay001,01,FX,5/P6
play,4,0,tuckk001,32,CBBFBB,W
play,4,0,abrej003,00,>B,SB2
play,4,0,abrej003,11,>B.CX,D8/L8XD+.2-H
play,4,0,mccoc001,00,X,9/F9D.2-3
play,4,0,dubom001,12,SSBC,K
play,4,1,thoma004,02,CF.S,K
play,4,1,gurrl001,21,BBCX,S9/L9LS
play,4,1,longe001,12,BF1FX,8/L89XD+
play,4,1,moreg001,00,>B,SB2
play,4,1,moreg001,12,>B.CCFX,63/G6
play,5,0,penaj004,12,CBS.X,9/F9D
play,5,0,maldm001,01,CX,S7/F78S
play,5,0,altuj001,01,FX,54(1)3/GDP/G56
play,5,1,perdg001,12,CBFS,K
play,5,1,carrc005,22,CBBFC,K
play,5,1,martk001,00,X,8/F78
play,6,0,brega001,02,CFX,53/G6-
play,6,0,alvay001,21,BCBX,S8/L4D+
play,6,0,tuckk001,32,F*BBFBFX,S9/G3.1-3
play,6,0,abrej003,12,FS.FFBFFX,54(1)3/GDP/G56
play,6,1,phamt001,00,,NP
