id,TEX202309060
version,2
info,visteam,HOU
info,hometeam,TEX
info,site,ARL03
info,date,2023/09/06
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,wegnm901
info,ump1b,moorm901
info,ump2b,drecb901
info,ump3b,sches901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/12 09:02:58
info,howscored,unknown
info,pitches,pitches
info,oscorer,bumpl701
info,temp,74
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,165
info,attendance,36417
info,wp,verlj001
info,lp,schem001
info,save,
start,altuj001,"Jose Altuve",0,1,4
start,penaj004,"Jeremy Pena",0,2,6
start,alvay001,"Yordan Alvarez",0,3,10
start,brega001,"Alex Bregman",0,4,5
start,tuckk001,"Kyle Tucker",0,5,9
start,abrej003,"Jose Abreu",0,6,3
start,branm003,"Michael Brantley",0,7,7
start,dubom001,"Mauricio Dubon",0,8,8
start,maldm001,"Martin Maldonado",0,9,2
start,verlj001,"Justin Verlander",0,0,1
start,semim001,"Marcus Semien",1,1,4
start,seagc001,"Corey Seager",1,2,6
start,lowen001,"Nathaniel Lowe",1,3,3
start,garca005,"Adolis Garcia",1,4,9
start,garvm001,"Mitch Garver",1,5,10
start,heimj001,"Jonah Heim",1,6,2
start,jankt001,"Travis Jankowski",1,7,7
start,smitj007,"Josh H. Smith",1,8,5
start,tavel001,"Leody Taveras",1,9,8
start,schem001,"Max Scherzer",1,0,1
play,1,0,altuj001,22,FBCBS,K
play,1,0,penaj004,00,X,D7/L78D+
play,1,0,alvay001,11,BCX,HR/L8XD+.2-H
play,1,0,brega001,22,CBBFX,53/G2
play,1,0,tuckk001,02,FCFS,K
play,1,1,semim001,00,X,HR/F7LD+
play,1,1,seagc001,22,FFBBC,K
play,1,1,lowen001,01,SX,S9/L89
play,1,1,garca005,01,FX,3/P3SF/FL
play,1,1,garvm001,20,BBX,7/F7
play,2,0,abrej003,00,X,7/F7D+
play,2,0,branm003,11,BCX,HR/F9LD
play,2,0,dubom001,00,,NP
sub,grosr001,"Robbie Grossman",1,4,9
play,2,0,dubom001,01,.SX,63/G56D
play,2,0,maldm001,01,CX,S8/L8
play,2,0,altuj001,00,X,6/F6MD
play,2,1,heimj001,12,FSBX,43/G4D
play,2,1,jankt001,12,CBCC,K
play,2,1,smitj007,22,CFBBX,31/G3
play,3,0,penaj004,31,BSBBX,S6/G6M+
play,3,0,alvay001,31,BBCBB,W.1-2
play,3,0,brega001,01,FX,9/F9LD.2-3
play,3,0,tuckk001,31,B+3BBFB,W.1-2
play,3,0,abrej003,11,BSX,HR/F78XD+.3-H;2-H;1-H
play,3,0,branm003,02,CS.FX,7/L78XD
play,3,0,dubom001,12,BSFS,K+WP.B-1
play,3,0,maldm001,12,BFS.F*S,K
play,3,1,tavel001,01,FX,43/G4
play,3,1,semim001,31,BBBCX,S8/L8S+
play,3,1,seagc001,20,BBX,8/F8D
play,3,1,lowen001,21,BBCX,9/F89XD
play,4,0,altuj001,00,,NP
sub,strac001,"Chris Stratton",1,0,1
play,4,0,altuj001,00,.X,63/G6MD+
play,4,0,penaj004,10,.BX,3/P3F/FL
play,4,0,alvay001,31,BCBBB,W
play,4,0,brega001,32,BCBC*B>X,8/L78XD+
play,4,1,grosr001,00,X,8/F8D
play,4,1,garvm001,12,CCFFBFS,K
play,4,1,heimj001,32,BBFS.BS,K
play,5,0,tuckk001,32,BFBCBFB,W
play,5,0,abrej003,32,BSFB1B>X,D8/L89XD+.1-3
play,5,0,branm003,11,BCX,7/SF/F7LD.3-H
play,5,0,dubom001,12,*BFFX,S9/L89.2-3
play,5,0,maldm001,00,,NP
sub,leclj001,"Jose Leclerc",1,0,1
play,5,0,maldm001,01,.FX,64(1)3/GDP/G6
play,5,1,jankt001,21,FBBX,E4/G34.B-1
play,5,1,smitj007,00,X,9/F9LD+
play,5,1,tavel001,00,>*B,SB2
play,5,1,tavel001,31,>*B.CBBB,W
play,5,1,semim001,11,BSX,S7/G6+.2-H(UR);1-2
play,5,1,seagc001,00,X,7/F7LDF/FL.2-3
play,5,1,lowen001,00,>B,SB2
play,5,1,lowen001,32,>B.BCS.BFS,K
play,6,0,altuj001,00,H,HP
play,6,0,penaj004,02,SS.S,K
play,6,0,alvay001,00,,NP
sub,bradc003,"Cody Bradford",1,0,1
play,6,0,alvay001,11,.CBX,36(1)/FO/G3S.B-1
play,6,0,brega001,32,BFFBB>X,D8/G6.1-3
play,6,0,tuckk001,02,CFX,53/G6
play,6,1,grosr001,12,CS.BX,8/F89XD
play,6,1,garvm001,12,FBF.T,K
play,6,1,heimj001,01,SX,7/F7
play,7,0,abrej003,02,CF.FFFFX,13/G1
play,7,0,branm003,21,CBBX,S9/L9D+
play,7,0,dubom001,10,BX,FC5/G56.1-3(E5/TH);B-1
play,7,0,maldm001,22,CC.BBFX,4(1)3/GDP/G4+
play,7,1,jankt001,00,,NP
sub,mccoc001,"Chas McCormick",0,7,7
play,7,1,jankt001,12,.CSFBX,8/F8XD
play,7,1,smitj007,12,BFSX,8/F8XD+
play,7,1,tavel001,32,FS.BBBX,9/F89
play,8,0,altuj001,00,,NP
sub,chapa001,"Aroldis Chapman",1,0,1
play,8,0,altuj001,22,.CBFBX,53/G5
play,8,0,penaj004,02,CFS,K
play,8,0,alvay001,02,SCT,K
play,8,1,semim001,00,,NP
