id,BAL202309120
version,2
info,visteam,SLN
info,hometeam,BAL
info,site,BAL12
info,date,2023/09/12
info,number,0
info,gametype,regular
info,starttime,6:35PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,tomln901
info,ump1b,barbs901
info,ump2b,wolfj901
info,ump3b,porta901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/21 08:43:23
info,howscored,unknown
info,pitches,pitches
info,oscorer,eiger701
info,temp,86
info,winddir,tolf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,165
info,attendance,15526
info,wp,waina001
info,lp,meanj001
info,save,helsr001
start,nootl001,"Lars Nootbaar",0,1,9
start,edmat001,"Tommy Edman",0,2,8
start,goldp001,"Paul Goldschmidt",0,3,3
start,arenn001,"Nolan Arenado",0,4,5
start,contw001,"Willson Contreras",0,5,2
start,oneit001,"Tyler O'Neill",0,6,7
start,gormn001,"Nolan Gorman",0,7,4
start,walkj003,"Jordan Walker",0,8,10
start,winnm001,"Masyn Winn",0,9,6
start,waina001,"Adam Wainwright",0,0,1
start,rutsa001,"Adley Rutschman",1,1,10
start,hendg002,"Gunnar Henderson",1,2,6
start,santa003,"Anthony Santander",1,3,9
start,ohear001,"Ryan O'Hearn",1,4,3
start,mullc002,"Cedric Mullins",1,5,8
start,haysa001,"Austin Hays",1,6,7
start,fraza001,"Adam Frazier",1,7,4
start,westj002,"Jordan Westburg",1,8,5
start,mccaj001,"James McCann",1,9,2
start,meanj001,"John Means",1,0,1
play,1,0,nootl001,01,CX,7/L7
play,1,0,edmat001,01,FX,53/G5
play,1,0,goldp001,01,SX,HR/F78XD
play,1,0,arenn001,10,BX,5/P5SF/FL
play,1,1,rutsa001,32,CFBBBB,W
play,1,1,hendg002,30,BBBB,W.1-2
play,1,1,santa003,32,CBBBC.C,K
play,1,1,ohear001,21,BBFX,3/G3.2-3;1-2
play,1,1,mullc002,21,BCBX,2/P2F/FL
play,2,0,contw001,02,CSX,S8/F8
play,2,0,oneit001,01,CX,S9/F9S.1-2
play,2,0,gormn001,02,FFX,S3/G34.2-3;1-2
play,2,0,walkj003,00,,NP
sub,palar002,"Richie Palacios",0,7,12
play,2,0,walkj003,22,.BSSFBFFX,8/SF/F8.3-H
play,2,0,winnm001,01,CX,8/L89D+
play,2,0,nootl001,32,BBBCC>F>X,63/G4MD
play,2,1,haysa001,00,,NP
sub,nootl001,"Lars Nootbaar",0,1,8
play,2,1,haysa001,00,.,NP
sub,edmat001,"Tommy Edman",0,2,4
play,2,1,haysa001,00,..,NP
sub,palar002,"Richie Palacios",0,7,9
play,2,1,haysa001,02,...CFX,3/P3DF/FL
play,2,1,fraza001,11,BCX,9/L89D
play,2,1,westj002,11,CBX,S8/G6M
play,2,1,mccaj001,22,CBFBFX,63/G6
play,3,0,edmat001,32,BBFFBFX,9/F89S
play,3,0,goldp001,31,BBBCX,6/L6D+
play,3,0,arenn001,11,CBX,6/P6D
play,3,1,rutsa001,10,BX,6/P56D
play,3,1,hendg002,00,X,D7/F78
