id,BOS202305120
version,2
info,visteam,SLN
info,hometeam,BOS
info,site,BOS07
info,date,2023/05/12
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,mahrn901
info,ump1b,thomd901
info,ump2b,carav901
info,ump3b,hamaa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/10 09:05:42
info,howscored,unknown
info,pitches,pitches
info,oscorer,ellib701
info,temp,82
info,winddir,unknown
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,172
info,attendance,34553
info,wp,helsr001
info,lp,jansk001
info,save,
start,edmat001,"Tommy Edman",0,1,4
start,goldp001,"Paul Goldschmidt",0,2,3
start,contw001,"Willson Contreras",0,3,10
start,arenn001,"Nolan Arenado",0,4,5
start,yepej001,"Juan Yepez",0,5,7
start,carld002,"Dylan Carlson",0,6,8
start,dejop001,"Paul DeJong",0,7,6
start,nootl001,"Lars Nootbaar",0,8,9
start,kniza001,"Andrew Knizner",0,9,2
start,waina001,"Adam Wainwright",0,0,1
start,verda001,"Alex Verdugo",1,1,9
start,yoshm002,"Masataka Yoshida",1,2,7
start,turnj001,"Justin Turner",1,3,10
start,dever001,"Rafael Devers",1,4,5
start,duraj001,"Jarren Duran",1,5,8
start,casat001,"Triston Casas",1,6,3
start,herne001,"Enrique Hernandez",1,7,6
start,valde002,"Enmanuel Valdez",1,8,4
start,wongc001,"Connor Wong",1,9,2
start,paxtj001,"James Paxton",1,0,1
play,1,0,edmat001,12,FFBF.C,K
play,1,0,goldp001,32,FBBBCX,S7/G6
play,1,0,contw001,12,BFTC,K
play,1,0,arenn001,12,BFCX,HR/L7LD.1-H
play,1,0,yepej001,21,BFBX,43/G34
play,1,1,verda001,32,BBBCC.C,K
play,1,1,yoshm002,12,CFBX,S8/G4M
play,1,1,turnj001,01,SX,46(1)3/GDP/G34
play,2,0,carld002,12,CSFBX,9/F9D
play,2,0,dejop001,22,BBCSS,K
play,2,0,nootl001,30,BBBB,W
play,2,0,kniza001,22,.SSBBX,9/F9D
play,2,1,dever001,32,BCBBC.FX,7/F7L
play,2,1,duraj001,32,BBFBCV,W
play,2,1,casat001,00,X,36(1)1/GDP/G34
play,3,0,edmat001,01,CX,9/F89D
play,3,0,goldp001,02,FFX,S9/G3
play,3,0,contw001,01,CX,9/F9L
play,3,0,arenn001,10,BX,S7/L7+.1-2
play,3,0,yepej001,12,CC.*BFS,K
play,3,1,herne001,10,BX,9/F9L
play,3,1,valde002,22,CC.BFBFC,K
play,3,1,wongc001,12,BCFX,63/G6
play,4,0,carld002,12,BCSFFC,K
play,4,0,dejop001,12,CBSC,K
play,4,0,nootl001,32,BCT.BBC,K
play,4,1,verda001,12,BCFX,D7/L7L
play,4,1,yoshm002,10,BX,9/F9
play,4,1,turnj001,32,BBBTFB,W
play,4,1,dever001,00,X,31/G3.2-3;1-2
play,4,1,duraj001,00,X,S9/L89S.3-H;2-H
play,4,1,casat001,22,CFB*BX,D/L9LS+.1-3
