Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,perdg001,30,BB.BB,W
play,1,1,martk001,11,CBX,S9/G34.1-3
play,1,1,carrc005,00,X,9/SF/F89D.3-H
play,1,1,walkc002,02,FSC,K
play,1,1,gurrl001,22,BCF1BX,9/L9D
play,2,1,rivee001,00,X,S9/L9
play,2,1,mccaj003,00,X,13/G1S-.1-2
play,2,1,kellc002,22,CS.FBBX,63/G6.2-3
play,2,1,thoma004,01,FX,S7/G56.3-H
play,2,1,perdg001,32,BBCF1FB>F>C,K
play,3,1,martk001,32,BBCF.BX,7/F78XD
play,3,1,carrc005,22,BCSB.C,K
play,3,1,walkc002,02,CS.X,31/G3-
play,4,1,gurrl001,21,BB.CX,8/F8S
play,4,1,rivee001,01,CX,9/L9D+
play,4,1,mccaj003,01,CX,53/G6
play,5,1,kellc002,22,BBCS.X,63/G6
play,5,1,thoma004,10,BX,9/L89D+
play,5,1,perdg001,31,C.BBBB,W
play,5,1,martk001,10,BX,S9/L9LS.1-3
play,5,1,carrc005,22,BBCFFX,9/F89XD
play,6,1,walkc002,00,,NP
