Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,friet001,01,CX,8/F8
play,1,1,mclam001,02,FCS,K
play,1,1,indij001,01,CX,S3/F3D
play,1,1,fralj001,00,X,D8/F78XD+.1-H
play,1,1,stept001,01,CX,6/L6
play,2,1,stees001,21,BBFX,9/F89S
play,2,1,senzn001,02,FFX,63/G6
play,2,1,myerw001,22,BBCCX,53/G6
play,3,1,newmk001,00,..,NP
play,3,1,newmk001,00,...,NP
play,3,1,newmk001,00,....,NP
play,3,1,newmk001,32,.....BCBS.BX,13/G4MS
play,3,1,friet001,32,BCBBFX,D9/L89XD
play,3,1,mclam001,01,CX,HR/F89XD.2-H
play,3,1,indij001,00,X,13/G4MS
play,3,1,fralj001,10,BX,9/F9D
play,4,1,stept001,01,CX,31/G34
play,4,1,stees001,10,BX,53/G7
play,4,1,senzn001,10,BX,9/F9
play,5,1,myerw001,01,LX,43/G4D
play,5,1,newmk001,11,CBX,S7/G56
play,5,1,friet001,10,BX,D7/F7LD.1-3
play,5,1,mclam001,02,CSX,43/G4.3-H;2-3
play,5,1,indij001,22,BBCFFC,K
play,6,1,fralj001,12,CBC.X,43/G34
play,6,1,stept001,01,SX,9/F9D
play,6,1,stees001,20,BBX,S8/F8
play,6,1,senzn001,11,BFX,D9/L9LD.1-H
play,6,1,myerw001,30,BBBB,W
play,6,1,newmk001,00,,NP
