Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,garcm003,20,BBX,S7/G6
play,1,1,wittb002,21,CB*BX,S4/G34.1-2
play,1,1,massm001,01,CX,9/F9LD.2-3
play,1,1,peres002,21,*BFBX,D7/L7LS+.3-H;1-H
play,1,1,melem001,01,CX,D9/L89D+.2-H
play,1,1,olive001,21,*BFBX,S8/G4M.2-H
play,1,1,beatm001,32,BFC*BB>F1>FX,3(B)6(1)/GDP/G3
play,2,1,velan001,10,BX,HR/F78XD
play,2,1,isbek001,01,CX,S6/G4M
play,2,1,garcm003,20,*BBX,S8/G6M.1-2
play,2,1,wittb002,31,BBC*BX,HR/F7D.2-H;1-H
play,2,1,massm001,00,,NP
