id,PIT202308220
version,2
info,visteam,SLN
info,hometeam,PIT
info,site,PIT08
info,date,2023/08/22
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,millb903
info,ump1b,gibsh902
info,ump2b,carlm901
info,ump3b,bakej902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/31 09:04:15
info,howscored,unknown
info,pitches,pitches
info,oscorer,musid701
info,temp,76
info,winddir,fromlf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,154
info,attendance,11823
info,wp,oviej001
info,lp,waina001
info,save,bednd001
start,edmat001,"Tommy Edman",0,1,4
start,burla001,"Alec Burleson",0,2,10
start,goldp001,"Paul Goldschmidt",0,3,3
start,arenn001,"Nolan Arenado",0,4,5
start,contw001,"Willson Contreras",0,5,2
start,oneit001,"Tyler O'Neill",0,6,7
start,palar002,"Richie Palacios",0,7,8
start,walkj003,"Jordan Walker",0,8,9
start,winnm001,"Masyn Winn",0,9,6
start,waina001,"Adam Wainwright",0,0,1
start,bae-j001,"Ji Hwan Bae",1,1,4
start,reynb001,"Bryan Reynolds",1,2,7
start,mccua001,"Andrew McCutchen",1,3,10
start,joe-c001,"Connor Joe",1,4,9
start,rodre006,"Endy Rodriguez",1,5,2
start,palaj001,"Joshua Palacios",1,6,8
start,caprv001,"Vinny Capra",1,7,5
start,rivaa001,"Alfonso Rivas",1,8,3
start,willa005,"Alika Williams",1,9,6
start,oviej001,"Johan Oviedo",1,0,1
play,1,0,edmat001,32,BBFFB*S,K
play,1,0,burla001,02,CFX,31/G3
play,1,0,goldp001,12,FBFX,9/F9D
play,1,1,bae-j001,01,CX,63/G6
play,1,1,reynb001,31,BCBBX,8/F8D+
play,1,1,mccua001,12,BCFX,5/L56
play,2,0,arenn001,22,CBFBX,S8/G6M
play,2,0,contw001,12,BCFN,BK.1-2
play,2,0,contw001,22,BCFN.BF*S,K
play,2,0,oneit001,22,BFF*BX,63/G6.2-3
play,2,0,palar002,22,BBCST,K
play,2,1,joe-c001,12,CCBC,K
play,2,1,rodre006,00,X,7/F7LD
play,2,1,palaj001,21,CBBX,3/G3
play,3,0,walkj003,12,SFBX,53/G5S-
play,3,0,winnm001,11,CBX,D7/L5D
play,3,0,edmat001,32,FBBBFFX,31/G34.2-3
play,3,0,burla001,32,BBCBFB,W
play,3,0,goldp001,12,FBSX,9/L9D
play,3,1,caprv001,12,BSCX,4/P4D
play,3,1,rivaa001,10,BX,8/L78XD+
play,3,1,willa005,02,CFC,K
play,4,0,arenn001,32,BBCCFBX,3/P34S
play,4,0,contw001,00,X,63/G6
play,4,0,oneit001,32,CBBFB.FC,K
play,4,1,bae-j001,32,CC.BBBB,W
play,4,1,reynb001,20,BBX,63/G4.1-2
play,4,1,mccua001,22,BCBFS,K
play,4,1,joe-c001,00,X,S7/L7S.2-H
play,4,1,rodre006,10,BX,8/F78
play,5,0,palar002,21,BBCX,HR/F9D
play,5,0,walkj003,31,BBBCX,53/G56
play,5,0,winnm001,12,BCFFFX,7/F78XD
play,5,0,edmat001,11,BSX,D7/L7LS
play,5,0,burla001,32,BBFBS.S,K
play,5,1,palaj001,10,BX,7/F7D
play,5,1,caprv001,31,BCBBX,S9/L89XD
play,5,1,rivaa001,22,CBFBX,S4/G4.1-2
play,5,1,willa005,00,X,S5/BG25.2-3;1-2
play,5,1,bae-j001,12,ABFX,3/G3.3-H;2-3;1-2
play,5,1,reynb001,10,BX,D9/F9LD.3-H;2-H
play,5,1,mccua001,11,BFX,HR/F7D.2-H
play,5,1,joe-c001,10,BX,D7/G5
play,5,1,rodre006,00,,NP
