id,MIA202307070
version,2
info,visteam,PHI
info,hometeam,MIA
info,site,MIA02
info,date,2023/07/07
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,guccc901
info,ump1b,tomln901
info,ump2b,mosce901
info,ump3b,addir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/10 07:14:28
info,howscored,unknown
info,pitches,pitches
info,oscorer,jernr701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,141
info,attendance,13850
info,wp,hoffj003
info,lp,puk-a001
info,save,kimbc001
start,schwk001,"Kyle Schwarber",0,1,7
start,turnt001,"Trea Turner",0,2,6
start,castn001,"Nick Castellanos",0,3,9
start,harpb003,"Bryce Harper",0,4,10
start,realj001,"J.T. Realmuto",0,5,2
start,stotb001,"Bryson Stott",0,6,4
start,bohma001,"Alec Bohm",0,7,5
start,halld003,"Darick Hall",0,8,3
start,marsb002,"Brandon Marsh",0,9,8
start,wheez001,"Zack Wheeler",0,0,1
start,arral001,"Luis Arraez",1,1,4
start,solej001,"Jorge Soler",1,2,10
start,delab001,"Bryan De La Cruz",1,3,7
start,sancj003,"Jesus Sanchez",1,4,9
start,coopg002,"Garrett Cooper",1,5,3
start,seguj002,"Jean Segura",1,6,5
start,wendj002,"Joey Wendle",1,7,6
start,stalj001,"Jacob Stallings",1,8,2
start,myerd001,"Dane Myers",1,9,8
start,alcas001,"Sandy Alcantara",1,0,1
play,1,0,schwk001,20,BBX,63/G6M
play,1,0,turnt001,12,CCFFFBFX,S8/G4M
play,1,0,castn001,00,1,PO1(13)
play,1,0,castn001,11,1.BSX,S7/L7
play,1,0,harpb003,02,FSFFX,43/G34
play,1,1,arral001,12,BFCFS,K
play,1,1,solej001,32,CSBBBX,S9/L9
play,1,1,delab001,22,CSBF*BFX,9/F9L
play,1,1,sancj003,22,BBSCFS,K
play,2,0,realj001,00,X,43/G34
play,2,0,stotb001,12,BCCX,S56/L6
play,2,0,bohma001,00,1X,46(1)3/GDP/G4
play,2,1,coopg002,32,CBCBFBFS,K
play,2,1,seguj002,22,SBS.BX,S7/G56
play,2,1,wendj002,00,X,D9/L9L.1-3
play,2,1,stalj001,20,BBX,S6/G6M.3-H;2-3
play,2,1,myerd001,00,X,14(1)/FO/G1S.3-H;B-1
play,2,1,arral001,12,1FBS.FFX,163/G4MS
play,3,0,halld003,01,CX,63/G6S
play,3,0,marsb002,02,FCX,D8/L78
play,3,0,schwk001,02,CFC,K
play,3,0,turnt001,02,SFX,43/G4
play,3,1,solej001,01,FX,63/G6
play,3,1,delab001,00,X,53/G56
play,3,1,sancj003,32,CF.FBFBBX,43/G4
play,4,0,castn001,22,CBBF.C,K
play,4,0,harpb003,12,BCFS,K
play,4,0,realj001,00,X,C/E2.B-1
play,4,0,stotb001,10,B1X,43/G34
play,4,1,coopg002,02,SFX,HR/F9LD
play,4,1,seguj002,00,X,63/G1S
play,4,1,wendj002,01,CX,D8/L78XD+
play,4,1,stalj001,01,CX,4/P34D
play,4,1,myerd001,10,BC,PB.2-3
play,4,1,myerd001,21,BC.BX,43/G34
play,5,0,bohma001,12,BCFC,K
play,5,0,halld003,20,BBX,S8/L8
play,5,0,marsb002,02,CFX,7/L7
play,5,0,schwk001,21,BBFX,S9/L9L.1-2
play,5,0,turnt001,12,SF*BX,43/G34
play,5,1,arral001,10,BX,43/G4D
play,5,1,solej001,32,S.BCFBBC,K
play,5,1,delab001,32,CCBBBFS,K
