id,MIL202309010
version,2
info,visteam,PHI
info,hometeam,MIL
info,site,MIL06
info,date,2023/09/01
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,tumpj901
info,ump1b,wendh902
info,ump2b,blasc901
info,ump3b,thomd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/12 09:02:54
info,howscored,unknown
info,pitches,pitches
info,oscorer,olsod701
info,temp,77
info,winddir,fromrf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,154
info,attendance,32519
info,wp,willd004
info,lp,alvaj004
info,save,
start,schwk001,"Kyle Schwarber",0,1,10
start,turnt001,"Trea Turner",0,2,6
start,harpb003,"Bryce Harper",0,3,3
start,castn001,"Nick Castellanos",0,4,9
start,stotb001,"Bryson Stott",0,5,4
start,bohma001,"Alec Bohm",0,6,5
start,realj001,"J.T. Realmuto",0,7,2
start,marsb002,"Brandon Marsh",0,8,8
start,cavej001,"Jake Cave",0,9,7
start,wheez001,"Zack Wheeler",0,0,1
start,yelic001,"Christian Yelich",1,1,7
start,contw002,"William Contreras",1,2,2
start,santc002,"Carlos Santana",1,3,3
start,frels001,"Sal Frelick",1,4,8
start,adamw002,"Willy Adames",1,5,6
start,tellr001,"Rowdy Tellez",1,6,10
start,canhm001,"Mark Canha",1,7,9
start,turab002,"Brice Turang",1,8,4
start,monaa001,"Andruw Monasterio",1,9,5
start,peraf001,"Freddy Peralta",1,0,1
play,1,0,schwk001,22,CFBBFFFX,HR/F9LD+
play,1,0,turnt001,11,BFX,8/F8D
play,1,0,harpb003,12,SSBS,K
play,1,0,castn001,12,FCBFS,K
play,1,1,yelic001,11,BCX,63/G6
play,1,1,contw002,22,BFCBT,K
play,1,1,santc002,32,BTSBBFFFFX,S9/G3
play,1,1,frels001,10,*BX,53/G6S
play,2,0,stotb001,12,BCFFS,K
play,2,0,bohma001,01,CX,53/G5
play,2,0,realj001,20,BBX,63/G6
play,2,1,adamw002,11,BFX,9/F89D
play,2,1,tellr001,12,CFBS,K
play,2,1,canhm001,22,CS.BBS,K
play,3,0,marsb002,32,BCBFFBC,K
play,3,0,cavej001,11,CBX,S8/G4M
play,3,0,schwk001,22,CBFB1S,K
play,3,0,turnt001,22,BCF*BS,K
play,3,1,turab002,22,FCFFBBX,43/G34
play,3,1,monaa001,12,FFBS,K
play,3,1,yelic001,32,BCBBFFS,K
play,4,0,harpb003,32,SSFBBBS,K
play,4,0,castn001,32,BSS.BBFC,K
play,4,0,stotb001,00,X,43/G4
play,4,1,contw002,21,CBBX,S6/G56
play,4,1,santc002,32,BCFB*BX,S9/G34.1-2
play,4,1,frels001,10,BX,8/F8XD
play,4,1,adamw002,01,FX,HR/F8XD+.2-H;1-H
play,4,1,tellr001,12,SS.FBX,7/F78D
play,4,1,canhm001,22,BSBFX,S7/L7LD
play,4,1,turab002,11,T*BX,9/F9
play,5,0,bohma001,12,BCCFX,53/G56
play,5,0,realj001,10,BX,23/G2-
play,5,0,marsb002,32,FFBBBFFFX,9/F89S
play,5,1,monaa001,32,BFBSBS,K
play,5,1,yelic001,12,TCBS,K
