id,WAS202306020
version,2
info,visteam,PHI
info,hometeam,WAS
info,site,WAS11
info,date,2023/06/02
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,segac901
info,ump1b,may-b901
info,ump2b,walsb901
info,ump3b,buckc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,tritb701
info,temp,90
info,winddir,fromrf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,198
info,attendance,29827
info,wp,finnk001
info,lp,brogc001
info,save,
start,schwk001,"Kyle Schwarber",0,1,7
start,stotb001,"Bryson Stott",0,2,4
start,harpb003,"Bryce Harper",0,3,10
start,castn001,"Nick Castellanos",0,4,9
start,turnt001,"Trea Turner",0,5,6
start,realj001,"J.T. Realmuto",0,6,2
start,marsb002,"Brandon Marsh",0,7,8
start,clemk001,"Kody Clemens",0,8,3
start,ellid002,"Drew Ellis",0,9,5
start,wheez001,"Zack Wheeler",0,0,1
start,thoml002,"Lane Thomas",1,1,9
start,garcl006,"Luis Garcia",1,2,4
start,candj002,"Jeimer Candelario",1,3,5
start,menej001,"Joey Meneses",1,4,10
start,dickc002,"Corey Dickerson",1,5,7
start,smitd008,"Dominic Smith",1,6,3
start,ruizk001,"Keibert Ruiz",1,7,2
start,abrac001,"CJ Abrams",1,8,6
start,calla002,"Alex Call",1,9,8
start,grayj004,"Josiah Gray",1,0,1
play,1,0,schwk001,12,BCFX,S9/L9L
play,1,0,stotb001,32,BBCCFBFB,W.1-2
play,1,0,harpb003,22,*BBCFS,K
play,1,0,castn001,20,BBX,7/F7D
play,1,0,turnt001,12,CF*BS,K
play,1,1,thoml002,32,BBCFFBFFB,W
play,1,1,garcl006,12,FC*BS,K
play,1,1,candj002,32,BBC>FB>F1X,D7/F7D.1-H
play,1,1,menej001,00,X,S9/F9S.2-3
play,1,1,dickc002,00,X,8/SF/F8.3-H
play,1,1,smitd008,21,BBF1X,63/G6MS
play,2,0,realj001,12,CFBFX,63/G6
play,2,0,marsb002,21,SBBX,S8/G4M
play,2,0,clemk001,22,BBCS>FF>T,K+SB2
play,2,0,ellid002,32,FBBBFB,W
play,2,0,schwk001,11,SB+1,POCS2(236)
play,2,1,ruizk001,00,X,3/L3
play,2,1,abrac001,01,CX,D8/L8XD+
play,2,1,calla002,22,BCSBX,S9/G34.2-H
play,2,1,thoml002,10,BX,7/F78S
play,2,1,garcl006,12,CFFBX,S8/G4M.1-3
play,2,1,candj002,31,BBBCX,D9/F9D+.3-H;1-H
play,2,1,menej001,22,SCB*BFFFFFFX,S7/L7S.2-H
play,2,1,dickc002,12,*BSS.X,7/F7LD
play,3,0,schwk001,11,BCX,6/L6MD
play,3,0,stotb001,02,CCX,7/F78D
play,3,0,harpb003,20,BBX,7/L7+
play,3,1,smitd008,32,BFBBFS,K
play,3,1,ruizk001,11,BSX,8/F8XD+
play,3,1,abrac001,32,BBSFBT,K
play,4,0,castn001,00,X,HR/F89XD
play,4,0,turnt001,00,X,53/G5
play,4,0,realj001,11,CBX,63/G6D
play,4,0,marsb002,20,BBX,8/F8XD+
play,4,1,calla002,22,CFFBBX,53/G56
play,4,1,thoml002,32,CBCFBBX,4/L4
play,4,1,garcl006,00,X,HR/F7LD
play,4,1,candj002,00,,NP
sub,vasqa002,"Andrew Vasquez",0,0,1
play,4,1,candj002,32,.CBBBCS,K
play,5,0,clemk001,22,CSBBX,43/G34
play,5,0,ellid002,22,CBS.BX,6/P6
play,5,0,schwk001,02,FS.S,K
play,5,1,menej001,02,CFFX,63/G56
play,5,1,dickc002,21,FBBX,63/G4MS
play,5,1,smitd008,32,CBSBFFBS,K
play,6,0,stotb001,12,CSBX,S8/G4M
