Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,acunr001,32,FFBBBX,53/G56
play,1,1,olsom001,12,SBFS,K
play,1,1,rilea001,22,FBBFS,K
play,2,1,murps001,22,CBFBS,K
play,2,1,ozunm001,02,CS.X,7/F7
play,2,1,rosae001,02,CSFS,K
play,3,1,albio001,10,BX,3/L3
play,3,1,arcio002,22,CBBSX,63/G6
play,3,1,harrm004,12,CBCH,HP
play,3,1,acunr001,00,X,S7/L7S.1-2
play,3,1,olsom001,11,BFX,7/F7
play,4,1,rilea001,12,FFBS,K
play,4,1,murps001,10,.BX,D7/L7L
play,4,1,ozunm001,11,S*BX,53/G56.2-3
play,4,1,rosae001,10,BX,2/P1S/FL
play,5,1,albio001,32,FSBBBFX,7/L7D
play,5,1,arcio002,22,BBSFS,K
play,5,1,harrm004,12,CFBC,K
play,6,1,acunr001,20,BBX,3/P3DF/FL
play,6,1,olsom001,10,BX,8/F89XD
play,6,1,rilea001,11,FBX,D7/L5D
play,6,1,murps001,32,BCS*BBC,K
play,7,1,ozunm001,02,SS.S,K
play,7,1,rosae001,10,BX,8/L78XD+
play,7,1,albio001,32,BBBCFB,W
play,7,1,arcio002,02,CFS,K
play,8,1,harrm004,02,FSS,K
play,8,1,acunr001,12,CSBS,K
play,8,1,olsom001,10,BX,31/G34
play,9,1,rilea001,00,,NP
play,9,1,rilea001,00,.,NP
play,1,1,acunr001,00,X,8/F89XD
play,1,1,albio001,10,BX,HR/F9LD
play,1,1,rilea001,22,BFBS.S,K
play,1,1,olsom001,10,BX,43/G34
play,2,1,ozunm001,12,CSBS,K
play,2,1,rosae001,22,BSBSX,13/G23
play,2,1,murps001,02,FFS,K
play,3,1,arcio002,32,SCBBB.FX,53/G56
play,3,1,harrm004,00,X,4/P89S
play,3,1,acunr001,11,CBX,8/L8
play,4,1,albio001,32,BFBCBFX,9/L9D+
play,4,1,rilea001,32,FFBBFBFFX,53/G5
play,4,1,olsom001,32,BSSBBB,W
play,4,1,ozunm001,32,BF*BCB>X,4/P3
play,5,1,rosae001,00,X,31/G3D
play,5,1,murps001,32,CBSVBX,9/F9D
play,5,1,arcio002,22,CBBFX,7/F78
play,6,1,harrm004,12,BSFS,K
play,6,1,acunr001,11,BSX,D7/L78+
play,6,1,albio001,11,BFX,6/P56
play,6,1,rilea001,32,CCBBBFB,W
play,6,1,olsom001,32,BBFBS.>X,S6/G6.2-3;1-2
play,6,1,ozunm001,12,CCBS,K
play,7,1,rosae001,00,,NP
