Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,benia002,12,CBSFFS,K
play,1,1,robel002,00,X,13/G4MS+
play,1,1,vauga001,01,CH,HP
play,1,1,jimee001,12,CFBX,9/F9S
play,2,1,grany001,22,CBBSX,8/L8XD
play,2,1,burgj001,02,FFS,K
play,2,1,colao001,12,BFFS,K
play,3,1,sosal001,11,CBX,S9/L9L
play,3,1,andre001,10,BX,S9/L89.1-2
play,3,1,benia002,32,FBBFFBX,S9/G34+.2-3;1-2
play,3,1,robel002,21,BBCX,D9/L3D.3-H;2-H;1-3
play,3,1,vauga001,00,X,S8/L89D+.3-H;2-H
play,3,1,jimee001,32,B*BFF*BX,S9/F89S.1-2
play,3,1,grany001,22,CFBBX,7/F7L
play,3,1,burgj001,12,FBCFX,24(1)/FO/G2-.2-3;B-1
play,3,1,colao001,11,BSX,13/G1
play,4,1,sosal001,22,BBCCX,9/L9
play,4,1,andre001,32,CBCBFBX,53/G5
play,4,1,benia002,01,CX,D7/F7LS
play,4,1,robel002,12,CFBX,8/F78XD+
play,5,1,vauga001,12,BCCX,53/G5
play,5,1,jimee001,02,TSS,K
play,5,1,grany001,01,CX,D8/L78XD+
play,5,1,burgj001,22,SBCBFS,K
play,6,1,colao001,00,,NP
