Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,arral001,12,BFCFS,K
play,1,1,solej001,32,CSBBBX,S9/L9
play,1,1,delab001,22,CSBF*BFX,9/F9L
play,1,1,sancj003,22,BBSCFS,K
play,2,1,coopg002,32,CBCBFBFS,K
play,2,1,seguj002,22,SBS.BX,S7/G56
play,2,1,wendj002,00,X,D9/L9L.1-3
play,2,1,stalj001,20,BBX,S6/G6M.3-H;2-3
play,2,1,myerd001,00,X,14(1)/FO/G1S.3-H;B-1
play,2,1,arral001,12,1FBS.FFX,163/G4MS
play,3,1,solej001,01,FX,63/G6
play,3,1,delab001,00,X,53/G56
play,3,1,sancj003,32,CF.FBFBBX,43/G4
play,4,1,coopg002,02,SFX,HR/F9LD
play,4,1,seguj002,00,X,63/G1S
play,4,1,wendj002,01,CX,D8/L78XD+
play,4,1,stalj001,01,CX,4/P34D
play,4,1,myerd001,10,BC,PB.2-3
play,4,1,myerd001,21,BC.BX,43/G34
play,5,1,arral001,10,BX,43/G4D
play,5,1,solej001,32,S.BCFBBC,K
play,5,1,delab001,32,CCBBBFS,K
play,6,1,sancj003,12,BFF.FFFC,K
play,6,1,coopg002,00,X,S8/F8S
play,6,1,seguj002,22,S*BFBS,K
play,6,1,wendj002,00,X,13/G1S
play,7,1,stalj001,00,,NP
play,1,1,arral001,32,BFBFF.BX,S8/L8
play,1,1,solej001,10,BX,53/G6S.1-2
play,1,1,bellj005,11,F*BX,43/G4.2-3
play,1,1,chisj001,00,X,13/G34S
play,2,1,garca003,12,SFBFX,43/G4
play,2,1,burgj001,32,CF.BFFFBBX,63/G6
play,2,1,sancj003,22,BCTFBX,S8/L89D
play,2,1,wendj002,11,BCX,63/G6
play,3,1,fortn001,12,FCBX,7/L78D
play,3,1,arral001,22,CBSBX,13/G1
play,3,1,solej001,10,BX,53/G5
play,4,1,bellj005,30,BBBB,W
play,4,1,chisj001,02,CF*S,K
play,4,1,garca003,12,BSS.C,K
play,4,1,burgj001,31,BBB1SX,8/F8
play,5,1,sancj003,12,CBFX,8/L8D+
play,5,1,wendj002,12,BSFFX,13/G23
play,5,1,fortn001,22,CBBFH,HP
play,5,1,arral001,00,X,43/G34S
play,6,1,solej001,12,CSBC,K
play,6,1,bellj005,21,BBSX,HR/F9D
play,6,1,chisj001,00,X,HR/F9D
play,6,1,garca003,12,CBSS,K
play,6,1,burgj001,20,BBX,S6/G56
play,6,1,sancj003,12,BCSX,7/F7LD
play,7,1,wendj002,00,,NP
