Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,nodar001,31,BBFBX,3/L3
play,1,1,petej002,22,LBCBFX,7/L7
play,1,1,rookb001,10,BX,S7/G56
play,1,1,brows003,31,FBBBX,8/F89D
play,2,1,bledj001,22,BCBFX,43/G34
play,2,1,laurr001,22,SFBBFFF*S,K
play,2,1,kempt001,00,X,D98/L89D
play,2,1,langs001,00,X,53/G56
play,3,1,wadet002,11,BCX,S4/BG4S
play,3,1,nodar001,21,BCBX,6/P6MD
play,3,1,petej002,11,1CB1X,8/L8D
play,3,1,rookb001,12,CTB>X,7/F78
play,4,1,brows003,21,BFBX,7/F7D
play,4,1,bledj001,00,X,S4/G4
play,4,1,laurr001,22,C*BBFFC,K
play,4,1,kempt001,11,CB>S,SB2
play,4,1,kempt001,32,CB>S.BFB.B,W
play,4,1,langs001,12,BSCS,K
play,5,1,wadet002,12,BCSX,43/G34
play,5,1,nodar001,22,FBF.BX,S9/L89D+
play,5,1,petej002,22,FBFF*BX,7/F78D
play,5,1,rookb001,32,*BBBCF>B,W.1-2
play,5,1,brows003,32,BBFBF>F>F>F>S,K
play,6,1,bledj001,00,X,5/P56D
play,6,1,laurr001,12,CT.BX,S9/L9
play,6,1,kempt001,02,CFX,46(1)3/GDP/G4
play,7,1,langs001,00,,NP
