Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,indij001,02,CCFX,9/F9
play,1,0,friet001,01,CX,2/P2F/FL
play,1,0,fralj001,32,CTBBBS,K
play,2,0,stept001,32,BBBCFFFB,W
play,2,0,myerw001,02,CSC,K
play,2,0,voslj001,12,SBCT,K
play,2,0,stees001,11,CBX,3/P3SF-/FL
play,3,0,bensw001,21,CBBX,S8/F78
play,3,0,garcj007,20,BBX,64(1)/FO/G6M.B-1
play,3,0,indij001,00,>C,CS2(24)
play,3,0,indij001,01,>C.X,3/P3
play,4,0,friet001,11,BCX,8/F8D
play,4,0,fralj001,32,BFSBFFBFB,W
play,4,0,stept001,00,X,64(1)3/GDP/G6
play,5,0,myerw001,22,CBCBC,K
play,5,0,voslj001,12,CBFX,5/P56D
play,5,0,stees001,11,BCX,D7/L7LD
play,5,0,bensw001,32,BCBFFBB,W
play,5,0,garcj007,10,*BX,S8/L4MD.2-H;1-3
play,5,0,indij001,32,B1BCCB1>F>S,K
play,6,0,friet001,22,CBS.BX,D8/L89D
play,6,0,fralj001,02,SFFX,3/G3.2-3
play,6,0,stept001,11,CBX,D7/L78XD+.3-H
play,6,0,myerw001,00,,NP
play,1,0,chisj001,12,CBSS,K
play,1,0,solej001,22,BCCBX,D9/L9D
play,1,0,arral001,01,FX,7/F7LS
play,1,0,delab001,00,X,63/G6
play,2,0,gurry001,12,CCBFX,43/G4
play,2,0,seguj002,22,BFF.BX,9/F9LS
play,2,0,sancj003,12,SBSS,K
play,3,0,stalj001,21,BFBX,63/G6
play,3,0,bertj001,02,TS.T,K
play,3,0,chisj001,22,BFCBC,K
play,4,0,solej001,32,FBBBFC,K
play,4,0,arral001,11,BCX,D8/F78XD
play,4,0,delab001,32,*BSSBBX,S9/L9LS.2-H;B-2
play,4,0,gurry001,10,BX,53/G56
play,4,0,seguj002,02,CS.FX,9/F9S
play,5,0,sancj003,00,X,31/G3
play,5,0,stalj001,32,BFFFBBB,W
play,5,0,bertj001,00,.X,36(1)/FO/G34.B-1
play,5,0,chisj001,12,1BS>F1>B,SB2
play,5,0,chisj001,32,1BS>F1>B.BB,W
play,5,0,solej001,32,BBSBC>B,W.2-3;1-2
play,5,0,arral001,20,BBX,8/F8XD
play,6,0,delab001,32,BBBCS.S,K
play,6,0,gurry001,10,BX,8/L8XD
