Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,suwij001,12,CFBS,K
play,1,1,reynb001,32,SBBCB.S,K
play,1,1,mccua001,02,CFC,K
play,2,1,choij001,10,BX,7/F7S
play,2,1,davih001,12,CSBS,K
play,2,1,rodre006,01,FX,31/G3
play,3,1,trioj001,01,CX,8/F8XD
play,3,1,gonzn001,32,CBBFBFS,K
play,3,1,willa005,22,BCSBS,K
play,4,1,suwij001,21,BTBX,4/P3D
play,4,1,reynb001,00,X,S7/L7L
play,4,1,mccua001,30,B*BBB,W.1-2
play,4,1,choij001,10,BX,D9/L9L.2-H;1-3
play,4,1,davih001,00,X,9/F9S
play,4,1,rodre006,00,X,4/L4D
play,5,1,trioj001,02,FCS,K
play,5,1,gonzn001,22,FFBBC,K
play,5,1,willa005,22,CSBBX,63/G6M
play,6,1,suwij001,11,BCX,5/P5DF/FL
play,6,1,reynb001,20,BBX,43/G4
play,6,1,mccua001,22,BSF.BS,K
play,7,1,choij001,22,CBBF*S,K
play,7,1,davih001,32,FBBFBT,K
play,7,1,rodre006,12,CFBX,S8/L8D
play,7,1,trioj001,12,1FBC,NP
