Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,wadel001,31,BCBBB,W
play,1,1,estrt001,22,BBCF*S,K
play,1,1,davij006,32,BBSFBS,K
play,1,1,confm001,12,CF.*BX,7/F7L
play,2,1,hanim001,01,CX,8/F89D
play,2,1,yastm001,32,CBBS.BT,K
play,2,1,schmc003,12,BCCX,43/G4
play,3,1,sabob001,00,X,S8/G4M
play,3,1,bartj003,32,BBFC*BX,8/F8D
play,3,1,wadel001,00,X,S8/L8D+.1-3;B-2(E8/TH)
play,3,1,estrt001,00,X,S8/G4M.3-H;2-3
play,3,1,davij006,32,F1BBBFFS,K
play,3,1,confm001,10,BX,S7/L78.3-H;1-2
play,3,1,hanim001,12,SS.BFFS,K
play,4,1,yastm001,22,BBSS.S,K
play,4,1,schmc003,00,X,S5/G56+
play,4,1,sabob001,32,SBBBF.S,K
play,4,1,bartj003,20,BBX,D43/P3.1-H
play,4,1,wadel001,11,SBX,S7/L7.2-H;B-2
play,4,1,estrt001,01,CX,5/L56
play,5,1,davij006,12,CFBX,63/G6
play,5,1,confm001,20,BBX,S9/F89S
play,5,1,hanim001,00,X,8/F8D
play,5,1,yastm001,02,C1ST,K
play,6,1,schmc003,12,BFSX,8/F8XD+
play,6,1,sabob001,00,X,S6/G6-
play,6,1,bartj003,02,CSX,9/F9D
play,6,1,wadel001,32,BSBCB.>X,7/F7S
play,7,1,estrt001,00,,NP
