Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,semim001,10,BX,HR/L89XD
play,1,1,seagc001,00,X,63/G6
play,1,1,lowen001,32,BCBSFBX,S7/L78
play,1,1,garca005,00,X,S9/G34+.1-3
play,1,1,jungj001,32,CBBBCS,K
play,1,1,grosr001,10,1BX,S8/G4+.3-H;1-3
play,1,1,garvm001,12,BCST,K
play,2,1,millb002,02,SCFX,63/G6
play,2,1,smitj007,32,CFBBBX,S6/G6
play,2,1,semim001,31,BBBCX,5/L5
play,2,1,seagc001,32,BSBBF>X,43/G34
play,3,1,lowen001,32,BBFCBX,D9/G3
play,3,1,garca005,01,FX,S8/L8D.2-3;B-2
play,3,1,jungj001,02,SSC,K
play,3,1,grosr001,10,BX,9/SF/F89XD.3-H;2-3
play,3,1,garvm001,21,BFBX,E6/G6.3-H(NR)(UR);B-1
play,3,1,millb002,32,BBBCC>X,5/F5SF/FL
play,4,1,smitj007,22,BTBFS,K
play,4,1,semim001,12,SSVS,K
play,4,1,seagc001,32,SBFFBBC,K
play,5,1,lowen001,32,BSSBBC,K
play,5,1,garca005,32,CBSB.BB,W
play,5,1,jungj001,00,,NP
