Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,merrw001,00,X,53/G56S
play,1,1,beltb001,02,CFF*S,K
play,1,1,guerv002,22,CBBS.FFFFS,K.BX1(23)
play,2,1,sprig001,22,SBBS.FX,9/F9
play,2,1,biggc002,32,BCSBBB,W
play,2,1,kirka001,10,BX,3/P23F/FL
play,2,1,varsd001,22,CBBFX,5/P5
play,3,1,espis001,02,FSX,4/F9S
play,3,1,dejop001,02,CSS,K
play,3,1,merrw001,22,CCBBX,43/G34
play,4,1,beltb001,11,FBX,S8/L78D
play,4,1,guerv002,00,X,4/F34D
play,4,1,sprig001,22,*BBCFX,8/F8S
play,4,1,biggc002,31,BFBBB,W.1-2
play,4,1,kirka001,11,FBX,43/G34+
play,5,1,varsd001,00,X,3/P3SF/FL
play,5,1,espis001,22,CBFB.FS,K
play,5,1,dejop001,12,BFSS,K
play,6,1,merrw001,01,FX,S64/G6M
play,6,1,beltb001,32,FB*S*B1BB,W.1-2
play,6,1,guerv002,10,BX,14(1)3/GDP/G4M+.2-3
play,6,1,sprig001,22,*BBCFX,S8/G4M.3-H
play,6,1,biggc002,02,CFX,3/G3
play,7,1,kirka001,00,X,7/F7D
play,7,1,varsd001,32,BBBFFFFB,W
play,7,1,espis001,11,CB>S,CS2(24)
play,7,1,espis001,32,CB>S.FBB.FX,63/G56+
play,8,1,dejop001,00,,NP
play,8,1,dejop001,00,.,NP
play,8,1,dejop001,00,..,NP
