id,CLE202307220
version,2
info,visteam,PHI
info,hometeam,CLE
info,site,CLE08
info,date,2023/07/22
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,morag901
info,ump1b,becka901
info,ump2b,iassd901
info,ump3b,hanat901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:27
info,howscored,unknown
info,pitches,pitches
info,oscorer,maveb701
info,temp,78
info,winddir,fromrf
info,windspeed,1
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,135
info,attendance,37937
info,wp,bibet001
info,lp,wheez001
info,save,clase001
start,schwk001,"Kyle Schwarber",0,1,7
start,turnt001,"Trea Turner",0,2,6
start,castn001,"Nick Castellanos",0,3,9
start,harpb003,"Bryce Harper",0,4,10
start,realj001,"J.T. Realmuto",0,5,2
start,stotb001,"Bryson Stott",0,6,4
start,bohma001,"Alec Bohm",0,7,3
start,marsb002,"Brandon Marsh",0,8,8
start,sosae001,"Edmundo Sosa",0,9,5
start,wheez001,"Zack Wheeler",0,0,1
start,kwans001,"Steven Kwan",1,1,7
start,rosaa003,"Amed Rosario",1,2,6
start,ramij003,"Jose Ramirez",1,3,5
start,naylj001,"Josh Naylor",1,4,3
start,bellj005,"Josh Bell",1,5,10
start,gimea001,"Andres Gimenez",1,6,4
start,brenw002,"Will Brennan",1,7,9
start,stram002,"Myles Straw",1,8,8
start,naylb001,"Bo Naylor",1,9,2
start,bibet001,"Tanner Bibee",1,0,1
play,1,0,schwk001,00,X,4/P34D
play,1,0,turnt001,12,BCCX,S8/L8+
play,1,0,castn001,32,SB1SF.BB1>X,7/F7
play,1,0,harpb003,22,SSB1FBX,7/F7L
play,1,1,kwans001,01,CX,9/L89
play,1,1,rosaa003,02,CFFFFX,43/G34
play,1,1,ramij003,12,CSBFS,K
play,2,0,realj001,00,H,HP
play,2,0,stotb001,02,CCX,46(1)/FO/G4.B-1
play,2,0,bohma001,12,CSF1FBS,K
play,2,0,marsb002,22,CCB*BS,K
play,2,1,naylj001,02,FFS,K
play,2,1,bellj005,12,SBFX,S7/L7LS
play,2,1,gimea001,02,CT.X,5/P2F/FL
play,2,1,brenw002,00,X,S8/L8.1-2
play,2,1,stram002,32,CSFBBB>F>F>S,K
play,3,0,sosae001,32,SBFBF.BB,W
play,3,0,schwk001,32,CBCFB1BS,K
play,3,0,turnt001,22,C1FBBX,6(1)3/GDP/G6
play,3,1,naylb001,12,FCFBS,K
play,3,1,kwans001,21,CBBX,8/L8
play,3,1,rosaa003,00,X,63/G6S
play,4,0,castn001,00,X,8/F8
play,4,0,harpb003,02,SCX,53/G6
play,4,0,realj001,12,FBCFX,63/G6
play,4,1,ramij003,21,BBCX,7/L78
play,4,1,naylj001,00,X,5/P5F/FL
play,4,1,bellj005,22,C.BBFFS,K
play,5,0,stotb001,11,BCX,7/F5D
play,5,0,bohma001,22,CS.BBS,K
play,5,0,marsb002,11,FBX,7/L78D
play,5,1,gimea001,02,CF.S,K
play,5,1,brenw002,02,CFX,8/F8XD
play,5,1,stram002,22,FSFBBC,K
play,6,0,sosae001,02,SS.X,D9/G3
play,6,0,schwk001,01,SX,8/F8XD.2-3
play,6,0,turnt001,02,CSFS,K
play,6,0,castn001,12,C*SBFF*S,K
play,6,1,naylb001,12,TT.BS,K
play,6,1,kwans001,21,CBBX,9/L89
play,6,1,rosaa003,22,BCFBFX,S8/L89D
play,6,1,ramij003,21,SBBX,S8/F89S.1-H
play,6,1,naylj001,22,BT1BF.X,S7/F78S.1-3
play,6,1,bellj005,11,F*BX,9/L89
play,7,0,harpb003,22,BFBCFS,K
play,7,0,realj001,22,CS.FFFBBS,K
play,7,0,stotb001,00,X,8/F78XD
play,7,1,gimea001,00,X,7/F78D
play,7,1,brenw002,21,BBFX,5/P5F/FL
play,7,1,stram002,32,BFFFBBFB,W
play,7,1,naylb001,12,BF1S>B,CS2(26)
play,8,0,bohma001,00,,NP
sub,deloe001,"Enyel De Los Santos",1,0,1
play,8,0,bohma001,00,.X,4/P4D
play,8,0,marsb002,12,CBFFS,K
play,8,0,sosae001,00,,NP
sub,cavej001,"Jake Cave",0,9,11
play,8,0,cavej001,21,.BBTX,7/F7D
play,8,1,naylb001,00,,NP
sub,bohma001,"Alec Bohm",0,7,5
play,8,1,naylb001,00,.,NP
sub,cavej001,"Jake Cave",0,9,3
play,8,1,naylb001,00,..,NP
