id,TEX202304010
version,2
info,visteam,PHI
info,hometeam,TEX
info,site,ARL03
info,date,2023/04/01
info,number,0
info,gametype,regular
info,starttime,3:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,buckc901
info,ump1b,segac901
info,ump2b,may-b901
info,ump3b,nelsj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/23 20:30:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,ruddw701
info,temp,71
info,winddir,fromcf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,190
info,attendance,31916
info,wp,eovan001
info,lp,wheez001
info,save,
start,turnt001,"Trea Turner",0,1,6
start,schwk001,"Kyle Schwarber",0,2,7
start,realj001,"J.T. Realmuto",0,3,2
start,halld003,"Darick Hall",0,4,3
start,castn001,"Nick Castellanos",0,5,10
start,stotb001,"Bryson Stott",0,6,4
start,bohma001,"Alec Bohm",0,7,5
start,cavej001,"Jake Cave",0,8,9
start,marsb002,"Brandon Marsh",0,9,8
start,wheez001,"Zack Wheeler",0,0,1
start,semim001,"Marcus Semien",1,1,4
start,seagc001,"Corey Seager",1,2,6
start,lowen001,"Nathaniel Lowe",1,3,3
start,garca005,"Adolis Garcia",1,4,8
start,jungj001,"Josh Jung",1,5,5
start,grosr001,"Robbie Grossman",1,6,9
start,garvm001,"Mitch Garver",1,7,2
start,millb002,"Brad Miller",1,8,10
start,smitj007,"Josh H. Smith",1,9,7
start,eovan001,"Nathan Eovaldi",1,0,1
play,1,0,turnt001,12,BFSS,K
play,1,0,schwk001,12,BFSFS,K
play,1,0,realj001,01,SX,S9/F9
play,1,0,halld003,10,BX,S7/L7LD.1X2(74)
play,1,1,semim001,10,BX,HR/L89XD
play,1,1,seagc001,00,X,63/G6
play,1,1,lowen001,32,BCBSFBX,S7/L78
play,1,1,garca005,00,X,S9/G34+.1-3
play,1,1,jungj001,32,CBBBCS,K
play,1,1,grosr001,10,1BX,S8/G4+.3-H;1-3
play,1,1,garvm001,12,BCST,K
play,2,0,castn001,32,CBFBBC,K
play,2,0,stotb001,10,BX,31/G3
play,2,0,bohma001,32,CFVBBX,63/G6
play,2,1,millb002,02,SCFX,63/G6
play,2,1,smitj007,32,CFBBBX,S6/G6
play,2,1,semim001,31,BBBCX,5/L5
play,2,1,seagc001,32,BSBBF>X,43/G34
play,3,0,cavej001,32,CBBFFBB,W
play,3,0,marsb002,32,BBF1SBC,K+SB2
play,3,0,turnt001,01,SX,43/G4.2-3
play,3,0,schwk001,11,S*BX,6/P6MS
play,3,1,lowen001,32,BBFCBX,D9/G3
play,3,1,garca005,01,FX,S8/L8D.2-3;B-2
play,3,1,jungj001,02,SSC,K
play,3,1,grosr001,10,BX,9/SF/F89XD.3-H;2-3
play,3,1,garvm001,21,BFBX,E6/G6.3-H(NR)(UR);B-1
play,3,1,millb002,32,BBBCC>X,5/F5SF/FL
play,4,0,realj001,31,BCBBB,W
play,4,0,halld003,20,BBX,D9/L9LD.1-3
play,4,0,castn001,12,BCSX,D19/G34+.3-H;2-H
play,4,0,stotb001,12,CBFX,D9/L89XD+.2-3
play,4,0,bohma001,11,FBX,53/G56S
play,4,0,cavej001,12,*BFFS,K
play,4,0,marsb002,32,CBBBFC,K
play,4,1,smitj007,22,BTBFS,K
play,4,1,semim001,12,SSVS,K
play,4,1,seagc001,32,SBFFBBC,K
play,5,0,turnt001,02,CSX,T9/F9LD
play,5,0,schwk001,00,X,43/G34.3-H
play,5,0,realj001,20,BBX,3/L3D
play,5,0,halld003,10,BX,7/F7L
play,5,1,lowen001,32,BSSBBC,K
play,5,1,garca005,32,CBSB.BB,W
play,5,1,jungj001,00,,NP
