Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,grist001,02,CFFS,K
play,1,0,sotoj001,21,BBCX,43/G34
play,1,0,machm001,32,SS.BBBC,K
play,1,1,acunr001,21,SBBX,D7/L7LD+
play,1,1,olsom001,00,X,43/G4.2-3
play,1,1,rilea001,30,*B*B*BX,7/SF/F78+.3-H
play,1,1,darnt001,32,CBCBBX,53/G5
play,2,0,bogax001,32,CCBBBB,W
play,2,0,cronj001,00,X,8/F8XD+
play,2,0,carpm002,12,CBSC,K
play,2,0,nolaa002,22,BBCFX,8/L8XD
play,2,1,albio001,12,BFS*S,K
play,2,1,murps001,21,BBCX,S8/L89D
play,2,1,harrm004,11,BFX,46(1)/FO/G4.B-1
play,2,1,pillk001,11,B1C>S,SB2
play,2,1,pillk001,12,B1C>S.FX,5/L5
play,3,0,odorr001,22,BSBS.FC,K
play,3,0,kim-h002,12,CSBC,K
play,3,0,grist001,21,BBCX,S8/F8
play,3,0,sotoj001,32,CB*BB.S>X,13/G1S-
play,3,1,arcio002,30,BBBX,HR/F7D
play,3,1,acunr001,20,BBX,53/G5
play,3,1,olsom001,22,BBFSX,D7/L7+
play,3,1,rilea001,32,C*BS*B*B*B,W
play,3,1,darnt001,22,FBF.FBX,64(1)3/GDP/G56
play,4,0,machm001,00,,NP
play,4,0,machm001,11,.BCX,D8/F78
play,4,0,bogax001,02,CFX,FC/G4MS.2X3(156);B-1
play,4,0,cronj001,32,BCBBFFB,W.1-2
play,4,0,carpm002,21,B*BTX,HR/F9LD.2-H;1-H
play,4,0,nolaa002,12,FS.BFS,K
play,4,0,odorr001,12,BCFS,K
play,4,1,albio001,00,X,7/L78D
play,4,1,murps001,21,.CBBX,D8/F8XD+
play,4,1,hills005,32,*BCS*BBS,K
play,4,1,pillk001,22,BCBSFX,S7/L78.2-H
play,4,1,arcio002,32,CBBSB>F>B,W.1-2
play,4,1,acunr001,31,*B*BF*B*B,W.2-3;1-2
play,4,1,olsom001,30,B*BBB,W.3-H;2-3;1-2
play,4,1,rilea001,00,,NP
play,4,1,rilea001,22,.CBSBC,K
play,5,0,kim-h002,12,CBS.X,S8/F8
play,5,0,grist001,12,FBSS,K
play,5,0,sotoj001,32,1B*BBC.C1>F>B,W.1-2
play,5,0,machm001,12,BCF*S,K
play,5,0,bogax001,22,S*BS.F*BX,14(1)/FO/G13.B-1
play,5,1,darnt001,12,CBSFS,K
play,5,1,albio001,21,FBBX,3/G3
play,5,1,murps001,32,BBBCTFFB,W
play,5,1,hills005,21,CBBX,S9/L9L.1-3
play,5,1,pillk001,32,BBBCT.>*B,W.1-2
play,5,1,arcio002,11,CBX,3/P3F/FL
play,6,0,cronj001,00,,NP
play,6,0,cronj001,20,.BBX,HR/F9D
play,6,0,carpm002,32,CBCBFB.FFB,W
play,6,0,nolaa002,12,CBS.B,WP.1-2
play,6,0,nolaa002,22,CBS.B.X,5/L5D
play,6,0,odorr001,00,,NP
play,6,0,azocj001,22,.FBFBFX,53/G5.2-3
play,6,0,kim-h002,00,X,53/G5S-
play,6,1,acunr001,00,,NP
play,6,1,acunr001,00,.,NP
play,6,1,acunr001,00,..X,7/F78D+
play,6,1,olsom001,20,BBX,3/G3
play,6,1,rilea001,00,X,3/P3DF/FL
play,7,0,grist001,00,,NP
play,7,0,grist001,32,.BSFF.BBS,K
play,7,0,sotoj001,12,CF.BX,43/G4
play,7,0,machm001,22,BBSSFX,43/G34
play,7,1,darnt001,22,CCBBS,K
play,7,1,albio001,31,BBBCX,8/F8XD+
play,7,1,murps001,32,BCBBCFFB,W
play,7,1,hills005,22,CBFBS,K
play,8,0,bogax001,00,,NP
play,8,0,bogax001,31,.BBBC.B,W
play,8,0,cronj001,32,*BBFFB>*B,W.1-2
play,8,0,carpm002,01,CX,8/F89XD.2-3;1-2
play,8,0,nolaa002,12,BCC.S,K
play,8,0,azocj001,01,CB,WP.3-H(NR);2-3
play,8,0,azocj001,11,CB.X,S1/BG25-.3-H;B-3(E1/TH)
play,8,0,kim-h002,00,.X,3/P3SF/FL
play,8,1,pillk001,00,,NP
play,8,1,pillk001,22,.FF.FBFBS,K
play,8,1,arcio002,01,CX,D9/G3
play,8,1,acunr001,00,X,63/G6.2-3
play,8,1,olsom001,12,FBS.X,S7/G5.3-H
play,8,1,rilea001,00,X,S5/G5S.1-2
play,8,1,darnt001,02,CCFX,S9/G3.2-H;1-3
play,8,1,albio001,11,BSX,7/F78
play,9,0,grist001,00,,NP
play,9,0,grist001,32,.BBSC.FFBB,W
play,9,0,sotoj001,12,BCC1FS,K
play,9,0,machm001,02,FSFX,S6/G56.1-2
play,9,0,bogax001,11,BCX,4(1)3/GDP/G4M
play,9,1,murps001,00,,NP
play,9,1,murps001,02,.CSX,8/F89D
play,9,1,hills005,11,CB.X,9/F89
play,9,1,pillk001,00,,NP
play,9,1,rosae001,32,.BBBSSX,D9/L9L
play,9,1,arcio002,22,CBBCX,S8/L8D.2-H
play,1,0,bogax001,12,BCS.X,63/G6
play,1,0,sotoj001,30,BBBB,W
play,1,0,machm001,32,BBCSBFX,S4/G4M.1-2
play,1,0,cruzn002,01,C>C,SB3;SB2
play,1,0,cruzn002,02,C>C.X,D9/L9LD.3-H;2-3
play,1,0,cronj001,12,CCBC,K
play,1,0,kim-h002,30,BBBB,W
play,1,0,nolaa002,32,CCBBFB>F>B,W.3-H;2-3;1-2
play,1,0,grist001,02,CC.C,K
play,1,1,acunr001,22,CFBBX,8/F78XD+
play,1,1,olsom001,11,CBX,43/G4
play,1,1,rilea001,12,CFBX,S7/L7
play,1,1,albio001,01,FX,4/F89S
play,2,0,azocj001,01,CX,S9/F9LS
play,2,0,bogax001,21,BBCX,8/F89XD
play,2,0,sotoj001,11,FB>B,SB2
play,2,0,sotoj001,22,FB>B.FX,8/F8XD+.2-3
play,2,0,machm001,31,BBBCB,W
play,2,0,cruzn002,01,SX,S4/G4M+.3-H;1-2
play,2,0,cronj001,12,BCS.FS,K
play,2,1,murps001,01,CX,53/G56S
play,2,1,rosae001,32,SFFBBFBS,K
play,2,1,arcio002,01,CX,43/G4
play,3,0,kim-h002,01,CX,8/F89XD
play,3,0,nolaa002,32,FC.BBBFX,7/F7LD
play,3,0,grist001,20,BBX,31/G3
play,3,1,ozunm001,31,.BSBBX,HR/F78XD
play,3,1,hills005,32,FFBBBC,K
play,3,1,acunr001,32,BBCFBFB,W
play,3,1,olsom001,10,B>B,SB2
play,3,1,olsom001,30,B>B.*BB,W
play,3,1,rilea001,12,CC*BX,S8/L89XD.2-H;1-3
play,3,1,albio001,00,B,WP.3-H(NR);1-2
play,3,1,albio001,22,B.CSFF*BX,3/G3.2-3
play,3,1,murps001,12,FSBS,K
play,4,0,azocj001,12,CBF*S,K
play,4,0,bogax001,12,CBCX,53/G56
play,4,0,sotoj001,22,CT.BBX,9/F9D
play,4,1,rosae001,01,CX,3/G3
play,4,1,arcio002,21,BBCX,7/F78XD+
play,4,1,ozunm001,12,CCBX,63/G6
play,5,0,machm001,20,BBX,D7/L78XD+
play,5,0,cruzn002,20,BBX,S7/G56.2-3
play,5,0,cronj001,00,,NP
play,5,0,cronj001,01,.FX,7/SF/F7D.3-H
play,5,0,kim-h002,12,LFBX,8/F78
play,5,0,nolaa002,22,BFCFBS,K
play,5,1,hills005,02,FS.X,S9/G3+
play,5,1,acunr001,01,CX,54(1)/FO/G56.B-1
play,5,1,olsom001,11,1C*B>S,SB2
play,5,1,olsom001,32,1C*B>S.FFBB*B,W
play,5,1,rilea001,32,BCCB*BB,W.2-3;1-2
play,5,1,albio001,12,CF*BS,K
play,5,1,murps001,31,BS*BBB,W.3-H;2-3;1-2
play,5,1,rosae001,00,,NP
play,5,1,rosae001,02,.FSS,K
play,6,0,grist001,32,FFBBBFB,W
play,6,0,azocj001,01,CX,13/SH/BG1S.1-2
play,6,0,bogax001,21,CBBX,S9/G34.2-H
play,6,0,sotoj001,11,BSX,46(1)/FO/G34+.B-1
play,6,0,machm001,12,SSBB,WP.1-2
play,6,0,machm001,22,SSBB.X,63/G56
play,6,1,arcio002,00,X,3/P3
play,6,1,ozunm001,12,CCBX,8/F89D
play,6,1,hills005,02,CFS,K
play,7,0,cruzn002,00,,NP
play,7,0,cruzn002,31,.BBBCX,6/F4MD
play,7,0,cronj001,32,BCBF.BFB,W
play,7,0,kim-h002,22,BBC>FS,K
play,7,0,nolaa002,02,F1CS,K
play,7,1,acunr001,32,CBCBB.FT,K
play,7,1,olsom001,30,BBBB,W
play,7,1,rilea001,32,*SBBBF1B,W.1-2
play,7,1,albio001,00,X,13/G23-.2-3;1-2
play,7,1,murps001,00,,NP
play,7,1,murps001,30,.BBBB,W
play,7,1,rosae001,12,*BSFX,6/P56D
play,8,0,grist001,00,,NP
play,8,0,grist001,22,.CBLBS,K
play,8,0,azocj001,01,SX,43/G34
play,8,0,bogax001,02,.CCC,K
play,8,1,arcio002,01,CX,E6/TH/G6+.B-1
play,8,1,ozunm001,22,BFF*BX,6(1)3/GDP/G6M
play,8,1,hills005,21,BBFX,S8/L8D+
play,8,1,acunr001,11,C*BX,9/L89D
play,9,0,sotoj001,00,,NP
play,9,0,sotoj001,22,.BCBC.FS,K
play,9,0,machm001,12,BFF*S,K
play,9,0,cruzn002,00,X,63/G6
play,9,1,olsom001,00,,NP
play,9,1,olsom001,22,.BSBC.S,K
play,9,1,rilea001,32,BBCBFX,S7/G6
play,9,1,albio001,02,CS.FS,K
play,9,1,murps001,10,BX,64(1)/FO/G6.B-1
play,1,0,grist001,20,BBX,S9/L9
play,1,0,machm001,02,FCS,K
play,1,0,sotoj001,22,C1BBS.X,S9/F89.1-2
play,1,0,bogax001,31,BBBCB,W.2-3;1-2
play,1,0,carpm002,32,BSSBBFX,46(1)3/GDP/G4D
play,1,1,acunr001,32,BCBFB.FX,13/G1
play,1,1,olsom001,02,CSS,K
play,1,1,rilea001,12,BCFS,K
play,2,0,cronj001,12,BCCT,K
play,2,0,campl002,02,FSFS,K
play,2,0,odorr001,32,BCBCFBB,W
play,2,0,kim-h002,12,CC.BX,7/L78
play,2,1,darnt001,00,X,63/G6D
play,2,1,albio001,32,CCBFBBX,43/G34
play,2,1,rosae001,11,BFX,7/F78XD+
play,3,0,grist001,22,FBCBX,7/F7D
play,3,0,machm001,22,BFFBX,13/G1S
play,3,0,sotoj001,32,BFBBC.FX,HR/F89XD
play,3,0,bogax001,12,CBFX,S5/G6S
play,3,0,carpm002,12,CBSS,K
play,3,1,ozunm001,22,BBFCS,K
play,3,1,arcio002,22,FFFFFBBS,K
play,3,1,hills005,22,BCSBFS,K
play,4,0,cronj001,10,BX,S39/L9L
play,4,0,campl002,12,BFCS,K
play,4,0,odorr001,12,FFB>B,SB2.1-3(E2/TH)
play,4,0,odorr001,22,FFB>B.X,FC4/G34S.3-H;B-1
play,4,0,kim-h002,11,BC1X,D7/L7L.1-3
play,4,0,grist001,20,BBX,FC3/G34.3XH(12);2-H(E2)(NR)(UR);B-2
play,4,0,machm001,01,NFX,43/G4
play,4,1,acunr001,02,SSS,K
play,4,1,olsom001,11,BCX,D7/L78XD+
play,4,1,rilea001,32,BBCCBS,K
play,4,1,darnt001,00,X,7/L7+
play,5,0,sotoj001,12,FFBS,K
play,5,0,bogax001,12,BFCX,53/G56
play,5,0,carpm002,00,H,HP
play,5,0,cronj001,32,FSBBB>B,W.1-2
play,5,0,campl002,11,BFX,5/L5
play,5,1,albio001,32,VBSF.FBX,8/F78
play,5,1,rosae001,12,BCFS,K
play,5,1,ozunm001,31,BSBBB,W
play,5,1,arcio002,22,CBCFBFS,K
play,6,0,odorr001,00,,NP
play,6,0,odorr001,00,.,NP
play,6,0,odorr001,22,..BBFS.S,K
play,6,0,kim-h002,32,BCFBFBFX,53/G6S
play,6,0,grist001,02,CFC,K
play,6,1,hills005,32,CBBCBS,K
play,6,1,acunr001,01,CX,63/G6
play,6,1,olsom001,20,BBX,S69/G4M
play,6,1,rilea001,22,*BC*BFX,54(1)/FO/G56.B-1
play,7,0,machm001,00,X,9/L9
play,7,0,sotoj001,32,CBBBC.X,7/F7
play,7,0,bogax001,11,CBX,8/F89D
play,7,1,murps001,00,,NP
play,7,1,murps001,32,.BCSBFBX,5/L5
play,7,1,albio001,32,CFBBFBB,W
play,7,1,rosae001,10,BX,7/L78D+
play,7,1,ozunm001,32,BBBCF>S,K
play,8,0,carpm002,00,,NP
play,8,0,carpm002,00,.,NP
play,8,0,azocj001,01,..FX,4/L4MD
play,8,0,cronj001,02,CFFFFS,K
play,8,0,campl002,02,SCS,K
play,8,1,arcio002,00,,NP
play,8,1,arcio002,00,.,NP
play,8,1,arcio002,00,..,NP
play,8,1,arcio002,00,...,NP
play,8,1,arcio002,02,....FCS,K
play,8,1,hills005,32,SCBBBX,D6/G6M
play,8,1,acunr001,00,X,7/F78D
play,8,1,olsom001,01,CX,S8/L8D.2-H
play,8,1,rilea001,21,B*BCX,54(1)/FO/G56S.B-1
play,9,0,odorr001,21,BCBX,D8/L78XD
play,9,0,kim-h002,32,BCFFBBFX,8/F8
play,9,0,grist001,01,CX,S7/G5.2-3
play,9,0,machm001,00,,NP
play,9,0,machm001,22,.BFBCF>FS,K
play,9,0,sotoj001,10,BB,WP.3-H(NR);1-2
play,9,0,sotoj001,30,BB.VV,IW
play,9,0,bogax001,22,FCBB.B,WP.2-3;1-2
play,9,0,bogax001,32,FCBB.B.B,W
play,9,0,azocj001,01,CX,9/F9L
play,9,1,murps001,00,,NP
play,9,1,murps001,31,.BBBCB,W
play,9,1,albio001,22,BBCFFFX,S7/F78S.1-2
play,9,1,rosae001,00,,NP
play,9,1,pillk001,22,.BSCBS,K
play,9,1,ozunm001,12,BCFS,K
play,9,1,arcio002,22,FFFBFBB,WP.2-3;1-2
play,9,1,arcio002,32,FFFBFBB.S,K
play,1,0,bogax001,01,CX,43/G4
play,1,0,machm001,02,CCX,9/L9
play,1,0,sotoj001,22,BSBC.FX,S39/G3
play,1,0,cruzn002,02,SSX,4(1)/FO/G1S.B-1
play,1,1,acunr001,32,BCBBCB,W
play,1,1,olsom001,22,BBFC1X,36(1)/FO/G34.B-1
play,1,1,rilea001,32,BFSBBFFX,S56/G6S.1-2
play,1,1,albio001,02,CCS,K
play,1,1,murps001,00,X,64(1)/FO/G6.B-1
play,2,0,cronj001,11,BFX,D9/L89XD+
play,2,0,kim-h002,00,X,D8/L78XD+.2-H
