Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,thoml002,00,X,S8/L8D
play,1,0,calla002,01,FX,8/F89XD
play,1,0,candj002,01,FX,7/F7D
play,1,0,menej001,12,B1F*S*S,K
play,1,1,profj001,00,X,S8/F8
play,1,1,bryak001,20,BBX,53/G5.1-2
play,1,1,blacc001,31,BB*SBB,W
play,1,1,cronc002,22,BBCS.FS,K
play,1,1,mcmar001,32,CBF.*B*B>S,K
play,2,0,smitd008,01,FX,7/F7LD
play,2,0,ruizk001,00,X,5/L5
play,2,0,garcl006,21,BFBX,7/L78D
play,2,1,diaze005,10,BX,3/G23-
play,2,1,monte001,01,CX,S8/L8S
play,2,1,dazay001,02,SSS,K
play,2,1,tovae001,02,FSC,K
play,3,0,roblv001,12,CBFC,K
play,3,0,abrac001,11,CBX,S9/L9
play,3,0,thoml002,22,BBCF1>B,CS2(24)
play,3,0,thoml002,32,BBCF1>B.*B,W
play,3,0,calla002,22,BFBF*S,K
play,3,1,profj001,12,FFBX,9/F9
play,3,1,bryak001,11,SBX,D7/L7LD+
play,3,1,blacc001,12,TBCX,43/G34.2-3
play,3,1,cronc002,32,BBSBFX,63/G6M
play,4,0,candj002,01,FX,8/F8S
play,4,0,menej001,22,BFBFC,K
play,4,0,smitd008,11,CBX,S9/L9
play,4,0,ruizk001,32,CBFB.B>F>F>X,7/L7
play,4,1,mcmar001,02,CCS,K
play,4,1,diaze005,32,BSC.BBFX,4/P4D
play,4,1,monte001,22,SCBBX,S5/G5S
play,4,1,dazay001,12,CSBX,7/F78
play,5,0,garcl006,00,X,13/G6S
play,5,0,roblv001,10,BX,7/F78XD
play,5,0,abrac001,02,FCFS,K
play,5,1,tovae001,12,BSCX,D8/F89D
play,5,1,profj001,10,BX,7/F7S
play,5,1,bryak001,32,F*BBC*BX,S7/L78.2-H
play,5,1,blacc001,20,BBX,8/F8XD
play,5,1,cronc002,12,BFSS,K
play,6,0,thoml002,32,BBBCFX,9/F9
play,6,0,calla002,31,BBBCB,W
play,6,0,candj002,01,FX,8/L8XD+
play,6,0,menej001,02,FFX,1/G23-
play,6,1,mcmar001,12,SBF.X,S34/G34
play,6,1,diaze005,20,*BBX,53/G5.1-2
play,6,1,monte001,00,X,S7/G56.2-3
play,6,1,dazay001,32,FFBB.B>X,8/F8
play,6,1,tovae001,01,FX,3/G3
play,7,0,smitd008,12,BCFX,43/G4S
play,7,0,ruizk001,21,BBFX,13/G1S-
