Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,lewik001,12,CSFFBFS,K
play,1,0,martk001,10,BH,HP
play,1,0,gurrl001,01,FX,S7/L7+.1-2
play,1,0,walkc002,02,SFX,S7/L56D.2-H;1-2
play,1,0,longe001,00,X,54(1)3/GDP/G56
play,1,1,bettm001,12,CBSS,K
play,1,1,freef001,02,CFS,K
play,1,1,smitw003,00,X,D9/L9LD+
play,1,1,muncm001,22,BCBSC,K
play,2,0,ahmen001,00,X,D7/L7LS+
play,2,0,carrc005,21,BBCX,8/F89D.2-3
play,2,0,moreg001,21,BCBX,8/SF/L8D+.3-H
play,2,0,mccaj003,01,CX,3/G34
play,2,1,martj006,32,BCBFBX,53/G56S
play,2,1,perad001,10,BX,43/G4
play,2,1,vargm001,02,FFX,8/F8
play,3,0,lewik001,22,BFBFS,K
play,3,0,martk001,00,X,E6/G6D.B-1
play,3,0,gurrl001,10,BX,54(1)3/GDP/G56
play,3,1,outmj002,32,SCBBBB,W
play,3,1,rojam002,02,S11CX,DGR/L9L.1-3
play,3,1,bettm001,22,BFF*B*S,K
play,3,1,freef001,21,BFBX,6/L6D
play,3,1,smitw003,22,FBBCX,S9/L9L.3-H;2-H
play,3,1,muncm001,12,F*BCT,K
play,4,0,walkc002,12,CSFFBX,53/G56
play,4,0,longe001,02,CSX,3/P3F/FL
play,4,0,ahmen001,12,CCFFBS,K
play,4,1,martj006,00,X,9/F9LS
play,4,1,perad001,21,CBBX,143/G4MS+
play,4,1,vargm001,30,BBBB,W
play,4,1,outmj002,12,B1FSS,K
play,5,0,carrc005,11,BCX,7/L7
play,5,0,moreg001,22,CBBC*S,K.BX1(23)
play,5,0,mccaj003,11,BFX,8/F8XD
play,5,1,rojam002,00,X,3/P3DF/FL
play,5,1,bettm001,32,BBFFBFB,W
play,5,1,freef001,31,B1BBFX,S9/L9LS.1-3
play,5,1,smitw003,02,FCX,S9/P3D.3-H;1-3
play,5,1,muncm001,12,CBSS,K
play,5,1,martj006,12,FSFBX,S9/L9+.3-H;1-2
play,5,1,perad001,00,,NP
play,5,1,perad001,00,.X,S7/L78.2-H;1X3(75)
play,6,0,lewik001,12,CBFS,K
play,6,0,martk001,32,CFBBFBFFFX,S9/L9LS.BX2(96)
play,6,0,gurrl001,22,CBFBC,K
play,6,1,vargm001,30,BBBB,W
play,6,1,outmj002,32,*BBCBTX,HR/F78XD.1-H
play,6,1,rojam002,10,BX,43/G4MD
play,6,1,bettm001,32,CSBBFBX,2/P2F/FL
play,6,1,freef001,00,,NP
play,6,1,freef001,22,.BSBFX,S9/L9
play,6,1,smitw003,22,*BBCFX,63/G6
play,7,0,walkc002,00,,NP
play,7,0,walkc002,22,.BFS.BX,6/P56D
play,7,0,longe001,20,BBX,7/F78
play,7,0,ahmen001,12,CBCS,K
play,7,1,muncm001,12,FBSS,K
play,7,1,martj006,12,CFBS,K
play,7,1,perad001,01,SX,S7/L78
play,7,1,vargm001,00,,NP
play,7,1,vargm001,02,.CCS,K
play,8,0,carrc005,00,,NP
play,8,0,carrc005,12,.CBFX,8/F78D
play,8,0,moreg001,12,SCBFX,8/F89XD
play,8,0,mccaj003,12,BSFS,K
play,8,1,outmj002,11,FBX,S9/L9L.B-2(E9)
play,8,1,rojam002,10,BX,S5/G5.2-3
play,8,1,bettm001,12,CCBC,K
play,8,1,freef001,32,BBSBC>B,W.1-2
play,8,1,smitw003,00,,NP
play,8,1,smitw003,32,.FVBFBFX,8/SF/F8D.3-H
play,8,1,muncm001,22,BFF*B*S,K
play,9,0,lewik001,00,,NP
play,9,0,lewik001,02,.CSX,2/P2F/FL
play,9,0,martk001,32,BCBCBX,7/F56D
play,9,0,gurrl001,00,X,63/G6
play,1,0,rojaj001,22,CFFBFBX,53/G56
play,1,0,martk001,12,CSBX,8/F78XD
play,1,0,gurrl001,22,BBSSX,8/F8XD
play,1,1,bettm001,20,BBX,31/G3
play,1,1,freef001,32,BBFBFC,K
play,1,1,smitw003,32,BSCBFBFFFFB,W
play,1,1,muncm001,02,CSFX,S9/G34+.1-2
play,1,1,martj006,12,SS*BS,K
play,2,0,walkc002,12,CBFS,K
play,2,0,carrc005,31,BBBCX,D9/G3
play,2,0,moreg001,01,CX,53/G56
play,2,0,mccaj003,00,X,7/F7L
play,2,1,perad001,02,CFX,S9/L9+
play,2,1,vargm001,12,BFF>B,CS2(24)
play,2,1,vargm001,22,BFF>B.X,D8/F89XD+
play,2,1,outmj002,22,SS*BBS,K
play,2,1,rojam002,12,FBFS,K
play,3,0,thoma004,12,CBCX,43/G34
play,3,0,perdg001,31,BBBCB,W
play,3,0,rojaj001,00,X,8/L8D
play,3,0,martk001,01,FX,63/G4M
play,3,1,bettm001,32,BTFBBB,W
play,3,1,freef001,01,F1X,9/F9D
play,3,1,smitw003,00,1X,7/L7+
play,3,1,muncm001,21,BBS1X,8/L8+
play,4,0,gurrl001,12,CCBX,43/G4
play,4,0,walkc002,01,CX,S7/G5+
play,4,0,carrc005,00,X,43/G34.1-2
play,4,0,moreg001,10,BX,9/L9
play,4,1,martj006,10,BX,4/F4D
play,4,1,perad001,31,BFBBB,W
play,4,1,vargm001,30,BB1BB,W.1-2
play,4,1,outmj002,22,BBFSX,25(2)/FO/G2-.1-2;B-1
play,4,1,rojam002,00,,NP
play,4,1,rojam002,22,.BFSBX,7/F7LD
play,5,0,mccaj003,10,BX,6/F6MD
play,5,0,thoma004,22,BBSFFX,63/G4M
play,5,0,perdg001,02,FFFS,K
play,5,1,bettm001,12,BSC*S,K
play,5,1,freef001,11,BCX,63/G6D
play,5,1,smitw003,32,BBBFTB,W
play,5,1,muncm001,01,CX,8/F8D+
play,6,0,rojaj001,00,X,4/P4
play,6,0,martk001,32,BBFFBFX,8/L78D
play,6,0,gurrl001,12,CFBS,K
play,6,1,martj006,12,FBSS,K
play,6,1,perad001,10,BX,7/F7D
play,6,1,vargm001,31,CBBBB,W
play,6,1,outmj002,32,BF*BBC>*S,K
play,7,0,walkc002,10,BX,63/G6M
play,7,0,carrc005,30,BBBX,43/G4D
play,7,0,moreg001,00,X,S9/L9LS
play,7,0,mccaj003,12,FBFS,K
play,7,1,rojam002,22,BFSB*S,K
play,7,1,bettm001,02,CSX,HR/F7D
play,7,1,freef001,11,CBX,53/G6
