Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,wardt002,12,BCFFS,K
play,1,0,troum001,22,CCBBX,8/L89D+
play,1,0,ohtas001,32,FCBFBBFS,K
play,1,1,kempt001,30,BBBB,W
play,1,1,capec001,21,CBBX,36(1)/FO/G34.B-1
play,1,1,diaza003,22,BSFBC,K
play,1,1,brows003,10,BX,9/F89
play,2,0,renda001,32,BBCCB.C,K
play,2,0,renfh001,01,FX,9/F89
play,2,0,rengl001,10,BX,9/F9
play,2,1,aguij001,31,BBFBX,7/F78
play,2,1,laurr001,32,CBBF.BS,K
play,2,1,petej002,12,BCCS,K
play,3,0,drurb001,10,BX,6/L6D
play,3,0,urshg001,10,BX,S7/G56
play,3,0,ohopl001,10,BX,54(1)/FO/G56.B-1
play,3,0,wardt002,01,FX,64(1)/FO/G6.B-1
play,3,1,langs001,01,CX,7/F7L
play,3,1,ruize001,02,CCS,K
play,3,1,kempt001,00,X,5/P5F/FL
play,4,0,troum001,30,BBBB,W
play,4,0,ohtas001,10,BX,S9/G4.1-2
play,4,0,renda001,32,BFBFFBX,7/F7LD
play,4,0,renfh001,11,BSX,7/L7+
play,4,0,rengl001,01,SX,64(1)/FO/G6.B-1
play,4,1,capec001,22,CS.BBFC,K
play,4,1,diaza003,10,BX,S8/L8
play,4,1,brows003,12,CFBX,D7/L78XD.1-3
play,4,1,aguij001,12,BFFS,K
play,4,1,laurr001,22,BBTS.S,K
play,5,0,drurb001,02,FF.X,63/G6
play,5,0,urshg001,22,CFFBFBX,S4/G6M.B-2(E4/TH)
play,5,0,ohopl001,11,BSB,WP.2-3
play,5,0,ohopl001,32,BSB.BFX,S7/L78+.3-H
play,5,0,wardt002,10,*BX,4(1)3/GDP/G6M
play,5,1,petej002,20,BBX,9/L89XD+
play,5,1,langs001,32,CBFBBFF.B,W
play,5,1,ruize001,22,BCSBX,8/F8D
play,5,1,kempt001,02,CF.*S,K
play,6,0,troum001,00,,NP
play,6,0,troum001,32,.BCCBBX,7/F7D+
play,6,0,ohtas001,32,BCBSBS,K
play,6,0,renda001,30,BBBB,W
play,6,0,renfh001,20,BBX,7/F7LSF/FL
play,6,1,capec001,12,CBFS,K
play,6,1,diaza003,31,BBBCB,W
play,6,1,brows003,10,BX,5/P25
play,6,1,aguij001,12,CC.*BFFS,K
play,7,0,rengl001,00,,NP
play,7,0,rengl001,22,.FABBFFFX,43/G34
play,7,0,drurb001,02,FC.*S,K
play,7,0,urshg001,22,FFFBFBFF.FS,K
play,7,1,laurr001,00,,NP
play,7,1,laurr001,12,..CFBS,K
play,7,1,petej002,32,CFBF.BFBFX,13/G4MS
play,7,1,langs001,11,FBX,3/P3S
play,8,0,ohopl001,00,,NP
play,8,0,ohopl001,22,.BCFFBX,7/F78S
play,8,0,wardt002,00,X,S6/G56
play,8,0,troum001,21,*BCB>S,SB2
play,8,0,troum001,32,*BCB>S.BX,7/L7D+
play,8,0,ohtas001,30,VVVV,IW
play,8,0,renda001,12,CBCS,K
play,8,1,ruize001,00,,NP
play,8,1,ruize001,22,.SL.FBBFX,S9/G34
play,8,1,kempt001,22,BLFBX,D8/F89XD.1-H
play,8,1,capec001,00,,NP
play,8,1,rookb001,02,.CSS,K
play,8,1,diaza003,00,,NP
play,8,1,diaza003,10,.BX,S7/L78.2-H
play,8,1,brows003,00,,NP
play,8,1,brows003,12,.F*B1FX,S9/G4.1-3
play,8,1,aguij001,20,1BB>B,SB2
play,8,1,aguij001,30,1BB>B.V,IW
play,8,1,laurr001,00,,NP
play,8,1,laurr001,10,.BX,4(1)3/GDP/G4M
play,9,0,renfh001,00,.,NP
play,9,0,renfh001,00,..,NP
play,9,0,renfh001,00,...,NP
play,9,0,renfh001,12,....BCSS,K
play,9,0,rengl001,32,CBCFFFFBBB,W
play,9,0,drurb001,00,,NP
play,9,0,drurb001,32,.BBC1BS.X,3/P3
play,9,0,urshg001,32,B1SBFF*B1>X,9/F9D
play,1,0,wardt002,02,CFFS,K
play,1,0,troum001,12,FCBS,K
play,1,0,ohtas001,11,BSX,3/G3
play,1,1,ruize001,02,FSS,K
play,1,1,diaza003,01,CX,43/G6M
play,1,1,brows003,20,BBX,3/G3
play,2,0,renda001,20,BBX,7/F78D
play,2,0,renfh001,22,CCBVFS,K
play,2,0,lambj001,12,BFSS,K
play,2,1,aguij001,01,CX,53/G5S
play,2,1,rookb001,22,BCBTX,63/G6
play,2,1,laurr001,32,CFBBBX,E5/G56+.B-1
play,2,1,langs001,11,BCX,6/L6D
play,3,0,rengl001,32,CBBCBB,W
play,3,0,urshg001,10,*BX,S8/G6M.1-2
play,3,0,ohopl001,11,SBX,D7/F7D+.2-H;1-3
play,3,0,wardt002,00,X,S8/L8D+.3-H;2-3
play,3,0,troum001,31,SBBBB,W.1-2
play,3,0,ohtas001,01,SX,S7/L7LD.3-H;2-3;1-2
play,3,0,renda001,12,TBSX,8/SF/F78D+.3-H
play,3,0,renfh001,32,BSF*BBB,W.2-3;1-2
play,3,0,lambj001,11,TBX,S8/G4M.3-H;2-H;1-3(E8)
play,3,0,rengl001,00,,NP
play,3,0,rengl001,22,.BBFCFB,WP.1-2
play,3,0,rengl001,32,.BBFCFB.FB,W
play,3,0,urshg001,11,S*BX,S9/G4.3-H;2-H;1-3
play,3,0,ohopl001,10,BX,8/SF/F8XD.3-H
play,3,0,wardt002,11,BFX,HR/L7D.1-H
play,3,0,troum001,12,CBCX,43/G4
play,3,1,kempt001,32,BCBS.BB,W
play,3,1,allen002,01,CX,8/F8
play,3,1,ruize001,32,1BCBBFFFFX,54(1)3/GDP/G56
play,4,0,ohtas001,22,BBCFFS,K
play,4,0,renda001,02,SCX,7/L7D
play,4,0,renfh001,02,FCFFX,9/F89XD
play,4,1,diaza003,12,CCBX,S8/G6M
play,4,1,brows003,22,FFFBBFX,7/F7L
play,4,1,aguij001,22,FBBSS,K
play,4,1,rookb001,02,CCX,64(1)/FO/G6.B-1
play,5,0,lambj001,32,CFBBBT,K
play,5,0,rengl001,00,X,43/G4
play,5,0,urshg001,30,BBBB,W
play,5,0,ohopl001,01,CX,9/L9D
play,5,1,laurr001,11,BSX,HR/F7D
play,5,1,langs001,22,BSF.FFFVX,4/P4D
play,5,1,kempt001,31,BBBC.B,W
play,5,1,allen002,01,CX,4/L4
play,5,1,ruize001,32,BSBBF>X,C/E2.1-2;B-1
play,5,1,diaza003,11,BSX,54(1)/FO/G56.B-1
play,6,0,wardt002,02,SSC,K
play,6,0,troum001,31,FBBBX,D7/G5
play,6,0,ohtas001,10,BX,S9/G4.2-H
play,6,0,renda001,02,CSX,8/F8
play,6,0,renfh001,00,X,64(1)/FO/G6.B-1
play,6,1,brows003,00,,NP
play,6,1,brows003,00,.,NP
play,6,1,brows003,00,..,NP
play,6,1,brows003,21,...BSBX,8/F8D
play,6,1,aguij001,01,CX,S7/L7
play,6,1,rookb001,20,*BBX,54(1)3/GDP/G56
play,7,0,lambj001,21,CBBX,8/F8
play,7,0,rengl001,11,CBX,E3/TH/G34.B-1
play,7,0,urshg001,01,SX,S15/G1S.1-2
play,7,0,ohopl001,20,B*BX,4/P34D
play,7,0,wardt002,21,BF*BX,S7/L78D+.2-H(UR);1-3
play,7,0,troum001,21,CBBX,64(1)/FO/G6D.B-1
play,7,1,laurr001,00,,NP
play,7,1,laurr001,02,.CCC,K
play,7,1,langs001,01,SX,53/G5D+
play,7,1,kempt001,10,BX,3/G3
play,8,0,ohtas001,00,,NP
play,8,0,ohtas001,00,.,NP
play,8,0,ohtas001,00,..,NP
play,8,0,ohtas001,11,...FBX,43/G4
play,8,0,fletd002,20,BBX,8/L8D
play,8,0,renfh001,21,CBBX,63/G6
play,8,1,allen002,00,X,8/F89D
play,8,1,ruize001,31,BBBCB,W
play,8,1,diaza003,02,CFC,K
play,8,1,brows003,10,BX,7/F78XD+
play,9,0,lambj001,00,,NP
play,9,0,lambj001,31,.CBBBB,W
play,9,0,rengl001,00,X,4(1)3/GDP/G4
play,9,0,urshg001,10,BX,43/G4M
play,9,1,nodar001,22,CF.BBS,K
play,9,1,rookb001,00,,NP
play,9,1,perec003,11,.BSX,S9/L89D
play,9,1,capec001,21,BCBX,S7/F7LS.1-2
play,9,1,langs001,10,BX,5(2)3/GDP/G5
play,1,0,wardt002,00,X,9/F89XD
play,1,0,troum001,20,BBX,D7/L78D+
play,1,0,ohtas001,00,X,8/L8D+
play,1,0,renfh001,21,SBBX,63/G56
play,1,1,ruize001,22,SBS.BX,1/P1S
play,1,1,diaza003,22,BBFFFX,63/G6
play,1,1,brows003,32,FBBFFBFB,W
play,1,1,aguij001,02,CFX,S9/L9LS.1-3
play,1,1,rookb001,21,CBBX,8/F8
play,2,0,drurb001,02,SFF.S,K
play,2,0,rengl001,12,BFFH,HP
play,2,0,urshg001,21,BBF1X,54(1)3/GDP/G56
play,2,1,laurr001,31,BBFBB,W
play,2,1,langs001,10,BX,S9/F9LS.1-2
play,2,1,kempt001,11,BCX,2/BP2F-/FL
play,2,1,allen002,00,X,46(1)3/GDP/G4
play,3,0,ohopl001,12,FFBX,63/G6
play,3,0,fletd002,32,BBCBCT,K
play,3,0,wardt002,00,X,S7/L7LS
play,3,0,troum001,22,CC1BB.FX,S9/L89.1-3
play,3,0,ohtas001,32,BBBCS>T,K
play,3,1,ruize001,21,BCBX,4/F4D
play,3,1,diaza003,12,CSBT,K
play,3,1,brows003,12,FCBX,31/G3
play,4,0,renfh001,01,CX,S2/G23-.B-2(E2/TH)
play,4,0,drurb001,22,BBFSFFX,63/G6
play,4,0,rengl001,01,SB,WP.2-3
play,4,0,rengl001,31,SB.BB*B,W
play,4,0,urshg001,32,FBBBF1FS,K
play,4,0,ohopl001,11,BCX,HR/F78XD.3-H;1-H
play,4,0,fletd002,32,BBBCFX,4/P4M
play,4,1,aguij001,22,CFFBBFX,53/G5
play,4,1,rookb001,32,BCBBSS,K
play,4,1,laurr001,21,SBBX,D8/G6
play,4,1,langs001,11,S*BX,9/F89D
play,5,0,wardt002,10,BX,S7/L7
play,5,0,troum001,11,BFX,HR/F8XD.1-H
play,5,0,ohtas001,00,X,HR/F89XD
play,5,0,renfh001,00,X,9/F9L
play,5,0,drurb001,12,CS.FBX,53/G5
play,5,0,rengl001,11,FBX,63/G56
play,5,1,kempt001,22,CS.FBFBX,43/G34
play,5,1,allen002,00,X,4/P3D
play,5,1,ruize001,01,LH,HP
play,5,1,diaza003,00,X,54(1)/FO/G56.B-1
play,6,0,urshg001,10,BX,6/F78S
play,6,0,ohopl001,20,BBX,4/P34
play,6,0,fletd002,01,CX,S9/F9LS
play,6,0,wardt002,00,,NP
play,6,0,wardt002,21,.BCBX,S9/F89S.1-2
play,6,0,troum001,20,BBB,WP.2-3;1-2
play,6,0,troum001,30,BBB.B,W
play,6,0,ohtas001,12,SCFBS,K
play,6,1,brows003,12,BFFS,K
play,6,1,aguij001,01,CX,S8/F89S
play,6,1,rookb001,00,X,7/F7D+
play,6,1,laurr001,22,BCSBFS,K
play,7,0,renfh001,00,,NP
play,7,0,renfh001,22,.BFBCX,4/F8S
play,7,0,drurb001,32,BSCFFBFBX,13/G13-
play,7,0,rengl001,00,X,31/G34
play,7,1,langs001,00,,NP
play,7,1,langs001,11,.BFX,2/P2F/FL
play,7,1,kempt001,32,CFBBB.S,K
play,7,1,allen002,00,,NP
play,7,1,petej002,12,.CBFC,K
play,8,0,urshg001,00,,NP
play,8,0,urshg001,00,.,NP
play,8,0,urshg001,22,..BSBFS,K
play,8,0,ohopl001,02,CSX,S8/G6
play,8,0,fletd002,00,X,8/F78D
play,8,0,wardt002,01,CX,64(1)/FO/G56.B-1
play,8,1,ruize001,32,CBCBBX,23/G2-
play,8,1,diaza003,11,BFX,8/L78XD+
play,8,1,brows003,10,BX,7/F78D
play,9,0,troum001,31,BBCBX,8/F8XD+
play,9,0,ohtas001,00,,NP
play,9,0,thaim001,21,.BBCX,43/G4
play,9,0,renfh001,31,BBBCX,13/G1S-
play,9,1,aguij001,00,.,NP
play,9,1,aguij001,12,..CBF.C,K
play,9,1,rookb001,00,,NP
play,9,1,nodar001,22,.SBS.BS,K
play,9,1,laurr001,32,CSBFBFBB,W
play,9,1,langs001,00,>B,DI.1-2
play,9,1,langs001,32,>B.SBFBFX,S9/L9.2-3
play,9,1,kempt001,12,>FBFT,K
play,1,0,kwans001,10,BX,D7/L7L
play,1,0,rosaa003,22,SBBFC,K
play,1,0,ramij003,32,FBFBBFB,W
play,1,0,bellj005,32,BBCC*BT,K
play,1,0,naylj001,00,X,S8/G4M.2-H;1-2
play,1,0,gimea001,01,SX,D9/L3D.2-H;1-3
play,1,0,zunim001,10,BX,4/P34
play,1,1,kempt001,21,BFBX,3/G34
play,1,1,petej002,32,BCSBFBFFB,W
play,1,1,diaza003,02,1T1CS,K
play,1,1,brows003,00,X,S8/F8S.1-3
play,1,1,capec001,11,SBX,S4/G4.3-H;1-2
play,1,1,laurr001,32,BBFBS>F>F>X,6/P6
play,2,0,brenw002,10,BX,9/L89D+
play,2,0,stram002,12,BCFX,8/F8D
play,2,0,kwans001,12,CFFBX,5/P56
play,2,1,nodar001,22,BSSFBX,S8/G4+
play,2,1,langs001,01,CX,S67/G56.1-3
play,2,1,ruize001,21,BBCX,D7/L7LD+.3-H;1-3
play,2,1,kempt001,21,BFBX,S9/L9+.3-H;2-3
play,2,1,petej002,22,BCFFFBFFX,HR/F89XD.3-H;1-H
play,2,1,diaza003,00,,NP
play,2,1,diaza003,11,.FBX,9/F9S
play,2,1,brows003,12,FBFA,K
