Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,indij001,02,CCFX,9/F9
play,1,0,friet001,01,CX,2/P2F/FL
play,1,0,fralj001,32,CTBBBS,K
play,1,1,turnt001,12,CFBS,K
play,1,1,schwk001,12,SSBS,K
play,1,1,realj001,12,CCBS,K
play,2,0,stept001,32,BBBCFFFB,W
play,2,0,myerw001,02,CSC,K
play,2,0,voslj001,12,SBCT,K
play,2,0,stees001,11,CBX,3/P3SF-/FL
play,2,1,castn001,00,X,D7/G5
play,2,1,stotb001,32,BFBBSFS,K
play,2,1,bohma001,02,SCX,8/L8XD+.2-3
play,2,1,cavej001,32,FFBFBBB,W
play,2,1,clemk001,22,BBS1S>B,SB2
play,2,1,clemk001,32,BBS1S>B.FB,W
play,2,1,marsb002,31,BFB*BB,W.3-H;2-3;1-2
play,2,1,turnt001,20,BBX,8/F8D
play,3,0,bensw001,21,CBBX,S8/F78
play,3,0,garcj007,20,BBX,64(1)/FO/G6M.B-1
play,3,0,indij001,00,>C,CS2(24)
play,3,0,indij001,01,>C.X,3/P3
play,3,1,schwk001,22,CBSBX,3/P3SF/FL
play,3,1,realj001,32,BBCFBFF.X,S8/L8S+
play,3,1,castn001,11,1S*BX,D7/L7+.1-3
play,3,1,stotb001,02,FFX,4/P4D
play,3,1,bohma001,12,FF*BX,9/F9LS
play,4,0,friet001,11,BCX,8/F8D
play,4,0,fralj001,32,BFSBFFBFB,W
play,4,0,stept001,00,X,64(1)3/GDP/G6
play,4,1,cavej001,21,BSBX,7/F7S
play,4,1,clemk001,21,BBFX,8/F8D
play,4,1,marsb002,32,BBBCFFX,7/F7
play,5,0,myerw001,22,CBCBC,K
play,5,0,voslj001,12,CBFX,5/P56D
play,5,0,stees001,11,BCX,D7/L7LD
play,5,0,bensw001,32,BCBFFBB,W
play,5,0,garcj007,10,*BX,S8/L4MD.2-H;1-3
play,5,0,indij001,32,B1BCCB1>F>S,K
play,5,1,turnt001,00,X,S8/G6M
play,5,1,schwk001,00,1X,D9/L9LD.1-H
play,5,1,realj001,12,BCCX,5/P56S
play,5,1,castn001,12,BFF*S,K
play,5,1,stotb001,00,,NP
play,5,1,stotb001,32,.L*BBCBFX,S5/G56.2-3
play,5,1,bohma001,21,BFBX,64(1)/FO/G6.B-1
play,6,0,friet001,22,CBS.BX,D8/L89D
