Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,kwans001,32,BBBCCX,5/P5F/FL
play,1,0,rosaa003,02,FSS,K
play,1,0,ramij003,02,CCX,3/G3-
play,1,1,rodrj007,32,BFSBBS,K
play,1,1,wongk001,22,BBCFX,8/F89XD
play,1,1,frant002,01,CX,S7/L7
play,1,1,hernt002,32,SBBSFB>S,K
play,2,0,bellj005,32,CBFBFBX,63/G6MD
play,2,0,naylj001,02,FCFX,8/F8XD
play,2,0,gimea001,12,SBSX,5/P5F/FL
play,2,1,ralec001,01,CX,7/F7L
play,2,1,suare001,01,CX,D7/F78XD
play,2,1,kelej001,22,CBBFB,WP.2-3
play,2,1,kelej001,32,CBBFB..C,K
play,2,1,lastt001,01,CX,7/L7L
play,3,0,brenw002,01,CX,S16/L13
play,3,0,zunim001,22,BBSFS,K
play,3,0,stram002,02,FFS,K
play,3,0,kwans001,12,CFF1B.S,K
play,3,1,crawj002,00,X,S8/L89
play,3,1,rodrj007,11,BFX,8/F89XD
play,3,1,wongk001,11,1FBX,43/G34.1-2
play,3,1,frant002,22,CB*BFB,WP.2-3
play,3,1,frant002,32,CB*BFB.X,13/G1S
play,4,0,rosaa003,01,CX,63/G6-
play,4,0,ramij003,32,CC.BFBFFFBX,9/L89D+
play,4,0,bellj005,00,X,43/G34
play,4,1,hernt002,11,BCX,53/G56S
play,4,1,ralec001,11,SBX,S15/G1S
play,4,1,suare001,01,FX,54(1)3/GDP/G56
play,5,0,naylj001,02,SFX,9/L89D
play,5,0,gimea001,12,CSBS,K
play,5,0,brenw002,00,X,63/G6M
play,5,1,kelej001,12,CBFX,S49/G34
play,5,1,lastt001,01,C>B,SB2
play,5,1,lastt001,12,C>B.CX,31/G3.2-3
play,5,1,crawj002,32,CBBBS.X,3/G3
play,5,1,rodrj007,10,BX,9/L89D
play,6,0,zunim001,22,BFCBS,K
play,6,0,stram002,02,CFX,2/P23F/FL
play,6,0,kwans001,12,BCSFX,8/F8
play,6,1,wongk001,32,CBSFBBFX,3/L3D+
play,6,1,frant002,11,SBX,D8/L89XD+
play,6,1,hernt002,12,F*S*BX,43/G4.2-3
play,6,1,ralec001,11,BCX,7/F7S
play,7,0,rosaa003,00,,NP
play,7,0,rosaa003,12,.CCBS,K
play,7,0,ramij003,32,BFBCBS,K
play,7,0,bellj005,21,BBSX,S9/G4
play,7,0,naylj001,21,BSBX,7/F7S
play,7,1,suare001,00,,NP
play,7,1,suare001,22,.BCFBS,K
play,7,1,kelej001,32,CBFB.BX,8/F8XD+
play,7,1,lastt001,00,X,53/G56S
play,8,0,gimea001,00,,NP
play,8,0,gimea001,11,.CBX,5/P5F/FL
play,8,0,brenw002,02,CSFFS,K
play,8,0,zunim001,12,BCS.X,8/F8S
play,8,1,crawj002,00,,NP
play,8,1,crawj002,32,.CFVBFBFB,W
play,8,1,rodrj007,32,CBBB1FX,8/F8
play,8,1,wongk001,32,BFBF1>FFB1H,HP.1-2
play,8,1,frant002,11,BFX,HR/F9D.2-H;1-H
play,8,1,hernt002,00,,NP
play,8,1,hernt002,12,.CBF*S,K
play,8,1,ralec001,01,FX,7/F7S
play,9,0,stram002,00,,NP
play,9,0,stram002,10,.BX,63/G6
play,9,0,kwans001,12,BCFX,53/G56S
play,9,0,rosaa003,11,BCX,S7/G56
play,9,0,ramij003,00,X,D9/L9LD.1-3
play,9,0,bellj005,22,BSBFX,31/G3
play,1,0,kwans001,32,MFFBBFBFS,K
play,1,0,rosaa003,12,CSFBX,8/F89XD
play,1,0,ramij003,30,BBBB,W
