Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,sprig001,22,BFBFX,S9/L89D+
play,1,0,bichb001,22,BFCBX,S8/L8S.1-2
play,1,0,guerv002,21,BBFX,8/F8XD+.2-3
play,1,0,varsd001,32,BSBFFFFBX,D9/L9LS+.3-H;1-3
play,1,0,kirka001,11,FBX,S8/L8.3-H;2-H
play,1,0,beltb001,21,BBSX,8/L78D
play,1,0,chapm001,11,BFX,S9/G34.1-2
play,1,0,merrw001,12,BFFC,K
play,1,1,donob001,32,CBBBF.X,S6/G6.B-2(E6/TH)
play,1,1,nootl001,32,BCS*BBB,W
play,1,1,goldp001,32,BSFBF*BS,K
play,1,1,arenn001,00,X,S7/L7L.2-H;1-3
play,1,1,contw001,12,SCFBX,4/L4
play,1,1,oneit001,12,S*BFS,K
play,2,0,kierk001,01,CX,9/F89
play,2,0,sprig001,01,CX,S7/L78
play,2,0,bichb001,22,BFF*BX,D9/L9LD+.1-H
play,2,0,guerv002,10,BH,HP
play,2,0,varsd001,12,BFCS,K
play,2,0,kirka001,12,CCBX,9/F9D
play,2,1,gormn001,12,CSBS,K
play,2,1,walkj003,01,CX,S8/G4M+
play,2,1,edmat001,10,*BX,S8/L8.1-2
play,2,1,donob001,32,B2SBBF.X,9/L9+
play,2,1,nootl001,20,BBX,43/G34+
play,3,0,beltb001,22,FCFBFBS,K
play,3,0,chapm001,12,FCFBX,S8/L8
play,3,0,merrw001,22,SF*BFBS,K
play,3,0,kierk001,12,BCSC,K
play,3,1,goldp001,22,BCSBFX,9/F9S
play,3,1,arenn001,00,X,8/F8D
play,3,1,contw001,12,CBCX,S8/G6
play,3,1,oneit001,00,X,HR/F89XD.1-H
play,3,1,gormn001,20,BBX,S9/L89
play,3,1,walkj003,00,X,13/G13-
play,4,0,sprig001,12,CBCX,S4/G34
play,4,0,bichb001,22,BBCCFFS,K
play,4,0,guerv002,00,X,S9/G34+.1-3;B-2
play,4,0,varsd001,00,,NP
play,4,0,varsd001,21,.BBTX,7/SF/L78D+.3-H
play,4,0,kirka001,12,BCF*S,K
play,4,1,edmat001,32,VBCBCFX,S5/G25
play,4,1,donob001,02,CS.FX,HR/F89XD.1-H
play,4,1,nootl001,12,CCBX,3/G3
play,4,1,goldp001,32,BBCSFFBFB,W
play,4,1,arenn001,00,,NP
play,4,1,arenn001,10,.BX,54(1)3/GDP/G56S+
play,5,0,beltb001,22,BCCBS,K
play,5,0,chapm001,22,CCBFFBS,K
play,5,0,merrw001,01,FX,63/G6
play,5,1,contw001,32,BCSBBC,K
play,5,1,oneit001,22,CBBFX,63/G6
play,5,1,gormn001,00,,NP
play,5,1,gormn001,22,.CBBCS,K
play,6,0,kierk001,00,X,S7/G6+
play,6,0,sprig001,00,,NP
play,6,0,sprig001,12,.BFCT,K
play,6,0,bichb001,11,SBX,S7/L7.1-2
play,6,0,guerv002,32,CBBFFFFBX,54(1)/FO/G56.2-3;B-1
play,6,0,varsd001,00,,NP
play,6,0,varsd001,00,.X,43/G34
play,6,1,walkj003,32,BCSFBBC,K
play,6,1,edmat001,22,BFBCX,53/G6
