Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,badda001,22,BCFBX,53/G56
play,1,0,greer003,00,X,43/G34D+
play,1,0,vierm001,02,CFX,8/F89XD
play,1,1,sprig001,10,BX,8/F8D
play,1,1,bichb001,00,X,9/L9D+
play,1,1,guerv002,01,CX,7/F78+
play,2,0,carpk001,20,BBX,8/F8XD+
play,2,0,baezj001,32,SBFBBB,W
play,2,0,torks001,00,1X,S5/G5.1-2
play,2,0,maton001,20,*BBX,HR/F9D.2-H;1-H
play,2,0,schoj001,12,SSFBFX,S8/L8
play,2,0,rogej004,32,CB1BCBB,W.1-2
play,2,0,badda001,31,BF*BBB,W.2-3;1-2
play,2,0,greer003,22,FBF*BC,K
play,2,0,vierm001,32,BC*BS.B>F>X,4/P4D
play,2,1,varsd001,32,BBCCFBB,W
play,2,1,chapm001,11,CBX,3/P3DF/FL
play,2,1,beltb001,01,CX,S7/G1S+.1-2
play,2,1,kirka001,11,CBX,S8/F9D.2-H;1-2
play,2,1,biggc002,02,CFFX,36(1)/FO/G3.2-3;B-1
play,2,1,kierk001,20,*BBX,8/F8D
play,3,0,carpk001,30,BBBV,W
play,3,0,baezj001,01,CX,8/F8
play,3,0,torks001,32,FFB>FFFBFB>X,7/F78S
play,3,0,maton001,30,BBB*B,W.1-2
play,3,0,schoj001,02,CFX,9/F9
play,3,1,sprig001,32,CCBBBS,K
play,3,1,bichb001,00,X,9/F9LD
play,3,1,guerv002,31,CBBBX,6/P8S
play,4,0,rogej004,22,BSFBFFFS,K
play,4,0,badda001,22,SFBBC,K
play,4,0,greer003,21,BBSX,8/F78XD+
play,4,1,varsd001,21,BBCX,43/G34
play,4,1,chapm001,11,CBX,HR/F89XD
play,4,1,beltb001,12,SBFFFFFX,D7/F7LD
play,4,1,kirka001,12,BCC.S,K
play,4,1,biggc002,00,X,7/L7
play,5,0,vierm001,00,X,S9/L9
play,5,0,carpk001,11,C1BX,8/F8XD
play,5,0,baezj001,00,,NP
play,5,0,baezj001,02,.CCF>FFX,54(1)/FO/G6S.B-1
play,5,0,torks001,12,CBSC,K
play,5,1,kierk001,32,BFBBSX,HR/F9D
