Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,0,acunr001,12,SSBX,S9/L9L+
play,1,0,olsom001,12,BSC11F>B,SB2
play,1,0,olsom001,32,BSC11F>B.BFS,K
play,1,0,rilea001,31,BBBCB,W
play,1,0,albio001,21,BCBX,9/F89XD+.2-3
play,1,0,murps001,12,CF*BS,K
play,1,1,thoml002,00,X,S4/P8S
play,1,1,menej001,11,B1FX,64(1)3/GDP/G6
play,1,1,candj002,12,SBFX,63/G6+
play,2,0,ozunm001,00,X,63/G6
play,2,0,harrm004,32,CCBFBBX,S8/G4M+
play,2,0,darnt001,22,BSBF1X,S9/L9LS.1-3
play,2,0,arcio002,10,*BX,S9/G34+.3-H;1-2
play,2,0,acunr001,12,BCFX,FC6/G6+.2-3;1-2(E6);B-1
play,2,0,olsom001,12,BFSFFS,K
play,2,0,rilea001,31,BBBFB,W.3-H(UR);2-3;1-2
play,2,0,albio001,10,*BX,S6/G6S.3-H(UR);2-3;1-2
play,2,0,murps001,20,B+3BX,64(1)/FO/G6.B-1
play,2,1,smitd008,22,CBS.BX,S6/P6
play,2,1,ruizk001,00,X,D7/G5.1-3
play,2,1,calla002,11,CBX,8/SF/F89.3-H;2-3(E8/TH)
play,2,1,garcl006,22,BBFFS,K
play,2,1,roblv001,00,X,53/G56S
play,3,0,ozunm001,12,CCBX,13/G1S
play,3,0,harrm004,02,FSX,8/F8XD+
play,3,0,darnt001,32,BBFCBX,S5/G56S
play,3,0,arcio002,00,B,WP.1-2
play,3,0,arcio002,31,B.BBCB,W
play,3,0,acunr001,32,*S*BBBC>X,53/G56
play,3,1,abrac001,10,BX,7/F7LD
play,3,1,thoml002,11,CBX,3/P3DF/FL
play,3,1,menej001,11,CBX,S8/L8D
play,3,1,candj002,22,BFBFFF.S,K
play,4,0,olsom001,00,X,D7/F78XD+
play,4,0,rilea001,00,,NP
play,4,0,rilea001,32,.FCBB*BB,W
play,4,0,albio001,12,SBSX,S7/G6.2-3;1-2
play,4,0,murps001,10,BX,64(1)3/GDP/G6.3-H(NR);2-3
play,4,0,ozunm001,00,X,53/G56
play,4,1,smitd008,31,BBCBX,31/G3
play,4,1,ruizk001,00,,NP
play,4,1,ruizk001,20,.BBX,S6/G56
play,4,1,calla002,22,BFBSX,64(1)/FO/G56.B-1
play,4,1,garcl006,00,X,43/G34
play,5,0,harrm004,22,BLBFX,53/G56+
play,5,0,darnt001,12,BSSS,K
play,5,0,arcio002,22,SSBBX,E6/TH/G6+.B-1
play,5,0,acunr001,02,CFX,S5/G5.1-2
play,5,0,olsom001,12,F2BCX,8/F8XD+
play,5,1,roblv001,01,CX,S7/G6+
play,5,1,abrac001,02,SCFFFX,3/G3.1-2
play,5,1,thoml002,00,,NP
play,5,1,thoml002,21,.SBBX,53/G56S.2-3
play,5,1,menej001,21,BCBX,S8/L8.3-H
play,5,1,candj002,21,BCBX,43/G3
play,6,0,rilea001,00,,NP
play,6,0,rilea001,22,.CBCBC,K
play,6,0,albio001,00,X,6/P6D
play,6,0,murps001,01,FX,9/F9D
play,6,1,smitd008,22,CBBSX,S5/G6.B-2(E5/TH)
play,6,1,ruizk001,01,FX,31/G3.2-3
play,6,1,calla002,22,TFBBS,K
play,6,1,garcl006,00,,NP
play,6,1,garcl006,12,.BFCX,7/L7
play,7,0,ozunm001,02,CFX,43/G4
play,7,0,harrm004,12,FBST,K
play,7,0,darnt001,01,CX,S9/L9
play,7,0,arcio002,22,BCFF*BS,K
play,7,1,roblv001,00,,NP
play,7,1,roblv001,32,.FBBBFFB,W
play,7,1,abrac001,02,SSX,5/P56
play,7,1,thoml002,00,,NP
play,7,1,thoml002,12,.CC1B*S,K
play,7,1,menej001,01,CX,9/F9LS
play,8,0,acunr001,00,,NP
play,8,0,acunr001,10,.BX,3/P3SF/FL
play,8,0,olsom001,11,BFX,S7/L78D+
play,8,0,rilea001,22,BFBFX,64(1)/FO/G6.B-1
play,8,0,albio001,10,BX,43/G34
play,8,1,candj002,30,VBBB,W
play,8,1,smitd008,32,SBSFBBB,W.1-2
play,8,1,ruizk001,11,CBX,8/F8D
play,8,1,calla002,00,,NP
play,8,1,dickc002,02,.CFFX,36(1)/FO/G3.2-3;B-1
play,8,1,garcl006,00,X,43/G34
play,9,0,murps001,00,,NP
play,9,0,murps001,00,.,NP
play,9,0,murps001,12,..SBFX,6/P6
play,9,0,hills005,30,BBBB,W
play,9,0,harrm004,21,CBB>C,SB2
play,9,0,harrm004,32,CBB>C.BB,W
play,9,0,darnt001,02,CCF2X,D8/L78XD.2-H;1-H
play,9,0,arcio002,10,BX,9/L9LD+.2-H(E6/TH)(NR)(UR)
play,9,0,acunr001,02,SFX,8/F89XD+
play,9,1,roblv001,00,,NP
play,9,1,roblv001,31,.BBBCB,W
play,9,1,abrac001,12,CBSS,K
play,9,1,thoml002,22,1CS*BFFBX,43/G34.1-2
play,9,1,menej001,22,FSBBX,8/L8XD+
play,1,0,acunr001,02,SCX,HR/L7D
play,1,0,olsom001,20,BBX,HR/F89XD
play,1,0,rilea001,12,SSFB.S,K
play,1,0,albio001,00,X,S9/L9
play,1,0,harrm004,12,CF*BX,16(1)3/GDP/G1S
play,1,1,garcl006,22,FCFBFFFBFC,K
play,1,1,menej001,10,BX,63/G56
play,1,1,smitd008,02,CSS,K
play,2,0,darnt001,11,BFX,9/F9
play,2,0,rosae001,12,CCBX,3/G3
play,2,0,ozunm001,12,BCSFX,5/L5
play,2,1,ruizk001,02,FCFFS,K
play,2,1,dickc002,12,BCFS,K
play,2,1,candj002,12,BCSS,K
play,3,0,arcio002,11,BCX,S6/G56
play,3,0,acunr001,32,BFBFBX,9/F9LS
play,3,0,olsom001,32,BCB*BCS,K
play,3,0,rilea001,01,CX,S8/G6+.1-3
play,3,0,albio001,32,BF*BBS.>B,W+WP.3-H(NR);1-2
play,3,0,harrm004,22,FF*B*BX,S7/G6+.2-H;1-2
play,3,0,darnt001,00,X,43/G34
play,3,1,thoml002,01,CX,D8/L8XD+
play,3,1,abrac001,00,X,7/L7D
play,3,1,roblv001,32,SBBBF*B,W
play,3,1,garcl006,00,X,46(1)3/GDP/G34
play,4,0,rosae001,22,BBFSC,K
play,4,0,ozunm001,20,BBX,HR/F7D
play,4,0,arcio002,12,CFBX,13/G1S
play,4,0,acunr001,32,CBFBBS,K
play,4,1,menej001,02,CSFC,K
play,4,1,smitd008,32,SF.BBBB,W
play,4,1,ruizk001,21,BFBX,9/F9D
play,4,1,dickc002,30,BBBB,W.1-2
play,4,1,candj002,00,X,8/F8XD
play,5,0,olsom001,31,BFBBB,W
play,5,0,rilea001,22,BBFFX,54(1)3/GDP/G56D
play,5,0,albio001,10,BX,31/G34
