Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Jos\xc3\xa9 Abreu,32,1495,Maj-AL,Chicago,28,127,113,16,33,9,0,6,30,12,2,30,1,0,1,2,2,1,0.292,0.362,0.531,0.893,547989
Ronald Acuna Jr.,21,1495,Maj-NL,Atlanta,30,129,106,18,29,3,1,6,20,18,1,28,2,0,0,3,2,0,0.274,0.389,0.491,0.88,660670
Willy Adames,23,1495,Maj-AL,Tampa Bay,27,102,94,13,20,5,1,1,6,7,0,29,1,0,0,2,1,0,0.213,0.275,0.319,0.594,642715
Matt Adams,30,1495,Maj-NL,Washington,26,58,55,6,14,5,0,3,13,2,0,21,0,0,1,1,0,0,0.255,0.276,0.509,0.785,571431
Ehire Adrianza,29,1496,Maj-AL,Minnesota,14,42,34,5,6,0,0,1,2,3,0,6,3,0,1,0,0,0,0.177,0.293,0.265,0.557,501303
Jes\xc3\xbas Aguilar,29,1495,Maj-NL,Milwaukee,28,96,80,8,13,2,0,3,12,13,0,21,0,0,1,5,0,0,0.163,0.277,0.3,0.577,542583
Nick Ahmed,29,1495,Maj-NL,Arizona,31,125,115,18,30,8,1,2,14,8,1,26,0,0,2,5,2,0,0.261,0.304,0.4,0.704,605113
Hanser Alberto,26,1495,Maj-AL,Baltimore,23,79,76,3,25,1,0,1,7,2,0,9,0,0,1,0,1,0,0.329,0.342,0.382,0.723,593643
Ozzie Albies,22,1495,Maj-NL,Atlanta,30,136,125,25,37,6,2,6,13,10,0,21,1,0,0,1,3,2,0.296,0.353,0.52,0.873,645277
Sandy Alcantara,23,1496,Maj-NL,Miami,5,9,8,0,1,0,0,0,1,0,0,5,0,1,0,0,0,0,0.125,0.125,0.125,0.25,645261
Jorge Alfaro,26,1495,Maj-NL,Miami,23,87,80,11,23,0,0,5,9,3,0,33,4,0,0,1,0,2,0.288,0.345,0.475,0.82,595751
Anthony Alford,24,1524,Maj-AL,Toronto,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,546990
Cody Allen,30,1513,Maj-AL,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,592102
Greg Allen,26,1500,Maj-AL,Cleveland,19,42,38,4,4,2,0,0,6,2,0,14,1,0,1,0,0,0,0.105,0.167,0.158,0.325,656185
Yency Almonte,25,1519,Maj-NL,Colorado,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,622075
Albert Almora,25,1495,Maj-NL,Chicago,26,81,74,7,18,1,0,1,6,5,2,16,1,1,0,2,2,0,0.243,0.3,0.297,0.597,546991
Pete Alonso,24,1495,Maj-NL,New York,30,127,110,20,32,8,1,9,26,14,0,36,2,0,1,3,0,0,0.291,0.378,0.627,1.005,624413
Yonder Alonso,32,1495,Maj-AL,Chicago,27,109,93,14,17,3,0,5,16,16,1,19,0,0,0,2,0,0,0.183,0.303,0.376,0.679,475174
Aaron Altherr,28,1495,Maj-NL,Philadelphia,21,29,28,2,1,1,0,0,1,1,0,8,0,0,0,1,0,0,0.036,0.069,0.071,0.14,571437
Jose Altuve,29,1495,Maj-AL,Houston,31,132,117,15,30,4,0,9,20,14,0,21,0,0,1,4,1,2,0.256,0.333,0.521,0.855,514888
Brian Anderson,26,1495,Maj-NL,Miami,29,125,111,5,28,4,0,2,7,14,0,26,0,0,0,1,3,0,0.252,0.336,0.342,0.678,605119
Chase Anderson,31,1500,Maj-NL,Milwaukee,3,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,502624
Drew Anderson,25,1503,Maj-NL,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,623454
Tim Anderson,26,1495,Maj-AL,Chicago,25,107,104,21,38,5,0,6,18,2,0,21,1,0,0,3,10,0,0.365,0.383,0.587,0.97,641313
Tyler Anderson,29,1498,Maj-NL,Colorado,4,6,5,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0.2,0.2,0.2,0.4,542881
Matt Andriese,29,1500,Maj-NL,Arizona,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,542882
Elvis Andrus,30,1495,Maj-AL,Texas,28,124,112,19,39,7,1,5,20,10,0,24,2,0,0,4,6,1,0.348,0.411,0.563,0.974,462101
Miguel Andujar,24,1526,Maj-AL,New York,3,14,13,1,3,0,0,0,1,0,0,2,0,0,1,2,0,0,0.231,0.214,0.231,0.445,609280
Chris Archer,30,1500,Maj-NL,Pittsburgh,5,10,9,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0.111,0.111,0.111,0.222,502042
Orlando Arcia,24,1495,Maj-NL,Milwaukee,31,109,101,12,23,2,1,4,11,8,2,25,0,0,0,5,0,0,0.228,0.284,0.386,0.671,606115
Nolan Arenado,28,1495,Maj-NL,Colorado,30,134,123,22,35,7,1,8,25,9,1,13,0,0,2,2,1,1,0.285,0.328,0.553,0.881,571448
Jake Arrieta,33,1499,Maj-NL,Philadelphia,6,15,13,1,1,0,0,0,1,0,0,5,0,2,0,0,0,0,0.077,0.077,0.077,0.154,453562
Christian Arroyo,24,1498,Maj-AL,Tampa Bay,6,15,14,0,3,0,0,0,2,1,0,10,0,0,0,0,0,0,0.214,0.267,0.214,0.481,624414
Willians Astudillo,27,1499,Maj-AL,Minnesota,16,53,49,11,16,4,0,2,7,1,0,1,1,0,2,4,0,0,0.327,0.34,0.531,0.87,553902
Tyler Austin,27,1495,"Maj-AL,Maj-NL","Minnesota,San Francisco",13,37,31,6,9,2,0,0,1,6,0,16,0,0,0,1,0,0,0.29,0.405,0.355,0.76,592122
Alex Avila,32,1520,Maj-NL,Arizona,6,21,15,5,5,1,0,2,5,6,1,5,0,0,0,0,0,0,0.333,0.524,0.8,1.324,488671
Pedro Avila,22,1515,Maj-NL,San Diego,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,658648
Harrison Bader,25,1495,Maj-NL,St. Louis,20,67,53,8,12,2,0,3,10,9,1,21,4,1,0,0,0,2,0.226,0.379,0.434,0.813,664056
Javier B\xc3\xa1ez,26,1495,Maj-NL,Chicago,28,128,121,25,38,9,1,10,24,7,2,34,0,0,0,1,2,1,0.314,0.352,0.653,1.005,595879
Austin Barnes,29,1495,Maj-NL,Los Angeles,26,88,74,13,15,3,0,3,10,12,1,16,1,0,1,4,1,0,0.203,0.318,0.365,0.683,605131
Matt Barnes,29,1519,Maj-AL,Boston,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,598264
Tucker Barnhart,28,1495,Maj-NL,Cincinnati,25,82,70,8,14,2,0,2,5,11,1,20,0,1,0,1,0,0,0.2,0.309,0.314,0.623,571466
Trevor Bauer,28,1496,Maj-AL,Cleveland,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,545333
Jake Bauers,23,1495,Maj-AL,Cleveland,27,100,88,12,21,3,0,3,11,11,0,22,0,0,1,1,1,1,0.239,0.32,0.375,0.695,641343
Matt Beaty,26,1496,Maj-NL,Los Angeles,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,607461
