,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.3847416276111224,0.5050584043308973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11019996805798027
[1-0],0.0,0.0,0.0,0.3390949810497301,0.5041489606064087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15675605834386125
[0-1],0.0,0.0,0.0,0.0,0.39956661632411844,0.42843697331844943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719964103574321
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.3079148936170213,0.5258297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.16625531914893618
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3420698547962101,0.45722374838818186,0.0,0.0,0.0,0.0,0.0,0.200706396815608
[0-2],0.0,0.0,0.0,0.0,0.0,0.19194647606382978,0.0,0.0,0.4456865026595745,0.0,0.0,0.0,0.17977061170212766,0.0,0.18259640957446807
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621681723419041,0.0,0.0,0.0,0.3284225156358582,0.049895760945100766
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934628396813271,0.4858397904616392,0.0,0.0,0.0,0.22069736985703373
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21930691630084018,0.0,0.3761374538477193,0.0,0.19388318748728087,0.0,0.21067244236415966
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092885375494071,0.0,0.2740447957839262,0.21666666666666667
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516946959896507,0.29490297542043986,0.20351875808538164,0.0,0.2498835705045278
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28620151453841264,0.2005607260535291,0.22674721082143476,0.2864905485866235
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
