,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.37051282051282053,0.5358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09358974358974359
[1-0],0.0,0.0,0.0,0.31141868512110726,0.5432525951557093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1453287197231834
[0-1],0.0,0.0,0.0,0.0,0.37320574162679426,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20574162679425836
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.29213483146067415,0.5617977528089888,0.0,0.0,0.0,0.0,0.0,0.0,0.14606741573033707
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3762057877813505,0.3858520900321543,0.0,0.0,0.0,0.0,0.0,0.2379421221864952
[0-2],0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.47549019607843135,0.0,0.0,0.0,0.14215686274509803,0.0,0.23529411764705882
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6538461538461539,0.0,0.0,0.0,0.3076923076923077,0.038461538461538464
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23952095808383234,0.5149700598802395,0.0,0.0,0.0,0.24550898203592814
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19101123595505617,0.0,0.46441947565543074,0.0,0.12359550561797752,0.0,0.2209737827715356
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.0,0.19298245614035087,0.22807017543859648
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23722627737226276,0.28102189781021897,0.17883211678832117,0.0,0.3029197080291971
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.18181818181818182,0.2077922077922078,0.3246753246753247
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
