,[0-0],[1-0],[0-1],[2-0],[1-1],[0-2],[3-0],[2-1],[1-2],[3-1],[2-2],[3-2],OUT,WALK,PLAY
[0-0],0.0,0.32538330494037476,0.545144804088586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12947189097103917
[1-0],0.0,0.0,0.0,0.3193717277486911,0.5130890052356021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16753926701570682
[0-1],0.0,0.0,0.0,0.0,0.4106583072100313,0.4106583072100313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1786833855799373
[2-0],0.0,0.0,0.0,0.0,0.0,0.0,0.22950819672131148,0.5737704918032787,0.0,0.0,0.0,0.0,0.0,0.0,0.19672131147540983
[1-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3537117903930131,0.4672489082969432,0.0,0.0,0.0,0.0,0.0,0.17903930131004367
[0-2],0.0,0.0,0.0,0.0,0.0,0.18238993710691823,0.0,0.0,0.4591194968553459,0.0,0.0,0.0,0.20754716981132076,0.0,0.1509433962264151
[3-0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142
[2-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33043478260869563,0.5304347826086957,0.0,0.0,0.0,0.1391304347826087
[1-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24369747899159663,0.0,0.3025210084033613,0.0,0.25210084033613445,0.0,0.20168067226890757
[3-1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6122448979591837,0.0,0.2653061224489796,0.12244897959183673
[2-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978723404255319,0.2925531914893617,0.19680851063829788,0.0,0.2127659574468085
[3-2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354,0.2184873949579832,0.15126050420168066,0.33613445378151263
OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WALK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PLAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
